"Table 2: E-5 City/County Population and Housing Estimates, 1/1/2011",,,,,,,,,,,,
,,,,,,,,,,,,
,POPULATION,,, HOUSING UNITS,,,,,,,,
 ,,,,,,,,,,, ,
County Total,"21,485","21,261",224,"7,897","5,860",115,739,418,765,"7,071",10.5%,3.01
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Contra Costa County,,,,,,,,,,, ,
Antioch             ,"103,714","103,050",664,"34,948","26,975","1,707","1,474","4,390",402,"32,413",7.3%,3.18
Brentwood           ,"52,317","52,171",146,"17,642","15,338",614,345,991,354,"16,627",5.8%,3.14
Clayton             ,"10,984","10,974",10,"4,087","3,342",538,108,99,0,"4,005",2.0%,2.74
Concord             ,"123,252","122,205","1,047","47,150","27,322","3,201","3,425","11,443","1,759","44,349",5.9%,2.76
Danville            ,"42,351","42,108",243,"15,940","12,071","2,902",153,797,17,"15,409",3.3%,2.73
El Cerrito          ,"23,751","23,658",93,"10,720","7,482",340,"1,389","1,450",59,"10,146",5.4%,2.33
Hercules            ,"24,273","24,218",55,"8,553","5,627","1,357",567,989,13,"8,121",5.1%,2.98
Lafayette           ,"24,102","24,003",99,"9,667","7,643",283,683,"1,050",8,"9,229",4.5%,2.60
Martinez            ,"36,214","34,822","1,392","14,977","9,392","2,123","1,325","2,122",15,"14,292",4.6%,2.44
Moraga              ,"16,151","14,428","1,723","5,756","3,820",870,289,777,0,"5,577",3.1%,2.59
Oakley,"36,226","36,123",103,"11,623","10,549",236,129,333,376,"10,879",6.4%,3.32
Orinda              ,"17,790","17,747",43,"6,805","6,375",159,9,262,0,"6,554",3.7%,2.71
Pinole              ,"18,541","18,473",68,"7,158","5,050",613,497,962,36,"6,775",5.4%,2.73
Pittsburg           ,"64,094","63,803",291,"21,202","14,990","1,300","1,241","2,924",747,"19,624",7.4%,3.25
Pleasant Hill       ,"33,433","32,970",463,"14,322","8,561","1,566","1,002","3,110",83,"13,714",4.2%,2.40
Richmond            ,"104,936","103,194","1,742","39,377","22,139","2,370","6,235","8,470",163,"36,178",8.1%,2.85
San Pablo           ,"29,138","28,697",441,"9,465","4,337",495,"1,532","2,719",382,"8,690",8.2%,3.30
San Ramon           ,"73,395","73,320",75,"26,470","16,594","3,015","1,124","5,700",37,"25,513",3.6%,2.87
Walnut Creek        ,"65,042","64,040","1,002","32,832","12,463","5,029","4,382","10,958",0,"30,612",6.8%,2.09
,,,,,,,,,,, ,
Balance Of County    ,"161,987","161,086",901,"62,695","47,280","2,907","2,661","7,029","2,818","58,021",7.5%,2.78
Incorporated,"899,704","890,004","9,700","338,694","220,070","28,718","25,909","59,546","4,451","318,707",5.9%,2.79
 ,,,,,,,,,,, ,
County Total,"1,061,691","1,051,090","10,601","401,389","267,350","31,625","28,570","66,575","7,269","376,728",6.1%,2.79
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Del Norte County,,,,,,,,,,, ,
Crescent City       ,"7,476","4,033","3,443","1,906",918,92,362,476,58,"1,701",10.8%,2.37
,,,,,,,,,,, ,
Balance Of County    ,"20,943","20,704",239,"9,306","5,890",181,443,327,"2,465","8,221",11.7%,2.52
Incorporated,"7,476","4,033","3,443","1,906",918,92,362,476,58,"1,701",10.8%,2.37
 ,,,,,,,,,,, ,
County Total,"28,419","24,737","3,682","11,212","6,808",273,805,803,"2,523","9,922",11.5%,2.49
,,,,,,,,,,, ,
,,,,,,,,,,, ,
El Dorado County,,,,,,,,,,, ,
Placerville         ,"10,379","9,814",565,"4,539","2,967",154,811,439,168,"4,130",9.0%,2.38
South Lake Tahoe    ,"21,390","21,017",373,"15,096","9,483",376,"2,456","2,218",563,"8,890",41.1%,2.36
,,,,,,,,,,, ,
Balance Of County    ,"149,885","149,208",677,"68,637","59,968",792,"1,597","2,928","3,352","57,277",16.6%,2.61
Incorporated,"31,769","30,831",938,"19,635","12,450",530,"3,267","2,657",731,"13,020",33.7%,2.37
 ,,,,,,,,,,, ,
County Total,"181,654","180,039","1,615","88,272","72,418","1,322","4,864","5,585","4,083","70,297",20.4%,2.56
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Fresno County,,,,,,,,,,, ,
Clovis              ,"97,264","96,876",388,"35,679","25,123",762,"3,270","5,564",960,"33,803",5.3%,2.87
Coalinga            ,"18,020","11,791","6,229","4,340","2,829",49,427,532,503,"3,887",10.4%,3.03
Firebaugh           ,"7,644","7,631",13,"2,103","1,344",108,355,221,75,"1,933",8.1%,3.95
Fowler              ,"5,711","5,664",47,"1,881","1,350",26,157,225,123,"1,757",6.6%,3.22
Fresno              ,"499,787","491,600","8,187","172,171","105,031","4,643","22,130","35,619","4,748","159,348",7.4%,3.09
Huron               ,"6,794","6,794",0,"1,601",504,94,395,504,104,"1,533",4.2%,4.43
Kerman              ,"13,760","13,753",7,"3,944","2,842",100,435,385,182,"3,730",5.4%,3.69
Kingsburg           ,"11,521","11,439",82,"4,090","2,983",51,395,463,198,"3,847",5.9%,2.97
Mendota             ,"11,096","11,096",0,"2,556","1,478",165,428,430,55,"2,428",5.0%,4.57
Orange Cove         ,"9,186","9,186",0,"2,247","1,388",94,285,480,0,"2,081",7.4%,4.41
Parlier             ,"14,650","14,648",2,"3,512","2,421",61,406,571,53,"3,314",5.6%,4.42
Reedley             ,"24,518","24,245",273,"6,906","5,022",84,726,811,263,"6,614",4.2%,3.67
Sanger              ,"24,505","24,371",134,"7,124","5,401",75,"1,149",399,100,"6,686",6.1%,3.65
San Joaquin         ,"4,029","4,029",0,934,590,38,203,46,57,883,5.5%,4.56
Selma               ,"23,391","23,226",165,"6,824","5,251",139,482,562,390,"6,428",5.8%,3.61
,,,,,,,,,,, ,
Balance Of County    ,"167,937","166,701","1,236","61,145","49,574",943,"1,920","1,777","6,931","52,725",13.8%,3.16
Incorporated,"771,876","756,349","15,527","255,912","163,557","6,489","31,243","46,812","7,811","238,272",6.9%,3.17
 ,,,,,,,,,,, ,
County Total,"939,813","923,050","16,763","317,057","213,131","7,432","33,163","48,589","14,742","290,997",8.2%,3.17
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Glenn County,,,,,,,,,,, ,
Orland              ,"7,479","7,468",11,"2,746","1,961",27,371,309,78,"2,597",5.4%,2.88
Willows             ,"6,119","5,934",185,"2,399","1,672",65,320,318,24,"2,172",9.5%,2.73
,,,,,,,,,,, ,
Balance Of County    ,"14,604","14,482",122,"5,723","4,109",116,126,91,"1,281","5,121",10.5%,2.83
Incorporated,"13,598","13,402",196,"5,145","3,633",92,691,627,102,"4,769",7.3%,2.81
 ,,,,,,,,,,, ,
County Total,"28,202","27,884",318,"10,868","7,742",208,817,718,"1,383","9,890",9.0%,2.82
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Humboldt County,,,,,,,,,,, ,
Arcata              ,"17,867","15,623","2,244","7,748","3,324",495,"1,166","1,874",889,"7,407",4.4%,2.11
Blue Lake           ,"1,271","1,271",0,576,366,11,108,33,58,547,5.0%,2.32
Eureka              ,"27,291","25,417","1,874","11,899","7,571",456,"2,250","1,489",133,"11,139",6.4%,2.28
Ferndale            ,"1,381","1,381",0,717,591,17,85,24,0,612,14.6%,2.26
Fortuna             ,"11,990","11,729",261,"5,000","3,337",162,566,575,360,"4,689",6.2%,2.50
Rio Dell            ,"3,386","3,365",21,"1,444","1,030",70,177,18,149,"1,367",5.3%,2.46
Trinidad            ,368,367,1,252,186,2,32,7,25,186,26.2%,1.97
,,,,,,,,,,, ,
Balance Of County    ,"72,423","71,276","1,147","34,053","25,572",837,"1,737","1,397","4,510","30,142",11.5%,2.37
Incorporated,"63,554","59,153","4,401","27,636","16,405","1,213","4,384","4,020","1,614","25,947",6.1%,2.28
 ,,,,,,,,,,, ,
County Total,"135,977","130,429","5,548","61,689","41,977","2,050","6,121","5,417","6,124","56,089",9.1%,2.33
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Imperial County,,,,,,,,,,, ,
Brawley             ,"25,378","25,204",174,"8,240","5,375",220,730,"1,500",415,"7,627",7.4%,3.31
Calexico            ,"39,137","39,037",100,"10,651","7,292",486,"1,158","1,545",170,"10,096",5.2%,3.87
Calipatria          ,"7,679","3,593","4,086","1,121",859,16,44,141,61,"1,006",10.3%,3.57
El Centro           ,"43,251","42,435",816,"14,476","8,086",427,"1,577","2,855","1,531","13,094",9.5%,3.24
Holtville           ,"6,019","6,019",0,"1,937","1,278",73,177,203,206,"1,793",7.4%,3.36
Imperial            ,"15,119","15,088",31,"4,795","3,471",389,401,464,70,"4,439",7.4%,3.40
Westmorland         ,"2,256","2,256",0,678,465,10,100,83,20,629,7.2%,3.59
,,,,,,,,,,, ,
Balance Of County    ,"37,817","32,956","4,861","14,226","7,785",290,584,382,"5,185","10,448",26.6%,3.15
Incorporated,"138,839","133,632","5,207","41,898","26,826","1,621","4,187","6,791","2,473","38,684",7.7%,3.45
 ,,,,,,,,,,, ,
County Total,"176,656","166,588","10,068","56,124","34,611","1,911","4,771","7,173","7,658","49,132",12.5%,3.39
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Inyo County,,,,,,,,,,, ,
Bishop              ,"3,874","3,766",108,"1,926",766,83,367,340,370,"1,748",9.2%,2.15
,,,,,,,,,,, ,
Balance Of County    ,"14,696","14,349",347,"7,560","4,855",128,229,139,"2,209","6,311",16.5%,2.27
Incorporated,"3,874","3,766",108,"1,926",766,83,367,340,370,"1,748",9.2%,2.15
 ,,,,,,,,,,, ,
County Total,"18,570","18,115",455,"9,486","5,621",211,596,479,"2,579","8,059",15.0%,2.25
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Kern County,,,,,,,,,,, ,
Arvin               ,"19,587","19,238",349,"4,515","3,301",119,422,530,143,"4,272",5.4%,4.50
Bakersfield         ,"351,296","347,711","3,585","121,331","85,973","3,357","14,362","15,098","2,541","111,803",7.9%,3.11
California City     ,"12,866","11,608","1,258","5,211","4,039",97,465,159,451,"4,120",20.9%,2.82
Delano              ,"53,217","42,368","10,849","10,723","7,558",468,"1,245","1,003",449,"10,269",4.2%,4.13
Maricopa            ,"1,155","1,155",0,466,187,3,20,0,256,413,11.4%,2.80
Mcfarland           ,"12,732","11,542","1,190","2,683","2,252",55,208,98,70,"2,600",3.1%,4.44
Ridgecrest          ,"27,904","27,668",236,"11,975","7,937",470,"1,852",782,934,"10,835",9.5%,2.55
Shafter             ,"17,226","16,582",644,"4,579","3,389",153,548,277,212,"4,278",6.6%,3.88
Taft                ,"9,304","6,403","2,901","2,525","1,885",113,198,240,89,"2,255",10.7%,2.84
Tehachapi           ,"14,436","8,706","5,730","3,622","2,409",77,439,251,446,"3,187",12.0%,2.73
Wasco               ,"25,955","20,061","5,894","5,515","4,188",193,376,571,187,"5,169",6.3%,3.88
,,,,,,,,,,, ,
Balance Of County    ,"301,559","298,181","3,378","112,569","79,872","2,220","8,615","4,902","16,960","96,943",13.9%,3.08
Incorporated,"545,678","513,042","32,636","173,145","123,118","5,105","20,135","19,009","5,778","159,201",8.1%,3.22
 ,,,,,,,,,,, ,
County Total,"847,237","811,223","36,014","285,714","202,990","7,325","28,750","23,911","22,738","256,144",10.3%,3.17
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Kings County,,,,,,,,,,, ,
Avenal              ,"14,965","9,071","5,894","2,417","1,501",81,432,297,106,"2,224",8.0%,4.08
Corcoran            ,"23,967","12,705","11,262","4,005","2,952",133,428,298,194,"3,639",9.1%,3.49
Hanford             ,"54,311","53,411",900,"18,624","13,573",628,"1,699","2,317",407,"17,639",5.3%,3.03
Lemoore             ,"24,523","24,506",17,"8,641","6,104",336,764,"1,130",307,"8,209",5.0%,2.99
,,,,,,,,,,, ,
Balance Of County    ,"33,791","31,875","1,916","10,406","7,784","1,040",483,156,943,"9,728",6.5%,3.28
Incorporated,"117,766","99,693","18,073","33,687","24,130","1,178","3,323","4,042","1,014","31,711",5.9%,3.14
 ,,,,,,,,,,, ,
County Total,"151,557","131,568","19,989","44,093","31,914","2,218","3,806","4,198","1,957","41,439",6.0%,3.17
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Lake County,,,,,,,,,,, ,
Clearlake           ,"15,326","14,866",460,"8,063","4,220",162,410,752,"2,519","5,994",25.7%,2.48
Lakeport            ,"4,757","4,620",137,"2,393","1,487",108,183,192,423,"2,002",16.3%,2.31
,,,,,,,,,,, ,
Balance Of County    ,"44,936","44,458",478,"25,132","18,565",360,574,615,"5,018","18,675",25.7%,2.38
Incorporated,"20,083","19,486",597,"10,456","5,707",270,593,944,"2,942","7,996",23.5%,2.44
 ,,,,,,,,,,, ,
County Total,"65,019","63,944","1,075","35,588","24,272",630,"1,167","1,559","7,960","26,671",25.1%,2.40
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Lassen County,,,,,,,,,,, ,
Susanville          ,"17,426","9,343","8,083","4,252","3,073",223,135,543,278,"3,811",10.4%,2.45
,,,,,,,,,,, ,
Balance Of County    ,"17,291","15,573","1,718","8,460","5,972",73,171,198,"2,046","6,215",26.5%,2.51
Incorporated,"17,426","9,343","8,083","4,252","3,073",223,135,543,278,"3,811",10.4%,2.45
 ,,,,,,,,,,, ,
County Total,"34,717","24,916","9,801","12,712","9,045",296,306,741,"2,324","10,026",21.1%,2.49
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Los Angeles County,,,,,,,,,,, ,
Agoura Hills        ,"20,457","20,369",88,"7,587","5,324","1,019",171,"1,051",22,"7,332",3.4%,2.78
Alhambra            ,"83,716","83,102",614,"30,964","13,768","3,854","3,696","9,616",30,"29,278",5.4%,2.84
Arcadia             ,"56,562","55,700",862,"20,695","12,641","2,124","1,106","4,824",0,"19,554",5.5%,2.85
Artesia             ,"16,603","15,990",613,"4,700","3,368",364,291,641,36,"4,533",3.6%,3.53
Avalon              ,"3,784","3,777",7,"2,286",601,137,858,690,0,"1,487",35.0%,2.54
Azusa               ,"46,459","43,657","2,802","13,359","6,099","1,798","1,374","3,534",554,"12,675",5.1%,3.44
Baldwin Park        ,"75,824","75,418",406,"17,750","12,718","1,226",585,"2,906",315,"17,194",3.1%,4.39
Bell                ,"35,700","35,121",579,"9,217","4,752",827,985,"2,265",388,"8,878",3.7%,3.96
Bellflower          ,"77,064","76,325",739,"24,898","12,357","2,079","1,796","7,352","1,314","23,661",5.0%,3.23
Bell Gardens        ,"42,321","41,897",424,"9,985","4,918","2,480","1,027","1,209",351,"9,659",3.3%,4.34
Beverly Hills       ,"34,257","34,136",121,"16,396","5,712",291,"1,905","8,446",42,"14,852",9.4%,2.30
Bradbury            ,"1,060","1,060",0,403,385,7,0,11,0,356,11.7%,2.98
Burbank             ,"104,659","104,086",573,"44,598","19,819","1,893","4,722","18,029",135,"42,245",5.3%,2.46
Calabasas           ,"23,182","23,173",9,"8,882","6,102",663,492,"1,394",231,"8,542",3.8%,2.71
Carson              ,"91,802","90,493","1,309","26,103","18,397","2,398",688,"2,164","2,456","25,315",3.0%,3.58
Cerritos            ,"49,225","49,121",104,"15,860","13,419","1,410",414,598,19,"15,498",2.3%,3.17
Claremont           ,"35,116","29,992","5,124","12,173","8,127","1,209","1,007","1,807",23,"11,618",4.6%,2.58
Commerce            ,"12,893","12,823",70,"3,470","2,376",331,232,531,0,"3,382",2.5%,3.79
Compton             ,"97,341","96,586",755,"24,573","16,839","2,344","2,119","2,645",626,"23,148",5.8%,4.17
Covina              ,"48,056","47,621",435,"16,576","9,629","1,488",822,"4,091",546,"15,855",4.3%,3.00
Cudahy              ,"23,948","23,940",8,"5,770","2,137","1,313",326,"1,574",420,"5,610",2.8%,4.27
Culver City         ,"39,085","38,774",311,"17,482","6,918","1,587","2,084","6,697",196,"16,774",4.0%,2.31
Diamond Bar         ,"55,931","55,802",129,"18,476","13,308","1,699","1,055","2,046",368,"17,906",3.1%,3.12
Downey              ,"112,431","111,748",683,"35,606","20,415","1,406","1,611","11,806",368,"33,950",4.7%,3.29
Duarte              ,"21,446","21,039",407,"7,254","4,652",936,235,"1,269",162,"7,016",3.3%,3.00
El Monte            ,"114,125","113,045","1,080","29,066","16,264","3,732","1,473","6,097","1,500","27,821",4.3%,4.06
El Segundo          ,"16,729","16,653",76,"7,413","3,177",354,767,"3,100",15,"7,078",4.5%,2.35
Gardena             ,"59,188","58,394",794,"21,477","9,662","1,366","2,569","6,635","1,245","20,571",4.2%,2.84
Glendale            ,"193,005","191,576","1,429","76,355","27,752","3,572","6,874","38,107",50,"72,358",5.2%,2.65
Glendora            ,"50,438","49,673",765,"17,795","13,137","1,412",624,"1,851",771,"17,173",3.5%,2.89
Hawaiian Gardens    ,"14,342","14,326",16,"3,702","1,736",518,363,834,251,"3,564",3.7%,4.02
Hawthorne           ,"85,165","84,626",539,"29,983","8,725","1,310","4,062","15,739",147,"28,624",4.5%,2.96
Hermosa Beach       ,"19,629","19,614",15,"10,160","4,362",778,"2,387","2,416",217,"9,557",5.9%,2.05
Hidden Hills        ,"1,874","1,874",0,629,625,4,0,0,0,595,5.4%,3.15
Huntington Park     ,"58,485","58,230",255,"15,151","6,266","2,031","1,585","5,184",85,"14,610",3.6%,3.99
Industry            ,439,202,237,69,59,0,6,0,4,65,5.8%,3.11
Inglewood           ,"110,473","108,971","1,502","38,445","14,759","2,313","5,496","15,668",209,"36,457",5.2%,2.99
Irwindale           ,"1,426","1,376",50,390,359,10,4,11,6,373,4.4%,3.69
La Canada Flintridge,"20,359","20,332",27,"7,088","6,512",186,96,250,44,"6,849",3.4%,2.97
La Habra Heights    ,"5,357","5,337",20,"1,880","1,815",65,0,0,0,"1,806",3.9%,2.96
Lakewood            ,"80,421","80,312",109,"27,464","22,704",970,375,"3,264",151,"26,520",3.4%,3.03
La Mirada           ,"48,795","45,938","2,857","15,092","12,083",762,288,"1,787",172,"14,686",2.7%,3.13
Lancaster           ,"158,260","150,070","8,190","52,115","36,277",834,"3,107","8,002","3,895","47,268",9.3%,3.18
La Puente           ,"40,040","39,997",43,"9,761","6,759",483,396,"2,093",30,"9,452",3.2%,4.23
La Verne            ,"31,234","30,558",676,"11,688","7,608",931,660,620,"1,869","11,262",3.6%,2.71
Lawndale            ,"32,964","32,789",175,"10,150","5,305","1,422",899,"2,273",251,"9,685",4.6%,3.39
Lomita              ,"20,363","20,196",167,"8,414","4,132",776,466,"2,419",621,"8,066",4.1%,2.50
Long Beach          ,"465,738","457,154","8,584","176,042","74,394","10,122","21,647","67,533","2,346","163,770",7.0%,2.79
Los Angeles         ,"3,821,068","3,733,073","87,995","1,414,842","557,495","86,567","126,066","634,634","10,080","1,319,146",6.8%,2.83
Lynwood             ,"69,812","67,549","2,263","15,278","9,336",968,"1,824","3,015",135,"14,693",3.8%,4.60
Malibu              ,"12,701","12,560",141,"6,866","4,782",539,243,761,541,"5,261",23.4%,2.39
Manhattan Beach     ,"35,373","35,345",28,"14,959","10,326","1,174","2,469",976,14,"14,055",6.0%,2.52
Maywood             ,"27,578","27,459",119,"6,768","3,690",871,910,"1,252",45,"6,567",3.0%,4.18
Monrovia            ,"36,804","36,648",156,"14,470","8,361","1,736","1,092","3,123",158,"13,767",4.9%,2.66
Montebello          ,"62,963","62,563",400,"19,804","9,821","1,542","2,458","5,717",266,"19,048",3.8%,3.28
Monterey Park       ,"60,547","60,317",230,"20,848","12,036","1,993","2,121","4,634",64,"19,945",4.3%,3.02
Norwalk             ,"106,017","104,468","1,549","28,087","20,579","1,255",858,"4,910",485,"27,119",3.4%,3.85
Palmdale            ,"153,929","153,730",199,"46,589","36,815",852,"1,416","5,349","2,157","43,046",7.6%,3.57
Palos Verdes Estates,"13,473","13,456",17,"5,284","4,878",67,30,297,12,"5,051",4.4%,2.66
Paramount           ,"54,447","54,137",310,"14,571","6,613","1,704",893,"4,228","1,133","13,894",4.6%,3.90
Pasadena            ,"139,127","135,634","3,493","60,178","26,382","4,077","5,239","24,350",130,"55,791",7.3%,2.43
Pico Rivera         ,"63,302","62,848",454,"17,109","13,113",646,437,"2,414",499,"16,570",3.2%,3.79
Pomona              ,"150,287","146,107","4,180","40,712","24,610","2,995","3,502","7,627","1,978","38,579",5.2%,3.79
Rancho Palos Verdes ,"41,852","41,512",340,"16,181","12,512","1,024",301,"2,319",25,"15,554",3.9%,2.67
Redondo Beach       ,"67,203","66,772",431,"30,623","12,101","4,240","4,636","9,387",259,"29,049",5.1%,2.30
Rolling Hills       ,"1,872","1,872",0,717,716,0,0,1,0,664,7.4%,2.82
Rolling Hills Estates,"8,100","8,100",0,"3,101","2,324",669,35,37,36,"2,961",4.5%,2.74
Rosemead            ,"54,161","53,748",413,"14,838","11,153","1,450",855,"1,214",166,"14,274",3.8%,3.77
San Dimas           ,"33,539","32,999",540,"12,507","7,303","1,621",312,"1,820","1,451","12,025",3.9%,2.74
San Fernando        ,"23,768","23,654",114,"6,291","4,577",459,481,653,121,"5,965",5.2%,3.97
San Gabriel         ,"39,887","39,435",452,"13,240","7,483","1,425",777,"3,547",8,"12,527",5.4%,3.15
San Marino          ,"13,207","13,126",81,"4,477","4,422",15,0,40,0,"4,326",3.4%,3.03
Santa Clarita       ,"177,613","176,203","1,410","62,108","37,049","7,050","2,674","13,050","2,285","59,617",4.0%,2.96
Santa Fe Springs    ,"16,509","16,316",193,"5,032","3,134",165,243,"1,417",73,"4,805",4.5%,3.40
Santa Monica        ,"90,313","88,167","2,146","51,010","9,755","1,825","5,275","33,950",205,"46,956",7.9%,1.88
Sierra Madre        ,"10,965","10,964",1,"5,113","3,548",324,337,904,0,"4,832",5.5%,2.27
Signal Hill         ,"11,100","11,054",46,"4,399","1,422",617,621,"1,739",0,"4,166",5.3%,2.65
South El Monte      ,"20,207","20,150",57,"4,711","3,426",173,241,421,450,"4,564",3.1%,4.42
South Gate          ,"94,994","94,906",88,"24,160","15,285","1,865","3,214","3,505",291,"23,297",3.6%,4.07
South Pasadena      ,"25,722","25,559",163,"11,118","4,956",644,"1,397","4,121",0,"10,452",6.0%,2.45
Temple City         ,"35,727","35,305",422,"12,122","9,771",890,345,"1,009",107,"11,598",4.3%,3.04
Torrance            ,"146,324","145,178","1,146","58,408","30,687","3,638","3,647","19,301","1,135","56,036",4.1%,2.59
Vernon              ,121,121,0,31,23,0,0,8,0,30,3.2%,4.03
Walnut              ,"29,502","29,468",34,"8,808","8,410",57,35,303,3,"8,582",2.6%,3.43
West Covina         ,"106,652","105,978",674,"32,705","21,162","3,116","1,235","6,847",345,"31,588",3.4%,3.36
