"Table 2: E-5 City/County Population and Housing Estimates, 1/1/2011",,,,,,,,,,,,
,,,,,,,,,,,,
,POPULATION,,, HOUSING UNITS,,,,,,,,
County / City,Total,Household,Group Quarters,Total,Single Detached,Single Attached,Two to Four,Five Plus,Mobile Homes,Occupied,Vacancy Rate,Persons per Household
Alameda County,,,,,,,,,,,,
Alameda             ,"74,517","72,939","1,578","32,312","13,661","3,347","5,826","9,351",127,"30,114",6.8%,2.42
Albany              ,"18,446","15,524","2,922","6,712","4,222",220,813,"1,432",25,"6,314",5.9%,2.46
Berkeley            ,"114,514","101,307","13,207","49,794","20,926","2,060","9,993","16,597",218,"46,350",6.9%,2.19
Dublin              ,"46,501","41,388","5,113","16,064","8,773","1,898",511,"4,828",54,"15,201",5.4%,2.72
Emeryville          ,"10,218","10,145",73,"6,646",420,401,751,"5,038",36,"5,722",13.9%,1.77
Fremont             ,"216,778","215,127","1,651","74,220","43,500","9,935","2,435","17,624",726,"71,278",4.0%,3.02
Hayward             ,"146,112","143,220","2,892","48,406","25,270","4,151","2,934","13,729","2,322","45,530",5.9%,3.15
Livermore           ,"82,017","81,507",510,"30,469","21,551","2,555","1,478","4,345",540,"29,258",4.0%,2.79
Newark              ,"42,958","42,813",145,"13,414","9,522","1,342",569,"1,981",0,"12,976",3.3%,3.30
Oakland             ,"395,560","387,439","8,121","169,922","73,991","6,842","32,602","55,932",555,"154,390",9.1%,2.51
Piedmont            ,"10,780","10,777",3,"3,928","3,712",48,89,79,0,"3,808",3.1%,2.83
Pleasanton          ,"70,910","70,454",456,"26,069","16,750","2,615","1,601","4,723",380,"25,250",3.1%,2.79
San Leandro         ,"85,901","85,251",650,"32,481","19,459","1,959","1,893","8,280",890,"30,794",5.2%,2.77
Union City          ,"70,135","69,617",518,"21,265","13,643","2,845",784,"3,000",993,"20,437",3.9%,3.41
,,,,,,,,,,, ,
Balance Of County    ,"142,498","140,130","2,368","51,025","34,470","4,126","3,118","8,346",965,"48,522",4.9%,2.89
Incorporated,"1,385,347","1,347,508","37,839","531,702","275,400","40,218","62,279","146,939","6,866","497,422",6.4%,2.71
 ,,,,,,,,,,, ,
County Total,"1,527,845","1,487,638","40,207","582,727","309,870","44,344","65,397","155,285","7,831","545,944",6.3%,2.72
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Alpine County,,,,,,,,,,, ,
County Total,"1,171","1,147",24,"1,757","1,037",12,45,631,32,493,71.9%,2.33
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Amador County,,,,,,,,,,, ,
Amador              ,183,183,0,108,90,12,6,0,0,85,21.3%,2.15
Ione                ,"7,471","3,709","3,762","1,638","1,450",31,0,104,53,"1,469",10.3%,2.53
Jackson             ,"4,590","4,378",212,"2,310","1,428",134,288,252,208,"2,068",10.5%,2.12
Plymouth            ,991,982,9,492,275,30,23,25,139,402,18.3%,2.44
Sutter Creek        ,"2,476","2,475",1,"1,373",802,81,136,243,111,"1,171",14.7%,2.11
,,,,,,,,,,, ,
Balance Of County    ,"21,591","21,442",149,"12,133","10,730",270,159,66,908,"9,385",22.6%,2.29
Incorporated,"15,711","11,727","3,984","5,921","4,045",288,453,624,511,"5,195",12.3%,2.26
 ,,,,,,,,,,, ,
County Total,"37,302","33,169","4,133","18,054","14,775",558,612,690,"1,419","14,580",19.2%,2.27
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Butte County,,,,,,,,,,, ,
Biggs               ,"1,715","1,715",0,617,560,35,0,4,18,566,8.3%,3.03
Chico               ,"86,952","83,844","3,108","37,261","19,889","1,648","5,886","7,883","1,955","35,042",6.0%,2.39
Gridley             ,"6,613","6,501",112,"2,406","1,982",133,171,42,78,"2,186",9.1%,2.97
Oroville            ,"15,527","14,678",849,"6,196","3,627",221,782,"1,187",379,"5,634",9.1%,2.61
Paradise            ,"26,249","25,841",408,"12,980","9,000",341,"1,114",386,"2,139","11,868",8.6%,2.18
,,,,,,,,,,, ,
Balance Of County    ,"84,232","83,872",360,"36,656","25,098",689,880,444,"9,545","32,605",11.1%,2.57
Incorporated,"137,056","132,579","4,477","59,460","35,058","2,378","7,953","9,502","4,569","55,296",7.0%,2.40
 ,,,,,,,,,,, ,
County Total,"221,288","216,451","4,837","96,116","60,156","3,067","8,833","9,946","14,114","87,901",8.5%,2.46
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Calaveras County,,,,,,,,,,, ,
Angels City,"3,857","3,810",47,"1,947","1,397",71,129,120,230,"1,656",14.9%,2.30
,,,,,,,,,,, ,
Balance Of County    ,"41,675","41,239",436,"26,071","23,035",294,541,272,"1,929","17,242",33.9%,2.39
Incorporated,"3,857","3,810",47,"1,947","1,397",71,129,120,230,"1,656",14.9%,2.30
 ,,,,,,,,,,, ,
County Total,"45,532","45,049",483,"28,018","24,432",365,670,392,"2,159","18,898",32.6%,2.38
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Colusa County,,,,,,,,,,, ,
Colusa              ,"5,978","5,924",54,"2,281","1,614",77,321,149,120,"2,144",6.0%,2.76
Williams            ,"5,182","5,073",109,"1,504","1,120",19,142,162,61,"1,384",8.0%,3.67
,,,,,,,,,,, ,
Balance Of County    ,"10,325","10,264",61,"4,112","3,126",19,276,107,584,"3,543",13.8%,2.90
Incorporated,"11,160","10,997",163,"3,785","2,734",96,463,311,181,"3,528",6.8%,3.12
