"Table 2: E-5 City/County Population and Housing Estimates, 1/1/2021",,,,,,,,,,,,,,,,,
,,               POPULATION             ,,,                                    HOUSING UNITS ,,,,,,,,,,,,
County,City,Total,Household,Group Quarters,Total2,Single Detached,Single Attached,Two to Four,Five Plus,Mobile Homes,Occupied,Vacancy Rate,Persons per Household,,,,
Alameda ,Alameda             ,"80,884","79,359","1,525","33,272","14,014","3,454","6,009","9,668",127,"32,054",3.7%,2.48,,,,
Alameda ,Albany              ,"17,055","16,212",843,"6,980","4,280",235,833,"1,607",25,"6,454",7.5%,2.51,,,,
Alameda ,Berkeley            ,"116,761","107,604","9,157","51,845","21,156","2,096","10,097","18,278",218,"48,185",7.1%,2.23,,,,
Alameda ,Dublin              ,"64,695","61,790","2,905","23,891","12,806","3,384",773,"6,874",54,"22,313",6.6%,2.77,,,,
Alameda ,Emeryville          ,"12,586","12,513",73,"7,498",419,401,756,"5,886",36,"6,907",7.9%,1.81,,,,
Alameda ,Fremont             ,"234,239","232,588","1,651","78,218","44,774","10,215","2,691","19,812",726,"75,427",3.6%,3.08,,,,
Alameda ,Hayward             ,"158,089","156,164","1,925","50,772","26,315","5,316","2,939","13,880","2,322","48,591",4.3%,3.21,,,,
Alameda ,Livermore           ,"91,216","90,706",510,"33,004","22,558","3,170","1,620","5,114",542,"31,869",3.4%,2.85,,,,
Alameda ,Newark              ,"48,859","48,714",145,"15,100","10,560","1,414",659,"2,467",0,"14,510",3.9%,3.36,,,,
Alameda ,Oakland             ,"435,514","428,177","7,337","178,207","74,459","7,011","33,023","63,158",556,"167,680",5.9%,2.55,,,,
Alameda ,Piedmont            ,"11,296","11,293",3,"4,006","3,729",69,129,79,0,"3,906",2.5%,2.89,,,,
Alameda ,Pleasanton          ,"78,371","77,807",564,"28,602","17,295","2,752","1,619","6,556",380,"27,292",4.6%,2.85,,,,
Alameda ,San Leandro         ,"87,289","86,639",650,"32,640","19,472","1,991","1,922","8,365",890,"30,631",6.2%,2.83,,,,
Alameda ,Union City          ,"72,779","72,261",518,"21,849","13,713","2,847",812,"3,461","1,016","20,761",5.0%,3.48,,,,
Alameda ,Balance Of County    ,"146,958","144,610","2,348","51,531","34,556","4,151","3,297","8,558",969,"49,008",4.9%,2.95,,,,
Alameda ,Incorporated,"1,509,633","1,481,827","27,806","565,884","285,550","44,355","63,882","165,205","6,892","536,580",5.2%,2.76,,,,
Alameda ,County Total,"1,656,591","1,626,437","30,154","617,415","320,106","48,506","67,179","173,763","7,861","585,588",5.2%,2.78,,,,
Alpine ,County Total,"1,135","1,111",24,"1,798","1,070",18,45,631,34,481,73.2%,2.31,,,,
Amador ,Amador              ,153,153,0,110,92,12,6,0,0,76,30.9%,2.01,,,,
Amador ,Ione                ,"7,712","3,841","3,871","1,816","1,628",31,0,104,53,"1,612",11.2%,2.38,,,,
Amador ,Jackson             ,"4,621","4,421",200,"2,363","1,481",134,288,252,208,"2,194",7.2%,2.02,,,,
Amador ,Plymouth            ,950,941,9,500,290,30,16,25,139,409,18.2%,2.30,,,,
Amador ,Sutter Creek        ,"2,421","2,420",1,"1,404",804,94,140,254,112,"1,213",13.6%,2.00,,,,
Amador ,Balance Of County    ,"21,520","21,395",125,"12,188","10,773",270,159,66,920,"9,944",18.4%,2.15,,,,
Amador ,Incorporated,"15,857","11,776","4,081","6,193","4,295",301,450,635,512,"5,504",11.1%,2.14,,,,
Amador ,County Total,"37,377","33,171","4,206","18,381","15,068",571,609,701,"1,432","15,448",16.0%,2.15,,,,
Butte ,Biggs               ,"1,727","1,727",0,696,640,35,0,4,17,670,3.7%,2.58,,,,
Butte ,Chico               ,"111,490","109,272","2,218","42,647","23,021","1,653","6,514","9,380","2,079","40,350",5.4%,2.71,,,,
Butte ,Gridley             ,"6,129","6,017",112,"2,560","2,077",135,171,99,78,"2,380",7.0%,2.53,,,,
Butte ,Oroville            ,"17,863","17,006",857,"7,439","3,980",802,845,"1,310",502,"6,797",8.6%,2.50,,,,
Butte ,Paradise            ,"6,046","6,046",0,"2,333","1,500",26,386,194,227,"2,197",5.8%,2.75,,,,
Butte ,Balance Of County    ,"59,414","59,054",360,"30,528","21,873",142,462,300,"7,751","26,990",11.6%,2.19,,,,
Butte ,Incorporated,"143,255","140,068","3,187","55,675","31,218","2,651","7,916","10,987","2,903","52,394",5.9%,2.67,,,,
Butte ,County Total,"202,669","199,122","3,547","86,203","53,091","2,793","8,378","11,287","10,654","79,384",7.9%,2.51,,,,
Calaveras ,Angels City,"4,038","3,991",47,"2,018","1,468",71,129,120,230,"1,718",14.9%,2.32,,,,
Calaveras ,Balance Of County    ,"40,998","40,548",450,"26,362","23,187",296,547,272,"2,060","16,800",36.3%,2.41,,,,
Calaveras ,Incorporated,"4,038","3,991",47,"2,018","1,468",71,129,120,230,"1,718",14.9%,2.32,,,,
Calaveras ,County Total,"45,036","44,539",497,"28,380","24,655",367,676,392,"2,290","18,518",34.7%,2.41,,,,
Colusa ,Colusa              ,"6,268","6,195",73,"2,408","1,713",79,336,160,120,"2,320",3.7%,2.67,,,,
Colusa ,Williams            ,"5,487","5,378",109,"1,656","1,201",14,138,242,61,"1,520",8.2%,3.54,,,,
Colusa ,Balance Of County    ,"10,493","10,432",61,"4,188","3,163",22,276,107,620,"3,729",11.0%,2.80,,,,
Colusa ,Incorporated,"11,755","11,573",182,"4,064","2,914",93,474,402,181,"3,840",5.5%,3.01,,,,
Colusa ,County Total,"22,248","22,005",243,"8,252","6,077",115,750,509,801,"7,569",8.3%,2.91,,,,
Contra Costa ,Antioch             ,"112,848","112,184",664,"36,417","28,308","1,709","1,471","4,527",402,"34,384",5.6%,3.26,,,,
Contra Costa ,Brentwood           ,"66,097","65,951",146,"21,263","18,794",682,388,"1,045",354,"20,482",3.7%,3.22,,,,
Contra Costa ,Clayton             ,"11,268","11,258",10,"4,120","3,373",540,108,99,0,"4,005",2.8%,2.81,,,,
Contra Costa ,Concord             ,"129,273","127,873","1,400","47,397","27,443","3,210","3,458","11,527","1,759","45,237",4.6%,2.83,,,,
Contra Costa ,Danville            ,"43,906","43,663",243,"16,310","12,352","2,934",167,826,31,"15,571",4.5%,2.80,,,,
Contra Costa ,El Cerrito          ,"24,846","24,753",93,"11,038","7,506",374,"1,406","1,693",59,"10,345",6.3%,2.39,,,,
Contra Costa ,Hercules            ,"25,864","25,809",55,"9,056","5,811","1,357",567,"1,308",13,"8,465",6.5%,3.05,,,,
Contra Costa ,Lafayette           ,"25,358","25,259",99,"10,066","7,735",309,687,"1,327",8,"9,462",6.0%,2.67,,,,
Contra Costa ,Martinez            ,"36,827","35,840",987,"15,265","9,577","2,221","1,330","2,122",15,"14,333",6.1%,2.50,,,,
Contra Costa ,Moraga              ,"16,820","15,097","1,723","5,864","3,900",873,303,788,0,"5,686",3.0%,2.66,,,,
Contra Costa ,Oakley,"42,895","42,792",103,"13,367","12,174",236,129,452,376,"12,559",6.0%,3.41,,,,
Contra Costa ,Orinda              ,"19,078","19,035",43,"7,194","6,673",184,11,326,0,"6,850",4.8%,2.78,,,,
Contra Costa ,Pinole              ,"19,369","19,301",68,"7,169","5,056",616,499,962,36,"6,897",3.8%,2.80,,,,
Contra Costa ,Pittsburg           ,"74,498","74,207",291,"23,550","16,587","1,317","1,244","3,655",747,"22,240",5.6%,3.34,,,,
Contra Costa ,Pleasant Hill       ,"34,133","33,670",463,"14,403","8,630","1,566","1,014","3,110",83,"13,645",5.3%,2.47,,,,
Contra Costa ,Richmond            ,"110,130","108,863","1,267","40,125","22,255","2,389","6,363","8,955",163,"37,189",7.3%,2.93,,,,
Contra Costa ,San Pablo           ,"31,041","30,600",441,"9,549","4,352",497,"1,552","2,763",385,"9,031",5.4%,3.39,,,,
Contra Costa ,San Ramon           ,"83,863","83,707",156,"29,472","18,505","3,078","1,148","6,704",37,"28,382",3.7%,2.95,,,,
Contra Costa ,Walnut Creek        ,"71,317","70,124","1,193","34,295","12,571","5,043","4,416","12,265",0,"32,661",4.8%,2.15,,,,
Contra Costa ,Balance Of County    ,"174,423","173,601",822,"64,831","48,669","3,027","2,711","7,608","2,816","60,963",6.0%,2.85,,,,
Contra Costa ,Incorporated,"979,431","969,986","9,445","355,920","231,602","29,135","26,261","64,454","4,468","337,424",5.2%,2.87,,,,
Contra Costa ,County Total,"1,153,854","1,143,587","10,267","420,751","280,271","32,162","28,972","72,062","7,284","398,387",5.3%,2.87,,,,
Del Norte ,Crescent City       ,"6,282","3,861","2,421","1,913",923,93,369,470,58,"1,680",12.2%,2.30,,,,
Del Norte ,Balance Of County    ,"20,667","20,476",191,"9,537","6,068",171,471,327,"2,500","8,381",12.1%,2.44,,,,
Del Norte ,Incorporated,"6,282","3,861","2,421","1,913",923,93,369,470,58,"1,680",12.2%,2.30,,,,
Del Norte ,County Total,"26,949","24,337","2,612","11,450","6,991",264,840,797,"2,558","10,061",12.1%,2.42,,,,
El Dorado ,Placerville         ,"10,888","10,401",487,"4,748","3,119",197,820,439,173,"4,430",6.7%,2.35,,,,
El Dorado ,South Lake Tahoe    ,"23,398","22,916",482,"15,853","9,545",411,"2,454","2,880",563,"9,812",38.1%,2.34,,,,
El Dorado ,Balance Of County    ,"161,076","160,452",624,"72,545","63,638",801,"1,606","3,073","3,427","62,336",14.1%,2.57,,,,
El Dorado ,Incorporated,"34,286","33,317",969,"20,601","12,664",608,"3,274","3,319",736,"14,242",30.9%,2.34,,,,
El Dorado ,County Total,"195,362","193,769","1,593","93,146","76,302","1,409","4,880","6,392","4,163","76,578",17.8%,2.53,,,,
Fresno ,Clovis              ,"121,834","121,446",388,"43,603","32,030",764,"3,592","6,257",960,"41,898",3.9%,2.90,,,,
Fresno ,Coalinga            ,"16,748","12,510","4,238","4,618","2,985",51,426,653,503,"4,075",11.8%,3.07,,,,
Fresno ,Firebaugh           ,"8,126","8,113",13,"2,160","1,400",108,356,221,75,"2,033",5.9%,3.99,,,,
Fresno ,Fowler              ,"6,601","6,554",47,"2,191","1,592",45,140,291,123,"2,013",8.1%,3.26,,,,
Fresno ,Fresno              ,"546,770","538,732","8,038","183,334","113,569","4,634","22,509","37,862","4,760","172,770",5.8%,3.12,,,,
Fresno ,Huron               ,"7,404","7,404",0,"1,692",521,118,395,554,104,"1,653",2.3%,4.48,,,,
Fresno ,Kerman              ,"16,118","16,111",7,"4,407","3,232",101,437,455,182,"4,321",2.0%,3.73,,,,
Fresno ,Kingsburg           ,"13,084","13,002",82,"4,460","3,231",54,420,557,198,"4,322",3.1%,3.01,,,,
Fresno ,Mendota             ,"12,448","12,448",0,"2,801","1,716",167,431,430,57,"2,695",3.8%,4.62,,,,
Fresno ,Orange Cove         ,"9,581","9,581",0,"2,314","1,458",94,288,474,0,"2,146",7.3%,4.47,,,,
Fresno ,Parlier             ,"15,828","15,826",2,"3,786","2,614",61,406,652,53,"3,539",6.5%,4.47,,,,
Fresno ,Reedley             ,"26,087","25,919",168,"7,277","5,092",84,726,"1,112",263,"6,990",3.9%,3.71,,,,
Fresno ,Sanger              ,"27,353","27,219",134,"7,805","6,003",75,"1,157",469,101,"7,384",5.4%,3.69,,,,
Fresno ,San Joaquin         ,"4,145","4,145",0,932,588,38,203,46,57,900,3.4%,4.61,,,,
Fresno ,Selma               ,"24,487","24,322",165,"7,076","5,459",150,492,585,390,"6,656",5.9%,3.65,,,,
Fresno ,Balance Of County    ,"170,067","167,944","2,123","60,924","49,508","1,015","1,888","1,411","7,102","52,602",13.7%,3.19,,,,
Fresno ,Incorporated,"856,614","843,332","13,282","278,456","181,490","6,544","31,978","50,618","7,826","263,395",5.4%,3.20,,,,
Fresno ,County Total,"1,026,681","1,011,276","15,405","339,380","230,998","7,559","33,866","52,029","14,928","315,997",6.9%,3.20,,,,
Glenn ,Orland              ,"8,527","8,516",11,"3,122","2,212",34,379,309,188,"2,975",4.7%,2.86,,,,
Glenn ,Willows             ,"6,233","6,056",177,"2,462","1,686",65,320,367,24,"2,226",9.6%,2.72,,,,
Glenn ,Balance Of County    ,"14,919","14,917",2,"5,810","4,154",114,132,91,"1,319","5,300",8.8%,2.82,,,,
Glenn ,Incorporated,"14,760","14,572",188,"5,584","3,898",99,699,676,212,"5,201",6.9%,2.80,,,,
Glenn ,County Total,"29,679","29,489",190,"11,394","8,052",213,831,767,"1,531","10,501",7.8%,2.81,,,,
Humboldt ,Arcata              ,"16,909","15,855","1,054","8,235","3,408",543,"1,209","2,185",890,"7,869",4.4%,2.02,,,,
Humboldt ,Blue Lake           ,"1,262","1,262",0,586,369,12,114,33,58,567,3.2%,2.23,,,,
Humboldt ,Eureka              ,"26,113","24,621","1,492","12,052","7,600",464,"2,275","1,580",133,"11,295",6.3%,2.18,,,,
Humboldt ,Ferndale            ,"1,368","1,368",0,732,606,17,85,24,0,635,13.3%,2.15,,,,
Humboldt ,Fortuna             ,"11,926","11,665",261,"5,218","3,460",170,618,608,362,"4,883",6.4%,2.39,,,,
Humboldt ,Rio Dell            ,"3,299","3,278",21,"1,491","1,072",72,180,18,149,"1,394",6.5%,2.35,,,,
Humboldt ,Trinidad            ,342,341,1,252,186,2,32,7,25,182,27.8%,1.87,,,,
Humboldt ,Balance Of County    ,"69,632","68,751",881,"35,131","26,264",911,"1,812","1,622","4,522","30,438",13.4%,2.26,,,,
Humboldt ,Incorporated,"61,219","58,390","2,829","28,566","16,701","1,280","4,513","4,455","1,617","26,825",6.1%,2.18,,,,
Humboldt ,County Total,"130,851","127,141","3,710","63,697","42,965","2,191","6,325","6,077","6,139","57,263",10.1%,2.22,,,,
Imperial ,Brawley             ,"27,326","27,152",174,"8,634","5,618",218,739,"1,689",370,"7,952",7.9%,3.41,,,,
Imperial ,Calexico            ,"40,485","40,385",100,"10,999","7,362",506,"1,211","1,748",172,"10,112",8.1%,3.99,,,,
Imperial ,Calipatria          ,"6,509","3,583","2,926","1,122",860,16,44,141,61,970,13.5%,3.69,,,,
Imperial ,El Centro           ,"44,997","44,181",816,"14,832","8,186",428,"1,584","3,103","1,531","13,195",11.0%,3.35,,,,
Imperial ,Holtville           ,"6,236","6,236",0,"1,982","1,310",86,177,203,206,"1,797",9.3%,3.47,,,,
Imperial ,Imperial            ,"20,289","20,258",31,"6,423","4,924",389,401,639,70,"5,767",10.2%,3.51,,,,
Imperial ,Westmorland         ,"2,305","2,305",0,679,466,10,100,83,20,622,8.4%,3.71,,,,
Imperial ,Balance Of County    ,"37,887","34,454","3,433","14,140","7,692",290,588,372,"5,198","10,589",25.1%,3.25,,,,
Imperial ,Incorporated,"148,147","144,100","4,047","44,671","28,726","1,653","4,256","7,606","2,430","40,415",9.5%,3.57,,,,
Imperial ,County Total,"186,034","178,554","7,480","58,811","36,418","1,943","4,844","7,978","7,628","51,004",13.3%,3.50,,,,
Inyo ,Bishop              ,"3,924","3,816",108,"1,949",768,84,382,345,370,"1,777",8.8%,2.15,,,,
Inyo ,Balance Of County    ,"14,639","14,385",254,"7,628","4,882",144,229,139,"2,234","6,348",16.8%,2.27,,,,
Inyo ,Incorporated,"3,924","3,816",108,"1,949",768,84,382,345,370,"1,777",8.8%,2.15,,,,
Inyo ,County Total,"18,563","18,201",362,"9,577","5,650",228,611,484,"2,604","8,125",15.2%,2.24,,,,
Kern ,Arvin               ,"22,014","21,665",349,"4,988","3,672",172,421,578,145,"4,727",5.2%,4.58,,,,
Kern ,Bakersfield         ,"397,392","394,015","3,377","132,774","95,590","3,359","14,704","16,334","2,787","124,707",6.1%,3.16,,,,
Kern ,California City     ,"14,120","12,105","2,015","5,246","4,052",125,471,159,439,"4,223",19.5%,2.87,,,,
Kern ,Delano              ,"51,070","44,563","6,507","11,132","7,897",468,"1,245","1,073",449,"10,617",4.6%,4.20,,,,
Kern ,Maricopa            ,"1,142","1,142",0,462,186,3,20,0,253,402,13.0%,2.84,,,,
Kern ,Mcfarland           ,"14,044","14,017",27,"3,208","2,775",57,208,98,70,"3,105",3.2%,4.51,,,,
Kern ,Ridgecrest          ,"29,591","29,402",189,"12,430","8,338",470,"1,858",814,950,"11,354",8.7%,2.59,,,,
Kern ,Shafter             ,"20,448","20,300",148,"5,623","4,428",153,551,277,214,"5,148",8.4%,3.94,,,,
Kern ,Taft                ,"7,142","6,767",375,"2,561","1,925",113,194,240,89,"2,342",8.6%,2.89,,,,
Kern ,Tehachapi           ,"12,008","9,070","2,938","3,706","2,450",119,439,251,447,"3,264",11.9%,2.78,,,,
Kern ,Wasco               ,"26,815","24,293","2,522","6,509","4,846",194,648,637,184,"6,153",5.5%,3.95,,,,
Kern ,Balance Of County    ,"318,407","315,463","2,944","115,679","82,213","2,230","9,013","5,131","17,092","100,727",12.9%,3.13,,,,
Kern ,Incorporated,"595,786","577,339","18,447","188,639","136,159","5,233","20,759","20,461","6,027","176,042",6.7%,3.28,,,,
Kern ,County Total,"914,193","892,802","21,391","304,318","218,372","7,463","29,772","25,592","23,119","276,769",9.1%,3.23,,,,
Kings ,Avenal              ,"12,354","9,021","3,333","2,527","1,534",81,432,374,106,"2,259",10.6%,3.99,,,,
Kings ,Corcoran            ,"20,476","13,236","7,240","4,163","3,104",133,432,298,196,"3,876",6.9%,3.42,,,,
Kings ,Hanford             ,"59,981","58,900","1,081","20,589","15,281",633,"1,735","2,520",420,"19,955",3.1%,2.95,,,,
Kings ,Lemoore             ,"26,809","26,792",17,"9,535","6,832",336,762,"1,298",307,"9,176",3.8%,2.92,,,,
Kings ,Balance Of County    ,"32,923","30,942","1,981","10,347","7,688","1,036",483,156,984,"9,594",7.3%,3.23,,,,
Kings ,Incorporated,"119,620","107,949","11,671","36,814","26,751","1,183","3,361","4,490","1,029","35,266",4.2%,3.06,,,,
Kings ,County Total,"152,543","138,891","13,652","47,161","34,439","2,219","3,844","4,646","2,013","44,860",4.9%,3.10,,,,
Lake ,Clearlake           ,"13,993","13,533",460,"7,796","4,064",163,412,752,"2,405","5,457",30.0%,2.48,,,,
Lake ,Lakeport            ,"4,774","4,637",137,"2,441","1,485",109,183,240,424,"2,008",17.7%,2.31,,,,
Lake ,Balance Of County    ,"45,173","44,752",421,"24,272","17,804",186,556,615,"5,111","18,801",22.5%,2.38,,,,
Lake ,Incorporated,"18,767","18,170",597,"10,237","5,549",272,595,992,"2,829","7,465",27.1%,2.43,,,,
Lake ,County Total,"63,940","62,922","1,018","34,509","23,353",458,"1,151","1,607","7,940","26,266",23.9%,2.40,,,,
Lassen ,Susanville          ,"12,729","7,811","4,918","4,264","3,074",228,141,543,278,"3,458",18.9%,2.26,,,,
Lassen ,Balance Of County    ,"14,843","13,746","1,097","8,514","6,016",73,171,198,"2,056","5,952",30.1%,2.31,,,,
Lassen ,Incorporated,"12,729","7,811","4,918","4,264","3,074",228,141,543,278,"3,458",18.9%,2.26,,,,
