"Table 2: E-5 City/County Population and Housing Estimates, 1/1/2021",,,,,,,,,,,,,,,,,
,,               POPULATION             ,,,                                    HOUSING UNITS ,,,,,,,,,,,,
County,City,Total,Household,Group Quarters,Total2,Single Detached,Single Attached,Two to Four,Five Plus,Mobile Homes,Occupied,Vacancy Rate,Persons per Household,,,,
Sutter ,Balance Of County    ,"21,146","21,086",60,"7,950","6,902",275,158,154,461,"7,154",10.0%,2.95,,,,
Sutter ,Incorporated,"80,143","79,460",683,"26,681","17,810","1,171","2,050","4,588","1,062","25,149",5.7%,3.16,,,,
Sutter ,County Total,"101,289","100,546",743,"34,631","24,712","1,446","2,208","4,742","1,523","32,303",6.7%,3.11,,,,
Tehama ,Corning             ,"7,664","7,639",25,"2,882","1,821",46,298,598,119,"2,669",7.4%,2.86,,,,
Tehama ,Red Bluff           ,"14,272","13,870",402,"5,956","3,637",113,816,921,469,"5,550",6.8%,2.50,,,,
Tehama ,Tehama              ,448,448,0,196,150,13,12,11,10,179,8.7%,2.50,,,,
Tehama ,Balance Of County    ,"42,970","42,669",301,"18,779","12,276",281,260,204,"5,758","16,506",12.1%,2.59,,,,
Tehama ,Incorporated,"22,384","21,957",427,"9,034","5,608",172,"1,126","1,530",598,"8,398",7.0%,2.61,,,,
Tehama ,County Total,"65,354","64,626",728,"27,813","17,884",453,"1,386","1,734","6,356","24,904",10.5%,2.60,,,,
Trinity ,County Total,"13,535","13,208",327,"8,851","5,843",122,347,269,"2,270","6,174",30.2%,2.14,,,,
Tulare ,Dinuba              ,"26,517","26,355",162,"7,118","5,342",135,624,718,299,"6,914",2.9%,3.81,,,,
Tulare ,Exeter              ,"10,997","10,924",73,"3,701","2,863",212,301,162,163,"3,593",2.9%,3.04,,,,
Tulare ,Farmersville        ,"11,327","11,327",0,"2,833","2,280",110,204,159,80,"2,773",2.1%,4.09,,,,
Tulare ,Lindsay             ,"13,090","12,994",96,"3,565","2,405",150,279,588,143,"3,351",6.0%,3.88,,,,
Tulare ,Porterville         ,"59,571","58,775",796,"18,443","12,509","1,213","1,995","1,653","1,073","17,319",6.1%,3.39,,,,
Tulare ,Tulare              ,"69,246","68,968",278,"22,053","17,121",424,"2,022","1,874",612,"20,837",5.5%,3.31,,,,
Tulare ,Visalia             ,"139,254","138,148","1,106","49,257","37,680","1,474","5,286","3,208","1,609","46,373",5.9%,2.98,,,,
Tulare ,Woodlake            ,"8,054","8,054",0,"2,311","1,593",156,139,365,58,"2,174",5.9%,3.71,,,,
Tulare ,Balance Of County    ,"143,677","141,924","1,753","44,705","35,002",59,"1,750","1,253","6,641","39,246",12.2%,3.62,,,,
Tulare ,Incorporated,"338,056","335,545","2,511","109,281","81,793","3,874","10,850","8,727","4,037","103,334",5.4%,3.25,,,,
Tulare ,County Total,"481,733","477,469","4,264","153,986","116,795","3,933","12,600","9,980","10,678","142,580",7.4%,3.35,,,,
Tuolumne ,Sonora              ,"4,690","4,434",256,"2,475","1,416",87,354,595,23,"2,156",12.9%,2.06,,,,
Tuolumne ,Balance Of County    ,"48,775","46,179","2,596","29,261","23,843",213,882,840,"3,483","20,302",30.6%,2.28,,,,
Tuolumne ,Incorporated,"4,690","4,434",256,"2,475","1,416",87,354,595,23,"2,156",12.9%,2.06,,,,
Tuolumne ,County Total,"53,465","50,613","2,852","31,736","25,259",300,"1,236","1,435","3,506","22,458",29.2%,2.25,,,,
Ventura ,Camarillo           ,"69,708","69,204",504,"27,907","16,108","4,924","1,085","4,770","1,020","26,777",4.0%,2.58,,,,
Ventura ,Fillmore            ,"15,807","15,641",166,"4,777","3,570",232,350,239,386,"4,477",6.3%,3.49,,,,
Ventura ,Moorpark            ,"35,981","35,981",0,"11,416","8,342","1,518",211,"1,201",144,"11,139",2.4%,3.23,,,,
