"Table 2: E-5 City/County Population and Housing Estimates, 4/1/2010",,,,,,,,,,,,
,,,,,,,,,,,,
,POPULATION,,, HOUSING UNITS,,,,,,,,
County / City,Total,Household,Group Quarters,Total,Single Detached,Single Attached,Two to Four,Five Plus,Mobile Homes,Occupied,Vacancy Rate,Persons per Household
Alameda County,,,,,,,,,,,,
Alameda             ,"73,812","72,316","1,496","32,351","13,700","3,347","5,826","9,351",127,"30,123",6.9%,2.40
Albany              ,"18,539","15,377","3,162","6,712","4,222",220,813,"1,432",25,"6,309",6.0%,2.44
Berkeley            ,"112,580","99,731","12,849","49,454","20,924","2,060","9,980","16,272",218,"46,029",6.9%,2.17
Dublin              ,"46,036","40,262","5,774","15,782","8,585","1,898",479,"4,766",54,"14,913",5.5%,2.70
Emeryville          ,"10,080","10,007",73,"6,646",420,401,751,"5,038",36,"5,694",14.3%,1.76
Fremont             ,"214,089","212,438","1,651","73,989","43,301","9,933","2,429","17,600",726,"71,004",4.0%,2.99
Hayward             ,"144,186","141,462","2,724","48,296","25,217","4,106","2,934","13,717","2,322","45,365",6.1%,3.12
Livermore           ,"80,968","80,458",510,"30,342","21,490","2,555","1,466","4,291",540,"29,134",4.0%,2.76
Newark              ,"42,573","42,428",145,"13,414","9,522","1,342",569,"1,981",0,"12,972",3.3%,3.27
Oakland             ,"390,724","382,586","8,138","169,710","73,904","6,842","32,600","55,809",555,"153,791",9.4%,2.49
Piedmont            ,"10,667","10,664",3,"3,924","3,710",48,87,79,0,"3,801",3.1%,2.81
Pleasanton          ,"70,285","69,829",456,"26,053","16,736","2,615","1,599","4,723",380,"25,245",3.1%,2.77
San Leandro         ,"84,950","84,300",650,"32,419","19,459","1,948","1,893","8,229",890,"30,717",5.3%,2.74
Union City          ,"69,516","68,998",518,"21,258","13,642","2,839",784,"3,000",993,"20,433",3.9%,3.38
,,,,,,,,,,, ,
Balance Of County    ,"141,266","138,896","2,370","51,022","34,474","4,126","3,116","8,341",965,"48,516",4.9%,2.86
Incorporated,"1,369,005","1,330,856","38,149","530,350","274,832","40,154","62,210","146,288","6,866","495,530",6.6%,2.69
 ,,,,,,,,,,, ,
County Total,"1,510,271","1,469,752","40,519","581,372","309,306","44,280","65,326","154,629","7,831","544,046",6.4%,2.70
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Alpine County,,,,,,,,,,, ,
County Total,"1,175","1,151",24,"1,760","1,040",12,45,631,32,497,71.8%,2.32
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Amador County,,,,,,,,,,, ,
Amador              ,185,185,0,108,90,12,6,0,0,85,21.3%,2.18
Ione                ,"7,918","3,746","4,172","1,635","1,447",31,0,104,53,"1,466",10.3%,2.56
Jackson             ,"4,651","4,423",228,"2,309","1,427",134,288,252,208,"2,065",10.6%,2.14
Plymouth            ,"1,005",996,9,493,275,30,23,25,140,403,18.3%,2.47
Sutter Creek        ,"2,501","2,500",1,"1,367",796,81,136,243,111,"1,168",14.6%,2.14
,,,,,,,,,,, ,
Balance Of County    ,"21,831","21,690",141,"12,120","10,720",270,159,66,905,"9,382",22.6%,2.31
Incorporated,"16,260","11,850","4,410","5,912","4,035",288,453,624,512,"5,187",12.3%,2.28
 ,,,,,,,,,,, ,
County Total,"38,091","33,540","4,551","18,032","14,755",558,612,690,"1,417","14,569",19.2%,2.30
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Butte County,,,,,,,,,,, ,
Biggs               ,"1,707","1,707",0,617,559,35,0,4,19,565,8.4%,3.02
Chico               ,"86,187","83,009","3,178","37,050","19,822","1,648","5,886","7,739","1,955","34,805",6.1%,2.39
Gridley             ,"6,584","6,472",112,"2,406","1,982",133,171,42,78,"2,183",9.3%,2.97
Oroville            ,"15,546","14,662",884,"6,194","3,625",221,782,"1,187",379,"5,646",8.8%,2.60
Paradise            ,"26,218","25,810",408,"12,981","9,002",339,"1,114",386,"2,140","11,893",8.4%,2.17
,,,,,,,,,,, ,
Balance Of County    ,"83,758","83,398",360,"36,587","25,065",689,880,444,"9,509","32,526",11.1%,2.56
Incorporated,"136,242","131,660","4,582","59,248","34,990","2,376","7,953","9,358","4,571","55,092",7.0%,2.39
 ,,,,,,,,,,, ,
County Total,"220,000","215,058","4,942","95,835","60,055","3,065","8,833","9,802","14,080","87,618",8.6%,2.45
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Calaveras County,,,,,,,,,,, ,
Angels City,"3,836","3,789",47,"1,943","1,394",71,129,120,229,"1,645",15.3%,2.30
,,,,,,,,,,, ,
Balance Of County    ,"41,742","41,296",446,"25,982","22,957",294,541,272,"1,918","17,241",33.6%,2.40
Incorporated,"3,836","3,789",47,"1,943","1,394",71,129,120,229,"1,645",15.3%,2.30
 ,,,,,,,,,,, ,
County Total,"45,578","45,085",493,"27,925","24,351",365,670,392,"2,147","18,886",32.4%,2.39
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Colusa County,,,,,,,,,,, ,
Colusa              ,"5,971","5,916",55,"2,282","1,615",77,321,149,120,"2,142",6.1%,2.76
Williams            ,"5,123","5,014",109,"1,487","1,103",19,142,162,61,"1,369",7.9%,3.66
,,,,,,,,,,, ,
Balance Of County    ,"10,325","10,264",61,"4,114","3,129",19,276,107,583,"3,545",13.8%,2.90
Incorporated,"11,094","10,930",164,"3,769","2,718",96,463,311,181,"3,511",6.8%,3.11
