"Table 2: E-5 City/County Population and Housing Estimates, 4/1/2010",,,,,,,,,,,,
,,,,,,,,,,,,
,POPULATION,,, HOUSING UNITS,,,,,,,,
 ,,,,,,,,,,, ,
County Total,"21,419","21,194",225,"7,883","5,847",115,739,418,764,"7,056",10.5%,3.00
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Contra Costa County,,,,,,,,,,, ,
Antioch             ,"102,372","101,708",664,"34,849","26,884","1,707","1,474","4,382",402,"32,252",7.5%,3.15
Brentwood           ,"51,481","51,335",146,"17,523","15,219",614,345,991,354,"16,494",5.9%,3.11
Clayton             ,"10,897","10,887",10,"4,086","3,341",538,108,99,0,"4,006",2.0%,2.72
Concord             ,"122,067","121,020","1,047","47,125","27,314","3,184","3,425","11,443","1,759","44,278",6.0%,2.73
Danville            ,"42,039","41,796",243,"15,934","12,067","2,900",153,797,17,"15,420",3.2%,2.71
El Cerrito          ,"23,549","23,456",93,"10,716","7,480",338,"1,389","1,450",59,"10,142",5.4%,2.31
Hercules            ,"24,060","24,005",55,"8,553","5,627","1,357",567,989,13,"8,115",5.1%,2.96
Lafayette           ,"23,893","23,794",99,"9,651","7,627",283,683,"1,050",8,"9,223",4.4%,2.58
Martinez            ,"35,824","34,528","1,296","14,976","9,391","2,123","1,325","2,122",15,"14,287",4.6%,2.42
Moraga              ,"16,016","14,293","1,723","5,754","3,818",870,289,777,0,"5,570",3.2%,2.57
Oakley,"35,432","35,329",103,"11,484","10,454",236,129,289,376,"10,727",6.6%,3.29
Orinda              ,"17,643","17,600",43,"6,804","6,374",159,9,262,0,"6,553",3.7%,2.69
Pinole              ,"18,390","18,322",68,"7,158","5,050",613,497,962,36,"6,775",5.4%,2.70
Pittsburg           ,"63,264","62,973",291,"21,126","14,914","1,300","1,241","2,924",747,"19,527",7.6%,3.23
Pleasant Hill       ,"33,152","32,689",463,"14,321","8,560","1,566","1,002","3,110",83,"13,708",4.3%,2.39
Richmond            ,"103,701","102,118","1,583","39,328","22,141","2,370","6,227","8,427",163,"36,093",8.2%,2.83
San Pablo           ,"29,139","28,698",441,"9,571","4,338",495,"1,532","2,719",487,"8,761",8.5%,3.28
San Ramon           ,"72,148","72,073",75,"26,222","16,434","3,015","1,066","5,670",37,"25,284",3.6%,2.85
Walnut Creek        ,"64,173","63,171","1,002","32,681","12,461","5,027","4,360","10,833",0,"30,443",6.8%,2.08
,,,,,,,,,,, ,
Balance Of County    ,"159,785","158,916",869,"62,401","47,199","2,899","2,661","6,824","2,818","57,706",7.5%,2.75
Incorporated,"889,240","879,795","9,445","337,862","219,494","28,695","25,821","59,296","4,556","317,658",6.0%,2.77
 ,,,,,,,,,,, ,
County Total,"1,049,025","1,038,711","10,314","400,263","266,693","31,594","28,482","66,120","7,374","375,364",6.2%,2.77
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Del Norte County,,,,,,,,,,, ,
Crescent City       ,"7,643","4,063","3,580","1,906",918,92,362,476,58,"1,707",10.4%,2.38
,,,,,,,,,,, ,
Balance Of County    ,"20,967","20,729",238,"9,280","5,877",181,443,327,"2,452","8,200",11.6%,2.53
Incorporated,"7,643","4,063","3,580","1,906",918,92,362,476,58,"1,707",10.4%,2.38
 ,,,,,,,,,,, ,
County Total,"28,610","24,792","3,818","11,186","6,795",273,805,803,"2,510","9,907",11.4%,2.50
,,,,,,,,,,, ,
,,,,,,,,,,, ,
El Dorado County,,,,,,,,,,, ,
Placerville         ,"10,389","9,788",601,"4,541","2,969",154,811,439,168,"4,129",9.1%,2.37
South Lake Tahoe    ,"21,403","21,034",369,"15,087","9,476",376,"2,454","2,218",563,"8,918",40.9%,2.36
,,,,,,,,,,, ,
Balance Of County    ,"149,266","148,593",673,"68,531","59,867",792,"1,597","2,928","3,347","57,176",16.6%,2.60
Incorporated,"31,792","30,822",970,"19,628","12,445",530,"3,265","2,657",731,"13,047",33.5%,2.36
 ,,,,,,,,,,, ,
County Total,"181,058","179,415","1,643","88,159","72,312","1,322","4,862","5,585","4,078","70,223",20.3%,2.55
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Fresno County,,,,,,,,,,, ,
Clovis              ,"95,631","95,243",388,"35,306","24,810",762,"3,270","5,504",960,"33,419",5.3%,2.85
Coalinga            ,"18,087","11,752","6,335","4,344","2,825",49,427,540,503,"3,896",10.3%,3.02
Firebaugh           ,"7,549","7,536",13,"2,096","1,335",108,357,221,75,"1,920",8.4%,3.93
Fowler              ,"5,570","5,523",47,"1,842","1,323",26,145,225,123,"1,723",6.5%,3.21
Fresno              ,"494,665","485,798","8,867","171,288","104,246","4,643","22,030","35,621","4,748","158,349",7.6%,3.07
Huron               ,"6,754","6,754",0,"1,602",505,94,395,504,104,"1,532",4.4%,4.41
Kerman              ,"13,544","13,537",7,"3,908","2,822",100,419,385,182,"3,692",5.5%,3.67
Kingsburg           ,"11,382","11,300",82,"4,069","2,969",49,395,458,198,"3,822",6.1%,2.96
Mendota             ,"11,014","11,014",0,"2,556","1,478",165,428,430,55,"2,424",5.2%,4.54
Orange Cove         ,"9,078","9,078",0,"2,231","1,372",94,285,480,0,"2,068",7.3%,4.39
Parlier             ,"14,494","14,492",2,"3,494","2,403",61,406,571,53,"3,297",5.6%,4.40
Reedley             ,"24,194","23,945",249,"6,867","4,999",84,726,795,263,"6,569",4.3%,3.65
Sanger              ,"24,270","24,136",134,"7,104","5,381",75,"1,149",399,100,"6,659",6.3%,3.63
San Joaquin         ,"4,001","4,001",0,934,590,38,203,46,57,882,5.6%,4.54
Selma               ,"23,219","23,054",165,"6,813","5,240",139,482,562,390,"6,416",5.8%,3.59
,,,,,,,,,,, ,
Balance Of County    ,"166,998","165,764","1,234","61,077","49,543",943,"1,920","1,777","6,894","52,723",13.7%,3.14
Incorporated,"763,452","747,163","16,289","254,454","162,298","6,487","31,117","46,741","7,811","236,668",7.0%,3.16
 ,,,,,,,,,,, ,
County Total,"930,450","912,927","17,523","315,531","211,841","7,430","33,037","48,518","14,705","289,391",8.3%,3.15
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Glenn County,,,,,,,,,,, ,
Orland              ,"7,291","7,280",11,"2,659","1,946",27,371,237,78,"2,515",5.4%,2.90
Willows             ,"6,166","5,976",190,"2,399","1,672",65,320,318,24,"2,173",9.4%,2.75
,,,,,,,,,,, ,
Balance Of County    ,"14,665","14,550",115,"5,720","4,105",116,126,91,"1,282","5,112",10.6%,2.85
Incorporated,"13,457","13,256",201,"5,058","3,618",92,691,555,102,"4,688",7.3%,2.83
 ,,,,,,,,,,, ,
County Total,"28,122","27,806",316,"10,778","7,723",208,817,646,"1,384","9,800",9.1%,2.84
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Humboldt County,,,,,,,,,,, ,
Arcata              ,"17,231","15,486","1,745","7,722","3,311",495,"1,162","1,865",889,"7,381",4.4%,2.10
Blue Lake           ,"1,253","1,253",0,572,362,11,108,33,58,542,5.2%,2.31
Eureka              ,"27,191","25,308","1,883","11,891","7,569",456,"2,244","1,489",133,"11,150",6.2%,2.27
Ferndale            ,"1,371","1,371",0,717,591,17,85,24,0,611,14.8%,2.24
Fortuna             ,"11,926","11,665",261,"4,991","3,328",162,566,575,360,"4,688",6.1%,2.49
Rio Dell            ,"3,368","3,347",21,"1,442","1,028",70,177,18,149,"1,367",5.2%,2.45
Trinidad            ,367,366,1,252,186,2,32,7,25,187,25.8%,1.96
,,,,,,,,,,, ,
Balance Of County    ,"71,916","70,813","1,103","33,972","25,521",837,"1,721","1,389","4,504","30,105",11.4%,2.35
Incorporated,"62,707","58,796","3,911","27,587","16,375","1,213","4,374","4,011","1,614","25,926",6.0%,2.27
 ,,,,,,,,,,, ,
County Total,"134,623","129,609","5,014","61,559","41,896","2,050","6,095","5,400","6,118","56,031",9.0%,2.31
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Imperial County,,,,,,,,,,, ,
Brawley             ,"24,953","24,779",174,"8,231","5,368",220,728,"1,500",415,"7,623",7.4%,3.25
Calexico            ,"38,572","38,472",100,"10,651","7,292",486,"1,158","1,545",170,"10,116",5.0%,3.80
Calipatria          ,"7,705","3,541","4,164","1,121",859,16,44,141,61,"1,008",10.1%,3.51
El Centro           ,"42,598","41,782",816,"14,476","8,086",427,"1,577","2,855","1,531","13,108",9.5%,3.19
Holtville           ,"5,939","5,939",0,"1,937","1,278",73,177,203,206,"1,799",7.1%,3.30
Imperial            ,"14,758","14,727",31,"4,751","3,427",389,401,464,70,"4,405",7.3%,3.34
Westmorland         ,"2,225","2,225",0,678,465,10,100,83,20,631,6.9%,3.53
,,,,,,,,,,, ,
Balance Of County    ,"37,778","32,379","5,399","14,222","7,801",290,590,382,"5,159","10,436",26.6%,3.10
Incorporated,"136,750","131,465","5,285","41,845","26,775","1,621","4,185","6,791","2,473","38,690",7.5%,3.40
 ,,,,,,,,,,, ,
County Total,"174,528","163,844","10,684","56,067","34,576","1,911","4,775","7,173","7,632","49,126",12.4%,3.34
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Inyo County,,,,,,,,,,, ,
Bishop              ,"3,879","3,771",108,"1,926",766,83,367,340,370,"1,748",9.2%,2.16
,,,,,,,,,,, ,
Balance Of County    ,"14,667","14,342",325,"7,552","4,850",128,229,139,"2,206","6,301",16.6%,2.28
Incorporated,"3,879","3,771",108,"1,926",766,83,367,340,370,"1,748",9.2%,2.16
 ,,,,,,,,,,, ,
County Total,"18,546","18,113",433,"9,478","5,616",211,596,479,"2,576","8,049",15.1%,2.25
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Kern County,,,,,,,,,,, ,
Arvin               ,"19,304","18,955",349,"4,476","3,262",119,422,530,143,"4,228",5.5%,4.48
Bakersfield         ,"347,483","344,088","3,395","120,725","85,476","3,357","14,340","15,015","2,537","111,132",7.9%,3.10
California City     ,"14,120","11,506","2,614","5,210","4,038",97,465,159,451,"4,102",21.3%,2.81
Delano              ,"53,041","42,144","10,897","10,713","7,548",468,"1,245","1,003",449,"10,260",4.2%,4.11
Maricopa            ,"1,154","1,154",0,466,187,3,20,0,256,414,11.2%,2.79
Mcfarland           ,"12,707","11,486","1,221","2,683","2,252",55,208,98,70,"2,599",3.1%,4.42
Ridgecrest          ,"27,616","27,420",196,"11,915","7,879",470,"1,852",782,932,"10,781",9.5%,2.54
Shafter             ,"16,988","16,323",665,"4,521","3,331",153,548,277,212,"4,230",6.4%,3.86
Taft                ,"9,327","6,372","2,955","2,525","1,885",113,198,240,89,"2,254",10.7%,2.83
Tehachapi           ,"14,414","8,487","5,927","3,539","2,407",77,439,170,446,"3,121",11.8%,2.72
Wasco               ,"25,545","19,825","5,720","5,477","4,150",193,376,571,187,"5,131",6.3%,3.86
,,,,,,,,,,, ,
Balance Of County    ,"297,932","295,114","2,818","112,117","79,653","2,220","8,558","4,821","16,865","96,358",14.1%,3.06
Incorporated,"541,699","507,760","33,939","172,250","122,415","5,105","20,113","18,845","5,772","158,252",8.1%,3.21
 ,,,,,,,,,,, ,
County Total,"839,631","802,874","36,757","284,367","202,068","7,325","28,671","23,666","22,637","254,610",10.5%,3.15
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Kings County,,,,,,,,,,, ,
Avenal              ,"15,505","9,082","6,423","2,410","1,494",81,432,297,106,"2,222",7.8%,4.09
Corcoran            ,"24,813","12,573","12,240","3,958","2,905",133,428,298,194,"3,594",9.2%,3.50
Hanford             ,"53,967","53,068",899,"18,493","13,490",628,"1,699","2,269",407,"17,492",5.4%,3.03
Lemoore             ,"24,531","24,514",17,"8,632","6,095",336,764,"1,130",307,"8,196",5.1%,2.99
,,,,,,,,,,, ,
Balance Of County    ,"34,166","32,165","2,001","10,374","7,780","1,040",483,136,935,"9,729",6.2%,3.31
Incorporated,"118,816","99,237","19,579","33,493","23,984","1,178","3,323","3,994","1,014","31,504",5.9%,3.15
 ,,,,,,,,,,, ,
County Total,"152,982","131,402","21,580","43,867","31,764","2,218","3,806","4,130","1,949","41,233",6.0%,3.19
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Lake County,,,,,,,,,,, ,
Clearlake           ,"15,250","14,790",460,"8,035","4,190",162,410,752,"2,521","5,970",25.7%,2.48
Lakeport            ,"4,753","4,616",137,"2,395","1,488",108,183,192,424,"2,002",16.4%,2.31
,,,,,,,,,,, ,
Balance Of County    ,"44,662","44,174",488,"25,062","18,494",360,574,615,"5,019","18,576",25.9%,2.38
Incorporated,"20,003","19,406",597,"10,430","5,678",270,593,944,"2,945","7,972",23.6%,2.43
 ,,,,,,,,,,, ,
County Total,"64,665","63,580","1,085","35,492","24,172",630,"1,167","1,559","7,964","26,548",25.2%,2.39
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Lassen County,,,,,,,,,,, ,
Susanville          ,"17,947","9,439","8,508","4,256","3,078",223,135,543,277,"3,833",9.9%,2.46
,,,,,,,,,,, ,
Balance Of County    ,"16,948","15,677","1,271","8,454","5,971",73,171,198,"2,041","6,225",26.4%,2.52
Incorporated,"17,947","9,439","8,508","4,256","3,078",223,135,543,277,"3,833",9.9%,2.46
 ,,,,,,,,,,, ,
County Total,"34,895","25,116","9,779","12,710","9,049",296,306,741,"2,318","10,058",20.9%,2.50
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Los Angeles County,,,,,,,,,,, ,
Agoura Hills        ,"20,330","20,242",88,"7,585","5,322","1,019",171,"1,051",22,"7,327",3.4%,2.76
Alhambra            ,"83,089","82,475",614,"30,915","13,767","3,854","3,698","9,566",30,"29,217",5.5%,2.82
Arcadia             ,"56,364","55,502",862,"20,686","12,641","2,124","1,097","4,824",0,"19,592",5.3%,2.83
Artesia             ,"16,522","15,909",613,"4,697","3,367",364,289,641,36,"4,535",3.4%,3.51
Avalon              ,"3,728","3,721",7,"2,266",601,137,854,674,0,"1,473",35.0%,2.53
Azusa               ,"46,361","43,559","2,802","13,386","6,078","1,807","1,402","3,534",565,"12,716",5.0%,3.43
Baldwin Park        ,"75,390","74,984",406,"17,736","12,704","1,226",585,"2,906",315,"17,189",3.1%,4.36
Bell                ,"35,477","34,898",579,"9,217","4,752",827,985,"2,265",388,"8,870",3.8%,3.93
Bellflower          ,"76,610","75,871",739,"24,896","12,355","2,079","1,796","7,352","1,314","23,650",5.0%,3.21
Bell Gardens        ,"42,072","41,648",424,"9,986","4,919","2,480","1,027","1,209",351,"9,655",3.3%,4.31
Beverly Hills       ,"34,109","33,988",121,"16,394","5,704",291,"1,902","8,455",42,"14,869",9.3%,2.29
Bradbury            ,"1,048","1,048",0,400,382,7,0,11,0,354,11.5%,2.96
Burbank             ,"103,340","102,767",573,"44,309","19,823","1,889","4,716","17,746",135,"41,940",5.3%,2.45
Calabasas           ,"23,058","23,049",9,"8,878","6,098",663,492,"1,394",231,"8,543",3.8%,2.70
Carson              ,"91,714","90,411","1,303","26,226","18,520","2,398",688,"2,164","2,456","25,432",3.0%,3.56
Cerritos            ,"49,047","48,943",104,"15,860","13,419","1,410",414,598,19,"15,527",2.1%,3.15
Claremont           ,"34,926","29,802","5,124","12,156","8,123","1,209","1,007","1,794",23,"11,608",4.5%,2.57
Commerce            ,"12,823","12,753",70,"3,470","2,376",331,232,531,0,"3,382",2.5%,3.77
Compton             ,"96,455","95,700",755,"24,523","16,819","2,314","2,119","2,645",626,"23,062",6.0%,4.15
Covina              ,"47,796","47,361",435,"16,576","9,629","1,488",822,"4,091",546,"15,855",4.3%,2.99
Cudahy              ,"23,805","23,797",8,"5,770","2,137","1,313",326,"1,574",420,"5,607",2.8%,4.24
Culver City         ,"38,883","38,572",311,"17,491","6,927","1,587","2,084","6,697",196,"16,779",4.1%,2.30
Diamond Bar         ,"55,544","55,415",129,"18,455","13,287","1,699","1,055","2,046",368,"17,880",3.1%,3.10
Downey              ,"111,772","111,089",683,"35,601","20,410","1,406","1,611","11,806",368,"33,936",4.7%,3.27
Duarte              ,"21,321","20,914",407,"7,254","4,652",936,235,"1,269",162,"7,013",3.3%,2.98
El Monte            ,"113,475","112,395","1,080","29,069","16,267","3,732","1,473","6,097","1,500","27,814",4.3%,4.04
El Segundo          ,"16,654","16,578",76,"7,410","3,174",354,767,"3,100",15,"7,085",4.4%,2.34
Gardena             ,"58,829","58,035",794,"21,472","9,657","1,366","2,569","6,635","1,245","20,558",4.3%,2.82
Glendale            ,"191,719","190,290","1,429","76,269","27,749","3,572","6,870","38,028",50,"72,269",5.2%,2.63
Glendora            ,"50,073","49,308",765,"17,778","13,133","1,412",611,"1,851",771,"17,141",3.6%,2.88
Hawaiian Gardens    ,"14,254","14,238",16,"3,703","1,737",518,363,834,251,"3,562",3.8%,4.00
Hawthorne           ,"84,293","83,754",539,"29,869","8,719","1,310","4,062","15,631",147,"28,486",4.6%,2.94
Hermosa Beach       ,"19,506","19,491",15,"10,162","4,360",778,"2,391","2,416",217,"9,550",6.0%,2.04
Hidden Hills        ,"1,856","1,856",0,626,622,4,0,0,0,593,5.3%,3.13
Huntington Park     ,"58,114","57,859",255,"15,151","6,266","2,031","1,585","5,184",85,"14,597",3.7%,3.96
Industry            ,451,214,237,73,59,0,6,0,8,69,5.5%,3.10
Inglewood           ,"109,673","108,171","1,502","38,429","14,747","2,312","5,493","15,668",209,"36,389",5.3%,2.97
Irwindale           ,"1,422","1,372",50,390,359,10,4,11,6,374,4.1%,3.67
La Canada Flintridge,"20,246","20,219",27,"7,089","6,513",186,96,250,44,"6,849",3.4%,2.95
La Habra Heights    ,"5,325","5,305",20,"1,880","1,815",65,0,0,0,"1,805",4.0%,2.94
Lakewood            ,"80,048","79,939",109,"27,470","22,706",970,379,"3,264",151,"26,543",3.4%,3.01
La Mirada           ,"48,527","45,670","2,857","15,092","12,083",762,288,"1,787",172,"14,681",2.7%,3.11
Lancaster           ,"156,633","148,374","8,259","51,835","36,045",834,"3,111","7,962","3,883","46,992",9.3%,3.16
La Puente           ,"39,816","39,773",43,"9,761","6,759",483,396,"2,093",30,"9,451",3.2%,4.21
La Verne            ,"31,063","30,387",676,"11,686","7,606",931,660,620,"1,869","11,261",3.6%,2.70
Lawndale            ,"32,769","32,594",175,"10,151","5,306","1,422",899,"2,273",251,"9,681",4.6%,3.37
Lomita              ,"20,256","20,089",167,"8,412","4,131",776,466,"2,419",620,"8,068",4.1%,2.49
Long Beach          ,"462,257","453,980","8,277","176,032","74,384","10,122","21,647","67,533","2,346","163,531",7.1%,2.78
Los Angeles         ,"3,792,621","3,704,409","88,212","1,412,006","557,441","86,515","125,584","632,386","10,080","1,316,244",6.8%,2.81
Lynwood             ,"69,772","67,120","2,652","15,277","9,335",968,"1,824","3,015",135,"14,680",3.9%,4.57
Malibu              ,"12,645","12,504",141,"6,864","4,777",539,246,761,541,"5,267",23.3%,2.37
Manhattan Beach     ,"35,135","35,107",28,"14,929","10,313","1,155","2,471",976,14,"14,038",6.0%,2.50
Maywood             ,"27,395","27,276",119,"6,766","3,688",871,910,"1,252",45,"6,559",3.1%,4.16
Monrovia            ,"36,590","36,434",156,"14,473","8,364","1,736","1,092","3,123",158,"13,762",4.9%,2.65
Montebello          ,"62,500","62,100",400,"19,768","9,821","1,539","2,458","5,684",266,"19,012",3.8%,3.27
Monterey Park       ,"60,269","60,039",230,"20,850","12,038","1,988","2,126","4,634",64,"19,963",4.3%,3.01
Norwalk             ,"105,549","103,934","1,615","28,083","20,579","1,255",854,"4,910",485,"27,130",3.4%,3.83
Palmdale            ,"152,750","152,551",199,"46,544","36,770",852,"1,416","5,349","2,157","42,952",7.7%,3.55
Palos Verdes Estates,"13,438","13,421",17,"5,283","4,877",67,30,297,12,"5,066",4.1%,2.65
Paramount           ,"54,098","53,788",310,"14,571","6,613","1,704",893,"4,228","1,133","13,881",4.7%,3.88
Pasadena            ,"137,122","133,629","3,493","59,551","26,361","3,949","5,248","23,863",130,"55,270",7.2%,2.42
Pico Rivera         ,"62,942","62,488",454,"17,109","13,113",646,437,"2,414",499,"16,566",3.2%,3.77
Pomona              ,"149,058","144,920","4,138","40,685","24,601","2,995","3,484","7,627","1,978","38,477",5.4%,3.77
Rancho Palos Verdes ,"41,643","41,303",340,"16,179","12,510","1,024",301,"2,319",25,"15,561",3.8%,2.65
Redondo Beach       ,"66,748","66,317",431,"30,609","12,098","4,229","4,636","9,387",259,"29,011",5.2%,2.29
Rolling Hills       ,"1,860","1,860",0,716,715,0,0,1,0,663,7.4%,2.81
Rolling Hills Estates,"8,067","8,067",0,"3,100","2,323",669,35,37,36,"2,965",4.4%,2.72
Rosemead            ,"53,764","53,351",413,"14,805","11,120","1,450",855,"1,214",166,"14,247",3.8%,3.75
San Dimas           ,"33,371","32,831",540,"12,506","7,302","1,621",312,"1,820","1,451","12,030",3.8%,2.73
San Fernando        ,"23,645","23,531",114,"6,291","4,577",459,481,653,121,"5,967",5.2%,3.94
San Gabriel         ,"39,718","39,266",452,"13,237","7,480","1,425",777,"3,547",8,"12,542",5.3%,3.13
San Marino          ,"13,147","13,066",81,"4,477","4,422",15,0,40,0,"4,330",3.3%,3.02
Santa Clarita       ,"176,320","174,910","1,410","62,055","37,016","7,050","2,674","13,030","2,285","59,507",4.1%,2.94
Santa Fe Springs    ,"16,223","16,030",193,"4,976","3,119",124,243,"1,417",73,"4,747",4.6%,3.38
Santa Monica        ,"89,736","87,610","2,126","50,912","9,755","1,825","5,280","33,847",205,"46,917",7.8%,1.87
Sierra Madre        ,"10,917","10,916",1,"5,113","3,548",324,337,904,0,"4,837",5.4%,2.26
Signal Hill         ,"11,016","10,970",46,"4,389","1,412",617,621,"1,739",0,"4,157",5.3%,2.64
South El Monte      ,"20,116","20,059",57,"4,711","3,426",173,241,421,450,"4,569",3.0%,4.39
South Gate          ,"94,396","94,308",88,"24,160","15,285","1,865","3,214","3,505",291,"23,278",3.7%,4.05
South Pasadena      ,"25,619","25,456",163,"11,118","4,956",644,"1,397","4,121",0,"10,467",5.9%,2.43
Temple City         ,"35,558","35,136",422,"12,117","9,766",890,345,"1,009",107,"11,606",4.2%,3.03
Torrance            ,"145,438","144,292","1,146","58,377","30,688","3,638","3,647","19,269","1,135","56,001",4.1%,2.58
Vernon              ,112,112,0,29,21,0,0,8,0,28,3.4%,4.00
Walnut              ,"29,172","29,138",34,"8,753","8,355",57,35,303,3,"8,533",2.5%,3.42
West Covina         ,"106,098","105,424",674,"32,705","21,162","3,116","1,235","6,847",345,"31,596",3.4%,3.34
