"Table 2: E-5 City/County Population and Housing Estimates, 1/1/2012",,,,,,,,,,,,
,,,,,,,,,,,,
,POPULATION,,, HOUSING UNITS,,,,,,,,
County / City,Total,Household,Group Quarters,Total,Single Detached,Single Attached,Two to Four,Five Plus,Mobile Homes,Occupied,Vacancy Rate,Persons per Household
Alameda County,,,,,,,,,,,,
Alameda             ,"75,272","73,674","1,598","32,429","13,778","3,347","5,826","9,351",127,"30,156",7.0%,2.44
Albany              ,"18,628","15,698","2,930","6,717","4,223",220,817,"1,432",25,"6,329",5.8%,2.48
Berkeley            ,"115,515","102,179","13,336","49,774","20,929","2,060","9,993","16,574",218,"46,342",6.9%,2.21
Dublin              ,"47,249","42,847","4,402","16,431","8,966","1,960",528,"4,923",54,"15,596",5.1%,2.75
Emeryville          ,"10,426","10,353",73,"6,652",421,401,751,"5,043",36,"5,789",13.0%,1.79
Fremont             ,"219,617","217,966","1,651","74,425","43,545","9,939","2,435","17,780",726,"71,590",3.8%,3.05
Hayward             ,"148,675","145,697","2,978","48,671","25,329","4,356","2,935","13,729","2,322","45,914",5.7%,3.17
Livermore           ,"82,948","82,438",510,"30,545","21,610","2,555","1,495","4,345",540,"29,335",4.0%,2.81
Newark              ,"43,363","43,218",145,"13,414","9,522","1,342",569,"1,981",0,"12,984",3.2%,3.33
Oakland             ,"401,139","393,354","7,785","170,037","74,080","6,847","32,609","55,946",555,"155,381",8.6%,2.53
Piedmont            ,"10,903","10,900",3,"3,932","3,714",48,91,79,0,"3,818",2.9%,2.86
Pleasanton          ,"71,635","71,179",456,"26,132","16,787","2,615","1,612","4,738",380,"25,287",3.2%,2.82
San Leandro         ,"86,769","86,119",650,"32,485","19,463","1,959","1,893","8,280",890,"30,837",5.1%,2.79
Union City          ,"71,074","70,556",518,"21,370","13,644","2,845",784,"3,100",997,"20,532",3.9%,3.44
,,,,,,,,,,, ,
Balance Of County    ,"143,779","141,410","2,369","51,035","34,480","4,126","3,118","8,346",965,"48,539",4.9%,2.91
Incorporated,"1,403,213","1,366,178","37,035","533,014","276,011","40,494","62,338","147,301","6,870","499,890",6.2%,2.73
 ,,,,,,,,,,, ,
County Total,"1,546,992","1,507,588","39,404","584,049","310,491","44,620","65,456","155,647","7,835","548,429",6.1%,2.75
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Alpine County,,,,,,,,,,, ,
County Total,"1,168","1,144",24,"1,763","1,042",12,45,631,33,487,72.4%,2.35
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Amador County,,,,,,,,,,, ,
Amador              ,182,182,0,108,90,12,6,0,0,85,21.3%,2.14
Ione                ,"7,250","3,806","3,444","1,686","1,498",31,0,104,53,"1,512",10.3%,2.52
Jackson             ,"4,606","4,379",227,"2,312","1,430",134,288,252,208,"2,075",10.3%,2.11
Plymouth            ,988,979,9,492,275,30,23,25,139,402,18.3%,2.44
Sutter Creek        ,"2,454","2,453",1,"1,372",802,81,136,243,110,"1,165",15.1%,2.11
,,,,,,,,,,, ,
Balance Of County    ,"21,513","21,355",158,"12,141","10,738",270,159,66,908,"9,376",22.8%,2.28
Incorporated,"15,480","11,799","3,681","5,970","4,095",288,453,624,510,"5,239",12.2%,2.25
 ,,,,,,,,,,, ,
County Total,"36,993","33,154","3,839","18,111","14,833",558,612,690,"1,418","14,615",19.3%,2.27
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Butte County,,,,,,,,,,, ,
Biggs               ,"1,704","1,704",0,615,559,35,0,4,17,565,8.1%,3.02
Chico               ,"87,895","84,397","3,498","37,605","19,971","1,648","5,958","8,073","1,955","35,450",5.7%,2.38
Gridley             ,"6,609","6,497",112,"2,410","1,986",133,171,42,78,"2,196",8.9%,2.96
Oroville            ,"15,544","14,619",925,"6,202","3,632",221,782,"1,187",380,"5,639",9.1%,2.59
Paradise            ,"26,129","25,721",408,"12,984","9,002",341,"1,114",386,"2,141","11,872",8.6%,2.17
,,,,,,,,,,, ,
Balance Of County    ,"84,035","83,675",360,"36,711","25,112",689,880,444,"9,586","32,692",10.9%,2.56
Incorporated,"137,881","132,938","4,943","59,816","35,150","2,378","8,025","9,692","4,571","55,722",6.8%,2.39
 ,,,,,,,,,,, ,
County Total,"221,916","216,613","5,303","96,527","60,262","3,067","8,905","10,136","14,157","88,414",8.4%,2.45
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Calaveras County,,,,,,,,,,, ,
Angels City,"3,835","3,788",47,"1,945","1,395",71,129,120,230,"1,654",15.0%,2.29
,,,,,,,,,,, ,
Balance Of County    ,"41,653","41,216",437,"26,183","23,133",294,541,272,"1,943","17,317",33.9%,2.38
Incorporated,"3,835","3,788",47,"1,945","1,395",71,129,120,230,"1,654",15.0%,2.29
 ,,,,,,,,,,, ,
County Total,"45,488","45,004",484,"28,128","24,528",365,670,392,"2,173","18,971",32.6%,2.37
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Colusa County,,,,,,,,,,, ,
Colusa              ,"6,039","5,963",76,"2,287","1,615",77,321,154,120,"2,156",5.7%,2.77
Williams            ,"5,212","5,103",109,"1,512","1,128",19,142,162,61,"1,391",8.0%,3.67
,,,,,,,,,,, ,
Balance Of County    ,"10,333","10,272",61,"4,111","3,119",19,276,107,590,"3,542",13.8%,2.90
Incorporated,"11,251","11,066",185,"3,799","2,743",96,463,316,181,"3,547",6.6%,3.12
 ,,,,,,,,,,, ,
County Total,"21,584","21,338",246,"7,910","5,862",115,739,423,771,"7,089",10.4%,3.01
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Contra Costa County,,,,,,,,,,, ,
Antioch             ,"105,094","104,430",664,"35,041","27,077","1,707","1,471","4,384",402,"32,650",6.8%,3.20
Brentwood           ,"53,068","52,922",146,"17,740","15,436",614,345,991,354,"16,765",5.5%,3.16
Clayton             ,"11,040","11,030",10,"4,087","3,342",538,108,99,0,"4,001",2.1%,2.76
Concord             ,"124,285","123,238","1,047","47,153","27,325","3,201","3,425","11,443","1,759","44,456",5.7%,2.77
Danville            ,"42,532","42,289",243,"15,950","12,081","2,902",153,797,17,"15,383",3.6%,2.75
El Cerrito          ,"23,906","23,813",93,"10,724","7,486",340,"1,389","1,450",59,"10,151",5.3%,2.35
Hercules            ,"24,457","24,402",55,"8,553","5,627","1,357",567,989,13,"8,134",4.9%,3.00
Lafayette           ,"24,210","24,111",99,"9,674","7,649",283,684,"1,050",8,"9,215",4.7%,2.62
Martinez            ,"36,445","35,066","1,379","14,982","9,397","2,123","1,325","2,122",15,"14,306",4.5%,2.45
Moraga              ,"16,271","14,548","1,723","5,758","3,822",870,289,777,0,"5,590",2.9%,2.60
Oakley,"36,966","36,863",103,"11,738","10,664",236,129,333,376,"11,035",6.0%,3.34
Orinda              ,"17,916","17,873",43,"6,812","6,382",159,9,262,0,"6,561",3.7%,2.72
Pinole              ,"18,662","18,594",68,"7,161","5,053",613,497,962,36,"6,779",5.3%,2.74
Pittsburg           ,"65,140","64,849",291,"21,421","15,088","1,300","1,231","3,055",747,"19,826",7.4%,3.27
Pleasant Hill       ,"33,628","33,165",463,"14,321","8,560","1,566","1,002","3,110",83,"13,712",4.3%,2.42
Richmond            ,"105,558","103,872","1,686","39,398","22,119","2,370","6,235","8,511",163,"36,197",8.1%,2.87
San Pablo           ,"29,531","29,090",441,"9,476","4,341",495,"1,532","2,726",382,"8,756",7.6%,3.32
San Ramon           ,"74,977","74,902",75,"26,902","16,717","3,015","1,142","5,991",37,"25,907",3.7%,2.89
Walnut Creek        ,"65,767","64,765","1,002","32,939","12,465","5,029","4,370","11,075",0,"30,773",6.6%,2.11
,,,,,,,,,,, ,
Balance Of County    ,"164,067","163,097",970,"62,995","47,363","2,907","2,661","7,246","2,818","58,393",7.3%,2.79
Incorporated,"909,453","899,822","9,631","339,830","220,631","28,718","25,903","60,127","4,451","320,197",5.8%,2.81
 ,,,,,,,,,,, ,
County Total,"1,073,520","1,062,919","10,601","402,825","267,994","31,625","28,564","67,373","7,269","378,590",6.0%,2.81
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Del Norte County,,,,,,,,,,, ,
Crescent City       ,"7,372","3,994","3,378","1,906",918,92,362,476,58,"1,687",11.5%,2.37
,,,,,,,,,,, ,
Balance Of County    ,"20,933","20,693",240,"9,321","5,905",181,443,327,"2,465","8,229",11.7%,2.52
Incorporated,"7,372","3,994","3,378","1,906",918,92,362,476,58,"1,687",11.5%,2.37
 ,,,,,,,,,,, ,
County Total,"28,305","24,687","3,618","11,227","6,823",273,805,803,"2,523","9,916",11.7%,2.49
,,,,,,,,,,, ,
,,,,,,,,,,, ,
El Dorado County,,,,,,,,,,, ,
Placerville         ,"10,437","9,821",616,"4,541","2,969",154,811,439,168,"4,132",9.0%,2.38
South Lake Tahoe    ,"21,395","21,035",360,"15,105","9,492",376,"2,456","2,218",563,"8,896",41.1%,2.37
,,,,,,,,,,, ,
Balance Of County    ,"149,945","149,269",676,"68,654","59,985",792,"1,597","2,928","3,352","57,291",16.6%,2.61
Incorporated,"31,832","30,856",976,"19,646","12,461",530,"3,267","2,657",731,"13,028",33.7%,2.37
 ,,,,,,,,,,, ,
County Total,"181,777","180,125","1,652","88,300","72,446","1,322","4,864","5,585","4,083","70,319",20.4%,2.56
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Fresno County,,,,,,,,,,, ,
Clovis              ,"99,124","98,736",388,"36,105","25,457",762,"3,270","5,656",960,"34,274",5.1%,2.88
Coalinga            ,"16,792","11,824","4,968","4,343","2,829",52,427,532,503,"3,878",10.7%,3.05
Firebaugh           ,"7,901","7,888",13,"2,146","1,387",108,355,221,75,"1,988",7.4%,3.97
Fowler              ,"5,745","5,698",47,"1,888","1,357",26,157,225,123,"1,758",6.9%,3.24
Fresno              ,"507,985","499,164","8,821","173,660","105,862","4,643","22,279","36,128","4,748","161,067",7.3%,3.10
Huron               ,"6,822","6,822",0,"1,596",505,94,395,498,104,"1,532",4.0%,4.45
Kerman              ,"14,021","14,014",7,"3,989","2,885",100,437,385,182,"3,781",5.2%,3.71
Kingsburg           ,"11,617","11,535",82,"4,090","2,983",51,395,463,198,"3,859",5.6%,2.99
Mendota             ,"11,260","11,260",0,"2,570","1,492",165,428,430,55,"2,451",4.6%,4.59
Orange Cove         ,"9,314","9,314",0,"2,271","1,412",94,285,480,0,"2,099",7.6%,4.44
Parlier             ,"14,859","14,857",2,"3,544","2,420",61,406,604,53,"3,344",5.6%,4.44
Reedley             ,"24,771","24,498",273,"6,924","5,024",84,726,827,263,"6,648",4.0%,3.69
Sanger              ,"24,797","24,663",134,"7,152","5,429",75,"1,149",399,100,"6,731",5.9%,3.66
San Joaquin         ,"4,058","4,058",0,933,589,38,203,46,57,885,5.1%,4.59
Selma               ,"23,759","23,594",165,"6,893","5,320",139,482,562,390,"6,496",5.8%,3.63
,,,,,,,,,,, ,
Balance Of County    ,"166,994","165,646","1,348","60,651","49,446",943,"1,884","1,412","6,966","52,201",13.9%,3.17
Incorporated,"782,825","767,925","14,900","258,104","164,951","6,492","31,394","47,456","7,811","240,791",6.7%,3.19
 ,,,,,,,,,,, ,
County Total,"949,819","933,571","16,248","318,755","214,397","7,435","33,278","48,868","14,777","292,992",8.1%,3.19
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Glenn County,,,,,,,,,,, ,
Orland              ,"7,566","7,555",11,"2,792","2,003",31,371,309,78,"2,639",5.5%,2.86
Willows             ,"6,121","5,931",190,"2,411","1,684",65,320,318,24,"2,181",9.5%,2.72
,,,,,,,,,,, ,
Balance Of County    ,"14,593","14,481",112,"5,732","4,114",116,126,91,"1,285","5,143",10.3%,2.82
Incorporated,"13,687","13,486",201,"5,203","3,687",96,691,627,102,"4,820",7.4%,2.80
 ,,,,,,,,,,, ,
County Total,"28,280","27,967",313,"10,935","7,801",212,817,718,"1,387","9,963",8.9%,2.81
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Humboldt County,,,,,,,,,,, ,
Arcata              ,"17,916","15,666","2,250","7,801","3,334",495,"1,170","1,913",889,"7,458",4.4%,2.10
Blue Lake           ,"1,276","1,276",0,578,366,11,110,33,58,551,4.7%,2.32
Eureka              ,"27,181","25,314","1,867","11,899","7,571",456,"2,250","1,489",133,"11,139",6.4%,2.27
Ferndale            ,"1,386","1,386",0,719,593,17,85,24,0,617,14.2%,2.25
Fortuna             ,"11,943","11,682",261,"5,000","3,338",162,566,575,359,"4,689",6.2%,2.49
Rio Dell            ,"3,364","3,343",21,"1,445","1,032",70,177,18,148,"1,364",5.6%,2.45
Trinidad            ,364,363,1,252,186,2,32,7,25,184,27.0%,1.97
,,,,,,,,,,, ,
Balance Of County    ,"72,365","71,224","1,141","34,167","25,663",837,"1,753","1,405","4,509","30,242",11.5%,2.36
Incorporated,"63,430","59,030","4,400","27,694","16,420","1,213","4,390","4,059","1,612","26,002",6.1%,2.27
 ,,,,,,,,,,, ,
County Total,"135,795","130,254","5,541","61,861","42,083","2,050","6,143","5,464","6,121","56,244",9.1%,2.32
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Imperial County,,,,,,,,,,, ,
Brawley             ,"25,791","25,617",174,"8,245","5,381",221,728,"1,500",415,"7,622",7.6%,3.36
Calexico            ,"39,869","39,769",100,"10,714","7,301",486,"1,158","1,599",170,"10,113",5.6%,3.93
Calipatria          ,"8,010","3,638","4,372","1,121",859,16,44,141,61,"1,002",10.6%,3.63
El Centro           ,"43,882","43,066",816,"14,478","8,088",427,"1,577","2,855","1,531","13,065",9.8%,3.30
Holtville           ,"6,076","6,076",0,"1,936","1,277",73,177,203,206,"1,779",8.1%,3.42
Imperial            ,"15,504","15,473",31,"4,851","3,527",389,401,464,70,"4,476",7.7%,3.46
Westmorland         ,"2,285","2,285",0,679,466,10,100,83,20,626,7.8%,3.65
,,,,,,,,,,, ,
Balance Of County    ,"37,911","33,452","4,459","14,198","7,767",290,584,372,"5,185","10,427",26.6%,3.21
Incorporated,"141,417","135,924","5,493","42,024","26,899","1,622","4,185","6,845","2,473","38,683",8.0%,3.51
 ,,,,,,,,,,, ,
County Total,"179,328","169,376","9,952","56,222","34,666","1,912","4,769","7,217","7,658","49,110",12.6%,3.45
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Inyo County,,,,,,,,,,, ,
Bishop              ,"3,872","3,764",108,"1,926",766,83,367,340,370,"1,747",9.3%,2.16
,,,,,,,,,,, ,
Balance Of County    ,"14,691","14,360",331,"7,557","4,857",133,229,139,"2,199","6,315",16.4%,2.27
Incorporated,"3,872","3,764",108,"1,926",766,83,367,340,370,"1,747",9.3%,2.15
 ,,,,,,,,,,, ,
County Total,"18,563","18,124",439,"9,483","5,623",216,596,479,"2,569","8,062",15.0%,2.25
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Kern County,,,,,,,,,,, ,
Arvin               ,"20,054","19,705",349,"4,569","3,307",119,422,578,143,"4,339",5.0%,4.54
Bakersfield         ,"357,397","353,785","3,612","122,145","86,510","3,357","14,376","15,360","2,542","112,801",7.6%,3.14
California City     ,"13,472","11,822","1,650","5,216","4,040",97,469,159,451,"4,161",20.2%,2.84
Delano              ,"52,210","43,073","9,137","10,812","7,577",468,"1,245","1,073",449,"10,352",4.3%,4.16
Maricopa            ,"1,156","1,156",0,466,187,3,20,0,256,410,12.0%,2.82
Mcfarland           ,"12,407","11,763",644,"2,709","2,278",55,208,98,70,"2,628",3.0%,4.48
Ridgecrest          ,"28,215","27,971",244,"12,025","7,986",470,"1,852",782,935,"10,875",9.6%,2.57
Shafter             ,"16,933","16,755",178,"4,603","3,413",153,548,277,212,"4,286",6.9%,3.91
Taft                ,"8,948","6,464","2,484","2,525","1,885",113,198,240,89,"2,258",10.6%,2.86
Tehachapi           ,"13,854","8,737","5,117","3,622","2,409",77,439,251,446,"3,172",12.4%,2.75
Wasco               ,"25,456","20,449","5,007","5,569","4,206",193,412,571,187,"5,225",6.2%,3.91
,,,,,,,,,,, ,
Balance Of County    ,"305,990","302,410","3,580","112,908","79,971","2,220","8,661","4,990","17,066","97,459",13.7%,3.10
Incorporated,"550,102","521,680","28,422","174,261","123,798","5,105","20,189","19,389","5,780","160,507",7.9%,3.25
 ,,,,,,,,,,, ,
County Total,"856,092","824,090","32,002","287,169","203,769","7,325","28,850","24,379","22,846","257,966",10.2%,3.19
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Kings County,,,,,,,,,,, ,
Avenal              ,"14,763","9,087","5,676","2,423","1,507",81,432,297,106,"2,219",8.4%,4.10
Corcoran            ,"23,560","12,781","10,779","4,008","2,955",133,428,298,194,"3,646",9.0%,3.51
Hanford             ,"54,990","53,978","1,012","18,695","13,630",632,"1,701","2,317",415,"17,756",5.0%,3.04
Lemoore             ,"24,695","24,678",17,"8,657","6,120",336,764,"1,130",307,"8,234",4.9%,3.00
,,,,,,,,,,, ,
Balance Of County    ,"33,702","31,885","1,817","10,398","7,777","1,036",483,156,946,"9,691",6.8%,3.29
Incorporated,"118,008","100,524","17,484","33,783","24,212","1,182","3,325","4,042","1,022","31,855",5.7%,3.16
 ,,,,,,,,,,, ,
County Total,"151,710","132,409","19,301","44,181","31,989","2,218","3,808","4,198","1,968","41,546",6.0%,3.19
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Lake County,,,,,,,,,,, ,
Clearlake           ,"15,302","14,842",460,"8,067","4,221",162,410,752,"2,522","6,005",25.6%,2.47
Lakeport            ,"4,745","4,608",137,"2,391","1,485",108,183,192,423,"2,003",16.2%,2.30
,,,,,,,,,,, ,
Balance Of County    ,"44,932","44,383",549,"25,173","18,603",360,574,615,"5,021","18,706",25.7%,2.37
Incorporated,"20,047","19,450",597,"10,458","5,706",270,593,944,"2,945","8,008",23.4%,2.43
 ,,,,,,,,,,, ,
County Total,"64,979","63,833","1,146","35,631","24,309",630,"1,167","1,559","7,966","26,714",25.0%,2.39
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Lassen County,,,,,,,,,,, ,
Susanville          ,"16,667","9,109","7,558","4,252","3,073",223,135,543,278,"3,771",11.3%,2.42
,,,,,,,,,,, ,
Balance Of County    ,"17,301","15,298","2,003","8,472","5,982",73,171,198,"2,048","6,197",26.9%,2.47
Incorporated,"16,667","9,109","7,558","4,252","3,073",223,135,543,278,"3,771",11.3%,2.42
 ,,,,,,,,,,, ,
County Total,"33,968","24,407","9,561","12,724","9,055",296,306,741,"2,326","9,968",21.7%,2.45
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Los Angeles County,,,,,,,,,,, ,
Agoura Hills        ,"20,615","20,527",88,"7,588","5,325","1,019",171,"1,051",22,"7,341",3.3%,2.80
Alhambra            ,"84,488","83,874",614,"31,014","13,776","3,854","3,708","9,646",30,"29,357",5.3%,2.86
Arcadia             ,"56,589","55,727",862,"20,677","12,621","2,124","1,115","4,817",0,"19,436",6.0%,2.87
Artesia             ,"16,674","16,061",613,"4,701","3,369",364,291,641,36,"4,523",3.8%,3.55
Avalon              ,"3,818","3,811",7,"2,289",603,138,858,690,0,"1,491",34.9%,2.56
Azusa               ,"46,810","44,008","2,802","13,415","6,125","1,810","1,376","3,550",554,"12,694",5.4%,3.47
Baldwin Park        ,"76,336","75,930",406,"17,774","12,718","1,226",597,"2,918",315,"17,198",3.2%,4.42
Bell                ,"35,997","35,418",579,"9,217","4,752",827,985,"2,265",388,"8,895",3.5%,3.98
Bellflower          ,"77,633","76,894",739,"24,899","12,358","2,079","1,796","7,352","1,314","23,682",4.9%,3.25
Bell Gardens        ,"42,656","42,232",424,"9,987","4,918","2,480","1,029","1,209",351,"9,673",3.1%,4.37
Beverly Hills       ,"34,439","34,318",121,"16,421","5,724",291,"1,905","8,459",42,"14,834",9.7%,2.31
Bradbury            ,"1,068","1,068",0,405,387,7,0,11,0,356,12.1%,3.00
Burbank             ,"105,544","104,971",573,"44,612","19,812","1,901","4,730","18,034",135,"42,326",5.1%,2.48
Calabasas           ,"23,837","23,828",9,"9,069","6,214",663,492,"1,469",231,"8,714",3.9%,2.73
Carson              ,"92,617","91,248","1,369","26,143","18,337","2,398",688,"2,264","2,456","25,360",3.0%,3.60
Cerritos            ,"49,344","49,240",104,"15,860","13,419","1,410",414,598,19,"15,434",2.7%,3.19
Claremont           ,"35,497","30,359","5,138","12,257","8,130","1,209","1,007","1,888",23,"11,684",4.7%,2.60
Commerce            ,"12,977","12,907",70,"3,470","2,376",331,232,531,0,"3,382",2.5%,3.82
Compton             ,"98,381","97,626",755,"24,586","16,840","2,346","2,121","2,653",626,"23,245",5.5%,4.20
Covina              ,"48,432","47,997",435,"16,599","9,652","1,488",822,"4,091",546,"15,876",4.4%,3.02
Cudahy              ,"24,132","24,124",8,"5,770","2,137","1,313",326,"1,574",420,"5,616",2.7%,4.30
Culver City         ,"39,358","39,047",311,"17,481","6,917","1,587","2,084","6,697",196,"16,782",4.0%,2.33
Diamond Bar         ,"56,342","56,213",129,"18,478","13,310","1,699","1,055","2,046",368,"17,920",3.0%,3.14
Downey              ,"113,229","112,546",683,"35,606","20,415","1,406","1,611","11,806",368,"33,969",4.6%,3.31
Duarte              ,"21,615","21,208",407,"7,258","4,656",936,235,"1,269",162,"7,026",3.2%,3.02
El Monte            ,"114,988","113,908","1,080","29,074","16,272","3,732","1,473","6,097","1,500","27,850",4.2%,4.09
El Segundo          ,"16,787","16,711",76,"7,412","3,176",354,767,"3,100",15,"7,056",4.8%,2.37
Gardena             ,"59,692","58,898",794,"21,501","9,686","1,366","2,569","6,635","1,245","20,613",4.1%,2.86
Glendale            ,"194,319","192,890","1,429","76,360","27,754","3,575","6,874","38,107",50,"72,379",5.2%,2.67
Glendora            ,"50,922","50,157",765,"17,816","13,137","1,412",645,"1,851",771,"17,227",3.3%,2.91
Hawaiian Gardens    ,"14,464","14,448",16,"3,702","1,736",518,363,834,251,"3,571",3.5%,4.05
Hawthorne           ,"86,035","85,496",539,"30,026","8,725","1,310","4,062","15,782",147,"28,730",4.3%,2.98
Hermosa Beach       ,"19,800","19,785",15,"10,160","4,368",778,"2,381","2,416",217,"9,577",5.7%,2.07
Hidden Hills        ,"1,880","1,880",0,628,624,4,0,0,0,593,5.6%,3.17
Huntington Park     ,"58,981","58,726",255,"15,151","6,266","2,031","1,585","5,184",85,"14,638",3.4%,4.01
Industry            ,435,198,237,68,58,0,6,0,4,63,7.4%,3.14
Inglewood           ,"112,044","110,542","1,502","38,623","14,761","2,313","5,496","15,844",209,"36,741",4.9%,3.01
Irwindale           ,"1,415","1,365",50,387,356,10,4,11,6,367,5.2%,3.72
La Canada Flintridge,"20,519","20,492",27,"7,094","6,518",186,96,250,44,"6,858",3.3%,2.99
La Habra Heights    ,"5,407","5,387",20,"1,883","1,818",65,0,0,0,"1,811",3.8%,2.98
Lakewood            ,"80,887","80,778",109,"27,481","22,705",986,375,"3,264",151,"26,500",3.6%,3.05
La Mirada           ,"49,131","46,274","2,857","15,092","12,083",762,288,"1,787",172,"14,697",2.6%,3.15
Lancaster           ,"159,315","151,706","7,609","52,285","36,434",834,"3,107","8,002","3,908","47,471",9.2%,3.20
La Puente           ,"40,335","40,292",43,"9,767","6,760",483,396,"2,098",30,"9,460",3.1%,4.26
La Verne            ,"31,711","31,035",676,"11,795","7,614",931,660,721,"1,869","11,363",3.7%,2.73
Lawndale            ,"33,223","33,048",175,"10,151","5,306","1,422",899,"2,273",251,"9,698",4.5%,3.41
Lomita              ,"20,537","20,370",167,"8,439","4,157",776,466,"2,419",621,"8,082",4.2%,2.52
Long Beach          ,"470,537","461,798","8,739","176,131","74,430","10,123","21,649","67,583","2,346","164,353",6.7%,2.81
Los Angeles         ,"3,858,949","3,769,144","89,805","1,418,581","557,523","86,682","126,525","637,770","10,081","1,323,197",6.7%,2.85
Lynwood             ,"70,635","68,112","2,523","15,278","9,336",968,"1,824","3,015",135,"14,719",3.7%,4.63
Malibu              ,"12,749","12,608",141,"6,868","4,788",539,239,761,541,"5,247",23.6%,2.40
Manhattan Beach     ,"35,539","35,511",28,"14,956","10,333","1,177","2,456",976,14,"14,029",6.2%,2.53
Maywood             ,"27,780","27,661",119,"6,760","3,684",870,909,"1,252",45,"6,572",2.8%,4.21
Monrovia            ,"37,100","36,944",156,"14,474","8,365","1,736","1,092","3,123",158,"13,788",4.7%,2.68
Montebello          ,"63,400","63,000",400,"19,808","9,821","1,542","2,462","5,717",266,"19,056",3.8%,3.31
Monterey Park       ,"61,510","61,280",230,"21,079","12,059","1,993","2,119","4,844",64,"20,131",4.5%,3.04
Norwalk             ,"106,413","105,041","1,372","28,089","20,580","1,255",858,"4,910",486,"27,090",3.6%,3.88
Palmdale            ,"155,599","155,400",199,"46,663","36,889",852,"1,416","5,349","2,157","43,230",7.4%,3.60
Palos Verdes Estates,"13,495","13,478",17,"5,294","4,888",67,30,297,12,"5,026",5.1%,2.68
Paramount           ,"54,988","54,678",310,"14,590","6,632","1,704",893,"4,228","1,133","13,941",4.4%,3.92
Pasadena            ,"139,887","136,394","3,493","60,263","26,403","4,143","5,233","24,354",130,"55,737",7.5%,2.45
Pico Rivera         ,"63,741","63,287",454,"17,107","13,111",646,437,"2,414",499,"16,577",3.1%,3.82
Pomona              ,"152,100","147,715","4,385","40,715","24,613","2,995","3,502","7,627","1,978","38,749",4.8%,3.81
Rancho Palos Verdes ,"42,166","41,826",340,"16,218","12,515","1,024",301,"2,353",25,"15,569",4.0%,2.69
Redondo Beach       ,"67,751","67,320",431,"30,615","12,095","4,240","4,634","9,387",259,"29,096",5.0%,2.31
Rolling Hills       ,"1,889","1,889",0,719,718,0,0,1,0,666,7.4%,2.84
Rolling Hills Estates,"8,121","8,121",0,"3,100","2,323",669,35,37,36,"2,949",4.9%,2.75
Rosemead            ,"54,568","54,155",413,"14,863","11,177","1,436",855,"1,229",166,"14,288",3.9%,3.79
San Dimas           ,"33,724","33,184",540,"12,508","7,304","1,621",312,"1,820","1,451","12,013",4.0%,2.76
San Fernando        ,"23,926","23,812",114,"6,296","4,582",459,481,653,121,"5,966",5.2%,3.99
San Gabriel         ,"40,075","39,623",452,"13,258","7,501","1,425",777,"3,547",8,"12,504",5.7%,3.17
San Marino          ,"13,266","13,185",81,"4,477","4,422",15,0,40,0,"4,317",3.6%,3.05
Santa Clarita       ,"179,487","178,077","1,410","62,223","37,144","7,050","2,674","13,070","2,285","59,857",3.8%,2.98
Santa Fe Springs    ,"16,702","16,509",193,"5,048","3,150",165,243,"1,417",73,"4,830",4.3%,3.42
Santa Monica        ,"90,654","88,508","2,146","50,994","9,743","1,825","5,266","33,955",205,"46,830",8.2%,1.89
Sierra Madre        ,"11,018","11,017",1,"5,116","3,551",324,337,904,0,"4,824",5.7%,2.28
Signal Hill         ,"11,217","11,171",46,"4,418","1,422",618,625,"1,753",0,"4,183",5.3%,2.67
South El Monte      ,"20,296","20,239",57,"4,711","3,426",173,241,421,450,"4,554",3.3%,4.44
South Gate          ,"95,188","95,100",88,"24,051","15,174","1,865","3,214","3,505",293,"23,192",3.6%,4.10
South Pasadena      ,"25,820","25,657",163,"11,123","4,961",644,"1,397","4,121",0,"10,423",6.3%,2.46
Temple City         ,"35,920","35,498",422,"12,138","9,787",890,345,"1,009",107,"11,585",4.6%,3.06
Torrance            ,"147,371","146,225","1,146","58,434","30,686","3,638","3,652","19,323","1,135","56,072",4.0%,2.61
Vernon              ,122,122,0,31,23,0,0,8,0,30,3.2%,4.07
Walnut              ,"29,862","29,828",34,"8,867","8,469",57,35,303,3,"8,630",2.7%,3.46
West Covina         ,"107,512","106,838",674,"32,774","21,166","3,116","1,235","6,912",345,"31,636",3.5%,3.38
West Hollywood      ,"34,918","34,809",109,"24,699","2,300",712,"2,370","19,272",45,"22,579",8.6%,1.54
