"Table 2: E-5 City/County Population and Housing Estimates, 1/1/2012",,,,,,,,,,,,
,,,,,,,,,,,,
,POPULATION,,, HOUSING UNITS,,,,,,,,
County / City,Total,Household,Group Quarters,Total,Single Detached,Single Attached,Two to Four,Five Plus,Mobile Homes,Occupied,Vacancy Rate,Persons per Household
,,,,,,,,,,, ,
Balance Of County    ,"147,158","141,186","5,972","68,219","55,706","2,820","2,604","2,422","4,667","57,002",16.4%,2.48
Incorporated,"342,320","337,571","4,749","137,144","85,117","11,544","10,844","22,920","6,719","129,645",5.5%,2.60
 ,,,,,,,,,,, ,
County Total,"489,478","478,757","10,721","205,363","140,823","14,364","13,448","25,342","11,386","186,647",9.1%,2.57
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Stanislaus County,,,,,,,,,,, ,
Ceres               ,"46,048","45,695",353,"13,681","10,353",716,671,"1,185",756,"12,728",7.0%,3.59
Hughson             ,"6,759","6,740",19,"2,267","1,916",15,42,233,61,"2,083",8.1%,3.24
Modesto             ,"204,506","201,560","2,946","75,092","52,247","3,230","7,776","9,709","2,130","69,500",7.4%,2.90
Newman              ,"10,590","10,524",66,"3,439","2,808",142,163,326,0,"3,079",10.5%,3.42
Oakdale             ,"21,078","20,891",187,"7,854","6,055",422,448,609,320,"7,349",6.4%,2.84
Patterson           ,"20,871","20,868",3,"6,339","5,603",178,156,269,133,"5,693",10.2%,3.67
Riverbank           ,"23,050","22,882",168,"7,082","6,088",250,160,288,296,"6,613",6.6%,3.46
Turlock             ,"70,008","68,673","1,335","24,656","17,036","1,563","1,649","3,783",625,"22,965",6.9%,2.99
Waterford           ,"8,581","8,558",23,"2,665","2,118",61,111,363,12,"2,467",7.4%,3.47
,,,,,,,,,,, ,
Balance Of County    ,"111,904","110,538","1,366","36,670","29,892",908,"1,214",430,"4,226","33,704",8.1%,3.28
Incorporated,"411,491","406,391","5,100","143,075","104,224","6,577","11,176","16,765","4,333","132,477",7.4%,3.07
 ,,,,,,,,,,, ,
County Total,"523,395","516,929","6,466","179,745","134,116","7,485","12,390","17,195","8,559","166,181",7.5%,3.11
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Sutter County,,,,,,,,,,, ,
Live Oak            ,"8,242","8,126",116,"2,537","1,921",241,90,178,107,"2,370",6.6%,3.43
Yuba City           ,"65,435","64,848",587,"23,209","15,207",928,"1,917","4,239",918,"21,664",6.7%,2.99
,,,,,,,,,,, ,
Balance Of County    ,"21,431","21,371",60,"8,189","7,117",275,160,154,483,"7,540",7.9%,2.83
Incorporated,"73,677","72,974",703,"25,746","17,128","1,169","2,007","4,417","1,025","24,034",6.6%,3.04
 ,,,,,,,,,,, ,
County Total,"95,108","94,345",763,"33,935","24,245","1,444","2,167","4,571","1,508","31,574",7.0%,2.99
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Tehama County,,,,,,,,,,, ,
Corning             ,"7,673","7,648",25,"2,871","1,807",45,302,598,119,"2,637",8.2%,2.90
Red Bluff           ,"14,111","13,670",441,"5,912","3,595",113,814,921,469,"5,396",8.7%,2.53
Tehama              ,425,425,0,196,150,13,12,11,10,168,14.3%,2.53
,,,,,,,,,,, ,
Balance Of County    ,"41,376","40,968",408,"18,147","11,941",249,258,204,"5,495","15,631",13.9%,2.62
Incorporated,"22,209","21,743",466,"8,979","5,552",171,"1,128","1,530",598,"8,201",8.7%,2.65
 ,,,,,,,,,,, ,
County Total,"63,585","62,711",874,"27,126","17,493",420,"1,386","1,734","6,093","23,832",12.1%,2.63
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Trinity County,,,,,,,,,,, ,
County Total,"13,751","13,356",395,"8,698","5,775",117,347,269,"2,190","6,083",30.1%,2.20
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Tulare County,,,,,,,,,,, ,
Dinuba              ,"22,685","22,523",162,"6,139","4,471",135,620,616,297,"5,866",4.4%,3.84
Exeter              ,"10,449","10,376",73,"3,602","2,776",212,289,162,163,"3,386",6.0%,3.06
Farmersville        ,"10,884","10,884",0,"2,765","2,212",110,204,159,80,"2,644",4.4%,4.12
Lindsay             ,"12,454","12,358",96,"3,342","2,264",118,279,538,143,"3,163",5.4%,3.91
Porterville         ,"55,370","54,264","1,106","16,909","11,821",441,"1,931","1,645","1,071","15,873",6.1%,3.42
Tulare              ,"60,683","60,405",278,"19,141","14,967",424,"1,798","1,340",612,"17,985",6.0%,3.36
Visalia             ,"127,144","125,785","1,359","44,705","33,585","1,474","5,008","3,034","1,604","41,880",6.3%,3.00
Woodlake            ,"7,359","7,359",0,"2,078","1,423",153,139,305,58,"1,971",5.1%,3.73
,,,,,,,,,,, ,
Balance Of County    ,"144,716","142,847","1,869","44,616","34,596",822,"1,713","1,105","6,380","39,212",12.1%,3.64
Incorporated,"307,028","303,954","3,074","98,681","73,519","3,067","10,268","7,799","4,028","92,768",6.0%,3.28
 ,,,,,,,,,,, ,
County Total,"451,744","446,801","4,943","143,297","108,115","3,889","11,981","8,904","10,408","131,980",7.9%,3.39
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Tuolumne County,,,,,,,,,,, ,
Sonora              ,"4,874","4,588",286,"2,460","1,408",86,356,588,22,"2,187",11.1%,2.10
,,,,,,,,,,, ,
Balance Of County    ,"50,105","46,327","3,778","28,820","23,533",203,874,840,"3,370","19,982",30.7%,2.32
Incorporated,"4,874","4,588",286,"2,460","1,408",86,356,588,22,"2,187",11.1%,2.10
 ,,,,,,,,,,, ,
County Total,"54,979","50,915","4,064","31,280","24,941",289,"1,230","1,428","3,392","22,169",29.1%,2.30
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Ventura County,,,,,,,,,,, ,
