"Table 2: E-5 City/County Population and Housing Estimates, 1/1/2013",,,,,,,,,,,,
,,,,,,,,,,,,
,POPULATION,,, HOUSING UNITS,,,,,,,,
 ,,,,,,,,,,, ,
County Total,"21,663","21,419",244,"7,921","5,868",115,739,423,776,"7,112",10.2%,3.01
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Contra Costa County,,,,,,,,,,, ,
Antioch             ,"107,476","106,812",664,"35,278","27,314","1,707","1,471","4,384",402,"33,278",5.7%,3.21
Brentwood           ,"54,057","53,911",146,"17,877","15,573",614,345,991,354,"17,019",4.8%,3.17
Clayton             ,"11,088","11,078",10,"4,100","3,355",538,108,99,0,"4,004",2.3%,2.77
Concord             ,"125,406","124,359","1,047","47,154","27,326","3,201","3,425","11,443","1,759","44,712",5.2%,2.78
Danville            ,"42,710","42,467",243,"15,962","12,091","2,904",153,797,17,"15,394",3.6%,2.76
El Cerrito          ,"23,999","23,906",93,"10,725","7,487",340,"1,389","1,450",59,"10,155",5.3%,2.35
Hercules            ,"24,640","24,585",55,"8,551","5,625","1,357",567,989,13,"8,166",4.5%,3.01
Lafayette           ,"24,311","24,212",99,"9,681","7,653",285,685,"1,050",8,"9,221",4.8%,2.63
Martinez            ,"36,784","35,453","1,331","15,069","9,484","2,123","1,325","2,122",15,"14,414",4.3%,2.46
Moraga              ,"16,403","14,680","1,723","5,760","3,823",871,289,777,0,"5,621",2.4%,2.61
Oakley,"38,060","37,957",103,"11,903","10,785",236,129,377,376,"11,323",4.9%,3.35
Orinda              ,"17,986","17,943",43,"6,814","6,381",162,9,262,0,"6,564",3.7%,2.73
Pinole              ,"18,734","18,666",68,"7,161","5,053",613,497,962,36,"6,781",5.3%,2.75
Pittsburg           ,"66,161","65,870",291,"21,510","15,177","1,300","1,231","3,055",747,"20,068",6.7%,3.28
Pleasant Hill       ,"33,821","33,358",463,"14,324","8,563","1,566","1,002","3,110",83,"13,744",4.0%,2.43
Richmond            ,"106,682","104,912","1,770","39,401","22,106","2,370","6,235","8,527",163,"36,432",7.5%,2.88
San Pablo           ,"30,136","29,695",441,"9,476","4,341",495,"1,532","2,726",382,"8,907",6.0%,3.33
San Ramon           ,"76,469","76,394",75,"27,342","16,864","3,015","1,142","6,284",37,"26,331",3.7%,2.90
Walnut Creek        ,"66,431","65,429","1,002","32,984","12,473","5,030","4,370","11,111",0,"30,980",6.1%,2.11
,,,,,,,,,,, ,
Balance Of County    ,"165,377","164,493",884,"63,040","47,390","2,925","2,661","7,246","2,818","58,688",6.9%,2.80
Incorporated,"921,354","911,687","9,667","341,072","221,474","28,727","25,904","60,516","4,451","323,114",5.3%,2.82
 ,,,,,,,,,,, ,
County Total,"1,086,731","1,076,180","10,551","404,112","268,864","31,652","28,565","67,762","7,269","381,802",5.5%,2.82
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Del Norte County,,,,,,,,,,, ,
Crescent City       ,"7,055","3,878","3,177","1,904",918,92,360,476,58,"1,648",13.4%,2.35
,,,,,,,,,,, ,
Balance Of County    ,"20,814","20,593",221,"9,346","5,909",181,463,327,"2,466","8,238",11.9%,2.50
Incorporated,"7,055","3,878","3,177","1,904",918,92,360,476,58,"1,648",13.4%,2.35
 ,,,,,,,,,,, ,
County Total,"27,869","24,471","3,398","11,250","6,827",273,823,803,"2,524","9,886",12.1%,2.48
,,,,,,,,,,, ,
,,,,,,,,,,, ,
El Dorado County,,,,,,,,,,, ,
Placerville         ,"10,428","9,811",617,"4,545","2,973",154,811,439,168,"4,155",8.6%,2.36
South Lake Tahoe    ,"21,276","20,909",367,"15,114","9,501",376,"2,456","2,218",563,"8,901",41.1%,2.35
,,,,,,,,,,, ,
Balance Of County    ,"149,549","148,879",670,"68,836","60,165",792,"1,597","2,928","3,354","57,515",16.4%,2.59
Incorporated,"31,704","30,720",984,"19,659","12,474",530,"3,267","2,657",731,"13,056",33.6%,2.35
 ,,,,,,,,,,, ,
County Total,"181,253","179,599","1,654","88,495","72,639","1,322","4,864","5,585","4,085","70,571",20.3%,2.54
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Fresno County,,,,,,,,,,, ,
Clovis              ,"101,086","100,698",388,"36,589","25,841",762,"3,310","5,716",960,"34,916",4.6%,2.88
Coalinga            ,"16,711","11,842","4,869","4,345","2,831",52,427,532,503,"3,880",10.7%,3.05
Firebaugh           ,"7,888","7,875",13,"2,140","1,383",108,353,221,75,"1,983",7.3%,3.97
Fowler              ,"5,793","5,746",47,"1,902","1,369",26,159,225,123,"1,771",6.9%,3.24
Fresno              ,"511,730","502,836","8,894","174,745","106,532","4,643","22,281","36,541","4,748","162,071",7.3%,3.10
Huron               ,"6,869","6,869",0,"1,596",505,94,395,498,104,"1,541",3.4%,4.46
Kerman              ,"14,400","14,393",7,"4,068","2,894",100,437,455,182,"3,879",4.6%,3.71
Kingsburg           ,"11,774","11,692",82,"4,107","2,999",52,395,463,198,"3,907",4.9%,2.99
Mendota             ,"11,399","11,399",0,"2,571","1,493",165,428,430,55,"2,478",3.6%,4.60
Orange Cove         ,"9,353","9,353",0,"2,278","1,419",94,285,480,0,"2,106",7.6%,4.44
Parlier             ,"14,910","14,908",2,"3,553","2,429",61,406,604,53,"3,352",5.7%,4.45
Reedley             ,"25,305","25,021",284,"7,015","5,016",84,726,926,263,"6,782",3.3%,3.69
Sanger              ,"25,062","24,928",134,"7,167","5,444",75,"1,149",399,100,"6,796",5.2%,3.67
San Joaquin         ,"4,092","4,092",0,932,588,38,203,46,57,891,4.4%,4.59
Selma               ,"23,916","23,751",165,"6,922","5,349",139,482,562,390,"6,532",5.6%,3.64
,,,,,,,,,,, ,
Balance Of County    ,"167,839","166,002","1,837","60,713","49,480",943,"1,884","1,412","6,994","52,255",13.9%,3.18
Incorporated,"790,288","775,403","14,885","259,930","166,092","6,493","31,436","48,098","7,811","242,885",6.6%,3.19
 ,,,,,,,,,,, ,
County Total,"958,127","941,405","16,722","320,643","215,572","7,436","33,320","49,510","14,805","295,140",8.0%,3.19
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Glenn County,,,,,,,,,,, ,
Orland              ,"7,587","7,576",11,"2,807","2,017",32,371,309,78,"2,649",5.6%,2.86
Willows             ,"6,118","5,910",208,"2,411","1,684",65,320,318,24,"2,175",9.8%,2.72
,,,,,,,,,,, ,
Balance Of County    ,"14,687","14,583",104,"5,736","4,117",116,126,91,"1,286","5,185",9.6%,2.81
Incorporated,"13,705","13,486",219,"5,218","3,701",97,691,627,102,"4,824",7.6%,2.80
 ,,,,,,,,,,, ,
County Total,"28,392","28,069",323,"10,954","7,818",213,817,718,"1,388","10,009",8.6%,2.80
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Humboldt County,,,,,,,,,,, ,
Arcata              ,"17,941","15,707","2,234","7,830","3,333",497,"1,170","1,941",889,"7,486",4.4%,2.10
Blue Lake           ,"1,293","1,293",0,579,367,11,110,33,58,559,3.5%,2.31
Eureka              ,"27,147","25,288","1,859","11,899","7,571",456,"2,250","1,489",133,"11,139",6.4%,2.27
Ferndale            ,"1,385","1,385",0,719,593,17,85,24,0,617,14.2%,2.25
Fortuna             ,"11,943","11,682",261,"5,005","3,343",162,566,575,359,"4,694",6.2%,2.49
Rio Dell            ,"3,343","3,322",21,"1,449","1,033",70,180,18,148,"1,357",6.3%,2.45
Trinidad            ,355,354,1,252,186,2,32,7,25,180,28.6%,1.97
,,,,,,,,,,, ,
Balance Of County    ,"72,017","70,905","1,112","34,281","25,719",844,"1,757","1,452","4,509","30,139",12.1%,2.35
Incorporated,"63,407","59,031","4,376","27,733","16,426","1,215","4,393","4,087","1,612","26,032",6.1%,2.27
 ,,,,,,,,,,, ,
County Total,"135,424","129,936","5,488","62,014","42,145","2,059","6,150","5,539","6,121","56,171",9.4%,2.31
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Imperial County,,,,,,,,,,, ,
Brawley             ,"26,074","25,900",174,"8,248","5,383",218,732,"1,500",415,"7,598",7.9%,3.41
Calexico            ,"40,261","40,161",100,"10,791","7,326",486,"1,158","1,651",170,"10,069",6.7%,3.99
Calipatria          ,"7,111","3,647","3,464","1,121",859,16,44,141,61,990,11.7%,3.68
El Centro           ,"44,430","43,614",816,"14,547","8,085",427,"1,577","2,927","1,531","13,046",10.3%,3.34
Holtville           ,"6,162","6,162",0,"1,936","1,277",73,177,203,206,"1,779",8.1%,3.46
Imperial            ,"16,115","16,084",31,"5,017","3,693",389,401,464,70,"4,587",8.6%,3.51
Westmorland         ,"2,318","2,318",0,679,466,10,100,83,20,626,7.8%,3.70
,,,,,,,,,,, ,
Balance Of County    ,"38,025","33,932","4,093","14,185","7,758",290,584,372,"5,181","10,419",26.5%,3.26
Incorporated,"142,471","137,886","4,585","42,339","27,089","1,619","4,189","6,969","2,473","38,695",8.6%,3.56
 ,,,,,,,,,,, ,
County Total,"180,496","171,818","8,678","56,524","34,847","1,909","4,773","7,341","7,654","49,114",13.1%,3.50
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Inyo County,,,,,,,,,,, ,
Bishop              ,"3,860","3,752",108,"1,925",765,83,367,340,370,"1,744",9.4%,2.15
,,,,,,,,,,, ,
Balance Of County    ,"14,717","14,391",326,"7,566","4,860",133,229,139,"2,205","6,340",16.2%,2.27
Incorporated,"3,860","3,752",108,"1,925",765,83,367,340,370,"1,744",9.4%,2.15
 ,,,,,,,,,,, ,
County Total,"18,577","18,143",434,"9,491","5,625",216,596,479,"2,575","8,084",14.8%,2.24
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Kern County,,,,,,,,,,, ,
Arvin               ,"20,118","19,769",349,"4,568","3,306",119,422,578,143,"4,338",5.0%,4.56
Bakersfield         ,"363,420","359,782","3,638","123,066","87,230","3,357","14,383","15,360","2,736","114,321",7.1%,3.15
California City     ,"13,618","12,167","1,451","5,226","4,047",97,471,159,452,"4,268",18.3%,2.85
Delano              ,"52,043","43,274","8,769","10,831","7,596",468,"1,245","1,073",449,"10,365",4.3%,4.18
Maricopa            ,"1,131","1,131",0,464,186,3,20,0,255,400,13.8%,2.83
Mcfarland           ,"12,652","12,032",620,"2,755","2,324",55,208,98,70,"2,679",2.8%,4.49
Ridgecrest          ,"28,375","28,121",254,"12,088","8,016",470,"1,852",814,936,"10,907",9.8%,2.58
Shafter             ,"16,994","16,846",148,"4,612","3,422",153,548,277,212,"4,294",6.9%,3.92
Taft                ,"8,958","6,498","2,460","2,522","1,882",113,198,240,89,"2,262",10.3%,2.87
Tehachapi           ,"13,275","8,767","4,508","3,622","2,409",77,439,251,446,"3,172",12.4%,2.76
Wasco               ,"25,849","20,868","4,981","5,649","4,228",193,470,571,187,"5,314",5.9%,3.93
,,,,,,,,,,, ,
Balance Of County    ,"309,255","305,585","3,670","113,221","80,238","2,220","8,672","5,131","16,960","98,128",13.3%,3.11
Incorporated,"556,433","529,255","27,178","175,403","124,646","5,105","20,256","19,421","5,975","162,320",7.5%,3.26
 ,,,,,,,,,,, ,
County Total,"865,688","834,840","30,848","288,624","204,884","7,325","28,928","24,552","22,935","260,448",9.8%,3.21
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Kings County,,,,,,,,,,, ,
Avenal              ,"14,031","9,058","4,973","2,432","1,516",81,432,297,106,"2,227",8.4%,4.07
Corcoran            ,"23,037","12,705","10,332","3,998","2,944",133,428,298,195,"3,649",8.7%,3.48
Hanford             ,"55,330","54,265","1,065","18,783","13,717",632,"1,701","2,317",416,"17,973",4.3%,3.02
Lemoore             ,"25,025","25,008",17,"8,805","6,188",336,764,"1,210",307,"8,401",4.6%,2.98
,,,,,,,,,,, ,
Balance Of County    ,"33,368","31,552","1,816","10,411","7,785","1,036",483,156,951,"9,682",7.0%,3.26
Incorporated,"117,423","101,036","16,387","34,018","24,365","1,182","3,325","4,122","1,024","32,250",5.2%,3.13
 ,,,,,,,,,,, ,
County Total,"150,791","132,588","18,203","44,429","32,150","2,218","3,808","4,278","1,975","41,932",5.6%,3.16
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Lake County,,,,,,,,,,, ,
Clearlake           ,"15,175","14,715",460,"8,060","4,214",162,410,752,"2,522","6,020",25.3%,2.44
Lakeport            ,"4,714","4,577",137,"2,391","1,484",109,183,192,423,"2,011",15.9%,2.28
,,,,,,,,,,, ,
Balance Of County    ,"45,111","44,575",536,"25,192","18,634",360,574,615,"5,009","18,999",24.6%,2.35
Incorporated,"19,889","19,292",597,"10,451","5,698",271,593,944,"2,945","8,031",23.2%,2.40
 ,,,,,,,,,,, ,
County Total,"65,000","63,867","1,133","35,643","24,332",631,"1,167","1,559","7,954","27,030",24.2%,2.36
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Lassen County,,,,,,,,,,, ,
Susanville          ,"15,718","9,084","6,634","4,254","3,075",223,135,543,278,"3,773",11.3%,2.41
,,,,,,,,,,, ,
Balance Of County    ,"17,149","15,265","1,884","8,481","5,991",73,171,198,"2,048","6,204",26.8%,2.46
Incorporated,"15,718","9,084","6,634","4,254","3,075",223,135,543,278,"3,773",11.3%,2.41
 ,,,,,,,,,,, ,
County Total,"32,867","24,349","8,518","12,735","9,066",296,306,741,"2,326","9,977",21.7%,2.44
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Los Angeles County,,,,,,,,,,, ,
Agoura Hills        ,"20,758","20,670",88,"7,588","5,325","1,019",171,"1,051",22,"7,361",3.0%,2.81
Alhambra            ,"85,243","84,629",614,"31,074","13,778","3,854","3,708","9,704",30,"29,498",5.1%,2.87
Arcadia             ,"56,859","55,997",862,"20,692","12,614","2,124","1,125","4,829",0,"19,449",6.0%,2.88
Artesia             ,"16,748","16,135",613,"4,703","3,371",364,291,641,36,"4,525",3.8%,3.57
Avalon              ,"3,843","3,836",7,"2,288",603,137,858,690,0,"1,495",34.7%,2.57
Azusa               ,"47,416","44,614","2,802","13,643","6,268","1,810","1,419","3,592",554,"12,816",6.1%,3.48
Baldwin Park        ,"76,527","76,121",406,"17,799","12,735","1,226",597,"2,926",315,"17,170",3.5%,4.43
Bell                ,"36,323","35,744",579,"9,217","4,752",827,985,"2,265",388,"8,940",3.0%,4.00
Bellflower          ,"78,127","77,388",739,"24,899","12,358","2,079","1,796","7,352","1,314","23,735",4.7%,3.26
Bell Gardens        ,"42,967","42,543",424,"9,986","4,917","2,480","1,029","1,209",351,"9,704",2.8%,4.38
Beverly Hills       ,"34,615","34,494",121,"16,436","5,728",291,"1,903","8,472",42,"14,848",9.7%,2.32
Bradbury            ,"1,064","1,064",0,406,388,7,0,11,0,353,13.1%,3.01
Burbank             ,"106,469","105,896",573,"44,626","19,812","1,907","4,725","18,047",135,"42,522",4.7%,2.49
Calabasas           ,"23,854","23,845",9,"9,069","6,214",663,492,"1,469",231,"8,684",4.2%,2.75
Carson              ,"92,965","91,589","1,376","26,116","18,310","2,398",688,"2,264","2,456","25,349",2.9%,3.61
Cerritos            ,"49,551","49,447",104,"15,860","13,419","1,410",414,598,19,"15,435",2.7%,3.20
Claremont           ,"35,820","30,374","5,446","12,253","8,126","1,209","1,007","1,888",23,"11,641",5.0%,2.61
Commerce            ,"13,032","12,962",70,"3,470","2,376",331,232,531,0,"3,382",2.5%,3.83
Compton             ,"98,797","98,042",755,"24,588","16,842","2,346","2,121","2,653",626,"23,247",5.5%,4.22
Covina              ,"48,704","48,269",435,"16,627","9,652","1,516",822,"4,091",546,"15,900",4.4%,3.04
Cudahy              ,"24,303","24,295",8,"5,770","2,137","1,313",326,"1,574",420,"5,632",2.4%,4.31
Culver City         ,"39,587","39,276",311,"17,486","6,920","1,587","2,086","6,697",196,"16,810",3.9%,2.34
Diamond Bar         ,"56,680","56,551",129,"18,478","13,310","1,699","1,055","2,046",368,"17,953",2.8%,3.15
Downey              ,"113,870","113,187",683,"35,606","20,415","1,406","1,611","11,806",368,"34,021",4.5%,3.33
Duarte              ,"21,796","21,389",407,"7,271","4,668",937,235,"1,269",162,"7,056",3.0%,3.03
El Monte            ,"115,420","114,340","1,080","29,063","16,267","3,732","1,467","6,097","1,500","27,840",4.2%,4.11
El Segundo          ,"16,857","16,781",76,"7,412","3,176",354,767,"3,100",15,"7,056",4.8%,2.38
Gardena             ,"60,235","59,441",794,"21,556","9,741","1,366","2,569","6,635","1,245","20,717",3.9%,2.87
Glendale            ,"195,276","193,847","1,429","76,375","27,759","3,575","6,884","38,107",50,"72,437",5.2%,2.68
Glendora            ,"51,453","50,688",765,"17,836","13,140","1,412",662,"1,851",771,"17,337",2.8%,2.92
Hawaiian Gardens    ,"14,600","14,584",16,"3,702","1,736",518,363,834,251,"3,590",3.0%,4.06
Hawthorne           ,"86,912","86,373",539,"30,027","8,726","1,310","4,062","15,782",147,"28,904",3.7%,2.99
Hermosa Beach       ,"19,976","19,961",15,"10,150","4,369",784,"2,364","2,416",217,"9,622",5.2%,2.08
Hidden Hills        ,"1,890","1,890",0,631,627,4,0,0,0,594,5.9%,3.18
Huntington Park     ,"59,535","59,280",255,"15,152","6,267","2,031","1,585","5,184",85,"14,715",2.9%,4.03
Industry            ,430,193,237,68,58,0,6,0,4,61,10.3%,3.16
Inglewood           ,"112,505","111,003","1,502","38,623","14,759","2,313","5,498","15,844",209,"36,741",4.9%,3.02
Irwindale           ,"1,426","1,376",50,396,355,10,4,21,6,368,7.1%,3.74
La Canada Flintridge,"20,630","20,603",27,"7,095","6,519",186,96,250,44,"6,867",3.2%,3.00
La Habra Heights    ,"5,447","5,427",20,"1,883","1,818",65,0,0,0,"1,817",3.5%,2.99
Lakewood            ,"80,923","80,814",109,"27,481","22,705",986,375,"3,264",151,"26,402",3.9%,3.06
La Mirada           ,"49,420","46,563","2,857","15,093","12,084",762,288,"1,787",172,"14,728",2.4%,3.16
Lancaster           ,"160,420","152,932","7,488","52,344","36,626",834,"3,094","7,880","3,910","47,656",9.0%,3.21
La Puente           ,"40,557","40,514",43,"9,775","6,763",483,401,"2,098",30,"9,473",3.1%,4.28
La Verne            ,"32,250","31,151","1,099","11,796","7,615",931,660,721,"1,869","11,358",3.7%,2.74
Lawndale            ,"33,472","33,297",175,"10,152","5,307","1,422",899,"2,273",251,"9,731",4.1%,3.42
Lomita              ,"20,589","20,422",167,"8,447","4,165",776,466,"2,419",621,"8,069",4.5%,2.53
Long Beach          ,"473,176","464,479","8,697","176,414","74,467","10,123","21,649","67,829","2,346","164,622",6.7%,2.82
Los Angeles         ,"3,894,465","3,802,837","91,628","1,425,372","557,318","86,733","127,217","644,023","10,081","1,329,486",6.7%,2.86
Lynwood             ,"71,648","68,719","2,929","15,279","9,337",968,"1,824","3,015",135,"14,789",3.2%,4.65
Malibu              ,"12,805","12,664",141,"6,870","4,793",539,236,761,541,"5,248",23.6%,2.41
Manhattan Beach     ,"35,698","35,670",28,"14,961","10,336","1,179","2,456",976,14,"14,033",6.2%,2.54
Maywood             ,"28,040","27,921",119,"6,760","3,684",870,909,"1,252",45,"6,606",2.3%,4.23
Monrovia            ,"37,410","37,254",156,"14,487","8,366","1,736","1,099","3,128",158,"13,846",4.4%,2.69
Montebello          ,"63,712","63,312",400,"19,812","9,821","1,542","2,466","5,717",266,"19,071",3.7%,3.32
Monterey Park       ,"61,464","61,234",230,"21,074","12,054","1,993","2,119","4,844",64,"20,033",4.9%,3.06
Norwalk             ,"106,378","104,987","1,391","28,045","20,582","1,255",832,"4,890",486,"26,964",3.9%,3.89
Palmdale            ,"156,307","156,108",199,"46,680","36,906",852,"1,416","5,349","2,157","43,247",7.4%,3.61
Palos Verdes Estates,"13,556","13,539",17,"5,296","4,890",67,30,297,12,"5,028",5.1%,2.69
Paramount           ,"55,508","55,198",310,"14,586","6,628","1,704",893,"4,228","1,133","14,015",3.9%,3.94
Pasadena            ,"140,571","137,078","3,493","60,314","26,411","4,155","5,231","24,387",130,"55,784",7.5%,2.46
Pico Rivera         ,"64,147","63,693",454,"17,121","13,116",655,437,"2,414",499,"16,614",3.0%,3.83
Pomona              ,"152,984","148,759","4,225","40,832","24,725","2,995","3,502","7,632","1,978","38,861",4.8%,3.83
Rancho Palos Verdes ,"42,203","41,863",340,"16,221","12,518","1,024",301,"2,353",25,"15,518",4.3%,2.70
Redondo Beach       ,"68,427","67,996",431,"30,640","12,122","4,240","4,632","9,387",259,"29,266",4.5%,2.32
Rolling Hills       ,"1,896","1,896",0,719,718,0,0,1,0,666,7.4%,2.85
Rolling Hills Estates,"8,157","8,157",0,"3,101","2,324",669,35,37,36,"2,950",4.9%,2.77
Rosemead            ,"54,714","54,301",413,"14,869","11,183","1,436",855,"1,229",166,"14,267",4.0%,3.81
San Dimas           ,"33,789","33,249",540,"12,516","7,312","1,621",312,"1,820","1,451","11,987",4.2%,2.77
San Fernando        ,"24,191","24,077",114,"6,351","4,582",459,465,724,121,"6,007",5.4%,4.01
San Gabriel         ,"40,269","39,817",452,"13,268","7,482","1,425",775,"3,578",8,"12,513",5.7%,3.18
San Marino          ,"13,234","13,153",81,"4,472","4,417",15,0,40,0,"4,289",4.1%,3.07
Santa Clarita       ,"206,801","205,391","1,410","70,996","42,423","8,032","3,047","14,891","2,603","68,078",4.1%,3.02
Santa Fe Springs    ,"17,083","16,890",193,"5,115","3,190",177,243,"1,432",73,"4,921",3.8%,3.43
Santa Monica        ,"90,829","88,683","2,146","51,210","9,742","1,825","5,270","34,172",201,"46,728",8.8%,1.90
Sierra Madre        ,"11,068","11,067",1,"5,118","3,553",324,337,904,0,"4,826",5.7%,2.29
Signal Hill         ,"11,287","11,241",46,"4,431","1,422",618,625,"1,766",0,"4,192",5.4%,2.68
South El Monte      ,"20,401","20,344",57,"4,716","3,431",173,241,421,450,"4,559",3.3%,4.46
South Gate          ,"95,910","95,822",88,"24,133","15,256","1,865","3,214","3,505",293,"23,271",3.6%,4.12
South Pasadena      ,"25,933","25,770",163,"11,125","4,963",644,"1,397","4,121",0,"10,425",6.3%,2.47
Temple City         ,"36,094","35,672",422,"12,147","9,796",890,345,"1,009",107,"11,593",4.6%,3.08
Torrance            ,"148,072","146,926","1,146","58,441","30,693","3,638","3,652","19,323","1,135","56,107",4.0%,2.62
Vernon              ,123,123,0,31,23,0,0,8,0,30,3.2%,4.10
Walnut              ,"30,037","30,003",34,"8,908","8,510",57,35,303,3,"8,644",3.0%,3.47
West Covina         ,"107,795","107,121",674,"32,775","21,167","3,116","1,235","6,912",345,"31,588",3.6%,3.39
