"Table 2: E-5 City/County Population and Housing Estimates, 1/1/2013",,,,,,,,,,,,
,,,,,,,,,,,,
,POPULATION,,, HOUSING UNITS,,,,,,,,
County / City,Total,Household,Group Quarters,Total,Single Detached,Single Attached,Two to Four,Five Plus,Mobile Homes,Occupied,Vacancy Rate,Persons per Household
Alameda County,,,,,,,,,,,,
Alameda             ,"75,911","74,390","1,521","32,429","13,778","3,347","5,826","9,351",127,"30,322",6.5%,2.45
Albany              ,"18,613","15,856","2,757","6,721","4,224",223,817,"1,432",25,"6,361",5.4%,2.49
Berkeley            ,"116,285","102,771","13,514","49,784","20,930","2,060","10,002","16,574",218,"46,379",6.8%,2.22
Dublin              ,"50,669","46,278","4,391","17,516","9,472","2,070",596,"5,324",54,"16,759",4.3%,2.76
Emeryville          ,"10,774","10,701",73,"6,652",421,401,751,"5,043",36,"5,954",10.5%,1.80
Fremont             ,"222,397","220,746","1,651","74,679","43,617","9,939","2,435","17,962",726,"72,143",3.4%,3.06
Hayward             ,"151,219","148,270","2,949","48,900","25,371","4,543","2,935","13,729","2,322","46,493",4.9%,3.19
Livermore           ,"83,750","83,240",510,"30,679","21,682","2,555","1,523","4,379",540,"29,473",3.9%,2.82
Newark              ,"43,661","43,516",145,"13,416","9,522","1,342",571,"1,981",0,"13,009",3.0%,3.35
Oakland             ,"410,511","402,735","7,776","170,618","74,084","6,884","32,625","56,470",555,"158,297",7.2%,2.54
Piedmont            ,"11,012","11,009",3,"3,935","3,717",48,91,79,0,"3,837",2.5%,2.87
Pleasanton          ,"71,926","71,470",456,"26,174","16,829","2,615","1,612","4,738",380,"25,264",3.5%,2.83
San Leandro         ,"87,518","86,868",650,"32,495","19,463","1,967","1,895","8,280",890,"30,951",4.8%,2.81
Union City          ,"71,575","71,057",518,"21,431","13,646","2,845",784,"3,157",999,"20,575",4.0%,3.45
,,,,,,,,,,, ,
Balance Of County    ,"144,563","142,199","2,364","51,045","34,490","4,126","3,118","8,346",965,"48,568",4.9%,2.93
Incorporated,"1,425,821","1,388,907","36,914","535,429","276,756","40,839","62,463","148,499","6,872","505,817",5.5%,2.75
 ,,,,,,,,,,, ,
County Total,"1,570,384","1,531,106","39,278","586,474","311,246","44,965","65,581","156,845","7,837","554,385",5.5%,2.76
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Alpine County,,,,,,,,,,, ,
County Total,"1,166","1,142",24,"1,771","1,044",18,45,631,33,470,73.5%,2.43
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Amador County,,,,,,,,,,, ,
Amador              ,181,181,0,108,90,12,6,0,0,84,22.2%,2.16
Ione                ,"6,808","3,931","2,877","1,744","1,556",31,0,104,53,"1,564",10.3%,2.51
Jackson             ,"4,633","4,401",232,"2,312","1,430",134,288,252,208,"2,089",9.6%,2.11
Plymouth            ,986,977,9,492,275,30,23,25,139,402,18.3%,2.43
Sutter Creek        ,"2,420","2,419",1,"1,373",802,82,136,243,110,"1,151",16.2%,2.10
,,,,,,,,,,, ,
Balance Of County    ,"21,381","21,239",142,"12,145","10,742",270,159,66,908,"9,339",23.1%,2.27
Incorporated,"15,028","11,909","3,119","6,029","4,153",289,453,624,510,"5,290",12.3%,2.25
 ,,,,,,,,,,, ,
County Total,"36,409","33,148","3,261","18,174","14,895",559,612,690,"1,418","14,629",19.5%,2.27
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Butte County,,,,,,,,,,, ,
Biggs               ,"1,710","1,710",0,615,559,35,0,4,17,568,7.6%,3.01
Chico               ,"88,664","85,098","3,566","37,772","20,094","1,648","5,960","8,117","1,953","35,836",5.1%,2.38
Gridley             ,"6,812","6,700",112,"2,473","1,992",133,171,99,78,"2,270",8.2%,2.95
Oroville            ,"15,747","14,837",910,"6,405","3,786",221,790,"1,227",381,"5,738",10.4%,2.59
Paradise            ,"26,060","25,652",408,"12,983","9,005",341,"1,114",386,"2,137","11,871",8.6%,2.16
,,,,,,,,,,, ,
Balance Of County    ,"83,912","83,552",360,"36,636","25,006",689,872,444,"9,625","32,728",10.7%,2.55
Incorporated,"138,993","133,997","4,996","60,248","35,436","2,378","8,035","9,833","4,566","56,283",6.6%,2.38
 ,,,,,,,,,,, ,
County Total,"222,905","217,549","5,356","96,884","60,442","3,067","8,907","10,277","14,191","89,011",8.1%,2.44
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Calaveras County,,,,,,,,,,, ,
Angels City,"3,822","3,775",47,"1,947","1,397",71,129,120,230,"1,656",14.9%,2.28
,,,,,,,,,,, ,
Balance Of County    ,"41,594","41,145",449,"26,257","23,199",294,541,272,"1,951","17,366",33.9%,2.37
Incorporated,"3,822","3,775",47,"1,947","1,397",71,129,120,230,"1,656",14.9%,2.28
 ,,,,,,,,,,, ,
County Total,"45,416","44,920",496,"28,204","24,596",365,670,392,"2,181","19,022",32.6%,2.36
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Colusa County,,,,,,,,,,, ,
Colusa              ,"6,083","6,009",74,"2,286","1,614",77,321,154,120,"2,171",5.0%,2.77
Williams            ,"5,232","5,123",109,"1,520","1,136",19,142,162,61,"1,396",8.2%,3.67
,,,,,,,,,,, ,
Balance Of County    ,"10,348","10,287",61,"4,115","3,118",19,276,107,595,"3,545",13.9%,2.90
Incorporated,"11,315","11,132",183,"3,806","2,750",96,463,316,181,"3,567",6.3%,3.12
