"Table 2: E-5 City/County Population and Housing Estimates, 1/1/2014",,,,,,,,,,,,
,,,,,,,,,,,,
,POPULATION,,, HOUSING UNITS,,,,,,,,
County / City,Total,Household,Group Quarters,Total,Single Detached,Single Attached,Two to Four,Five Plus,Mobile Homes,Occupied,Vacancy Rate,Persons per Household
Alameda County,,,,,,,,,,,,
Alameda             ,"76,468","74,967","1,501","32,430","13,779","3,347","5,826","9,351",127,"30,265",6.7%,2.48
Albany              ,"18,584","15,971","2,613","6,722","4,225",223,817,"1,432",25,"6,342",5.7%,2.52
Berkeley            ,"117,754","103,955","13,799","49,869","20,937","2,061","10,002","16,651",218,"46,438",6.9%,2.24
Dublin              ,"53,949","49,414","4,535","18,640","10,124","2,116",604,"5,742",54,"17,726",4.9%,2.79
Emeryville          ,"10,777","10,704",73,"6,719",421,401,753,"5,108",36,"5,895",12.3%,1.82
Fremont             ,"225,486","223,835","1,651","75,186","43,724","9,998","2,435","18,303",726,"72,411",3.7%,3.09
Hayward             ,"152,486","149,381","3,105","49,040","25,421","4,633","2,935","13,729","2,322","46,367",5.5%,3.22
Livermore           ,"85,143","84,633",510,"30,884","21,777","2,555","1,563","4,449",540,"29,663",4.0%,2.85
Newark              ,"44,062","43,917",145,"13,419","9,523","1,342",573,"1,981",0,"12,996",3.2%,3.38
Oakland             ,"415,123","407,363","7,760","170,822","74,105","6,908","32,627","56,627",555,"158,494",7.2%,2.57
Piedmont            ,"11,097","11,094",3,"3,937","3,715",48,95,79,0,"3,827",2.8%,2.90
Pleasanton          ,"73,148","72,692",456,"26,305","16,900","2,677","1,610","4,738",380,"25,436",3.3%,2.86
San Leandro         ,"88,218","87,568",650,"32,503","19,463","1,975","1,895","8,280",890,"30,884",5.0%,2.84
Union City          ,"72,341","71,823",518,"21,431","13,646","2,845",784,"3,157",999,"20,586",3.9%,3.49
,,,,,,,,,,, ,
Balance Of County    ,"145,967","143,603","2,364","51,041","34,488","4,127","3,114","8,346",966,"48,551",4.9%,2.96
Incorporated,"1,444,636","1,407,317","37,319","537,907","277,760","41,129","62,519","149,627","6,872","507,330",5.7%,2.77
 ,,,,,,,,,,, ,
County Total,"1,590,603","1,550,920","39,683","588,948","312,248","45,256","65,633","157,973","7,838","555,881",5.6%,2.79
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Alpine County,,,,,,,,,,, ,
County Total,"1,165","1,141",24,"1,774","1,047",18,45,631,33,485,72.7%,2.35
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Amador County,,,,,,,,,,, ,
Amador              ,180,180,0,108,90,12,6,0,0,84,22.2%,2.14
Ione                ,"6,771","3,900","2,871","1,745","1,557",31,0,104,53,"1,565",10.3%,2.49
Jackson             ,"4,603","4,374",229,"2,317","1,435",134,288,252,208,"2,094",9.6%,2.09
Plymouth            ,978,969,9,492,275,30,23,25,139,402,18.3%,2.41
Sutter Creek        ,"2,423","2,422",1,"1,373",802,82,136,243,110,"1,162",15.4%,2.08
,,,,,,,,,,, ,
Balance Of County    ,"21,240","21,105",135,"12,132","10,728",270,159,66,909,"9,357",22.9%,2.26
Incorporated,"14,955","11,845","3,110","6,035","4,159",289,453,624,510,"5,307",12.1%,2.23
 ,,,,,,,,,,, ,
County Total,"36,195","32,950","3,245","18,167","14,887",559,612,690,"1,419","14,664",19.3%,2.25
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Butte County,,,,,,,,,,, ,
Biggs               ,"1,697","1,697",0,613,557,35,0,4,17,564,8.0%,3.01
Chico               ,"89,037","85,481","3,556","38,146","20,305","1,648","5,960","8,280","1,953","36,027",5.6%,2.37
Gridley             ,"6,831","6,719",112,"2,482","2,001",133,171,99,78,"2,278",8.2%,2.95
Oroville            ,"15,914","14,990",924,"6,408","3,790",221,790,"1,227",380,"5,802",9.5%,2.58
Paradise            ,"26,118","25,710",408,"13,023","9,013",353,"1,118",406,"2,133","11,907",8.6%,2.16
,,,,,,,,,,, ,
Balance Of County    ,"84,009","83,649",360,"36,707","25,064",690,872,444,"9,637","32,792",10.7%,2.55
Incorporated,"139,597","134,597","5,000","60,672","35,666","2,390","8,039","10,016","4,561","56,578",6.7%,2.38
 ,,,,,,,,,,, ,
County Total,"223,606","218,246","5,360","97,379","60,730","3,080","8,911","10,460","14,198","89,370",8.2%,2.44
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Calaveras County,,,,,,,,,,, ,
Angels City,"3,696","3,649",47,"1,948","1,398",71,129,120,230,"1,623",16.7%,2.25
,,,,,,,,,,, ,
Balance Of County    ,"41,654","41,204",450,"26,298","23,232",295,541,272,"1,958","17,638",32.9%,2.34
Incorporated,"3,696","3,649",47,"1,948","1,398",71,129,120,230,"1,623",16.7%,2.25
 ,,,,,,,,,,, ,
County Total,"45,350","44,853",497,"28,246","24,630",366,670,392,"2,188","19,261",31.8%,2.33
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Colusa County,,,,,,,,,,, ,
Colusa              ,"6,230","6,146",84,"2,366","1,694",77,321,154,120,"2,235",5.5%,2.75
Williams            ,"5,372","5,263",109,"1,570","1,138",19,142,210,61,"1,444",8.0%,3.65
,,,,,,,,,,, ,
Balance Of County    ,"10,157","10,096",61,"4,065","3,063",19,276,107,600,"3,502",13.8%,2.88
Incorporated,"11,602","11,409",193,"3,936","2,832",96,463,364,181,"3,679",6.5%,3.10
