"Table 2: E-5 City/County Population and Housing Estimates, 1/1/2014",,,,,,,,,,,,
,,,,,,,,,,,,
,POPULATION,,, HOUSING UNITS,,,,,,,,
 ,,,,,,,,,,, ,
County Total,"21,759","21,505",254,"8,001","5,895",115,739,471,781,"7,181",10.2%,2.99
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Contra Costa County,,,,,,,,,,, ,
Antioch             ,"108,282","107,618",664,"35,482","27,518","1,707","1,471","4,384",402,"33,178",6.5%,3.24
Brentwood           ,"55,450","55,304",146,"18,242","15,883",615,345,"1,045",354,"17,276",5.3%,3.20
Clayton             ,"11,255","11,245",10,"4,111","3,366",538,108,99,0,"4,022",2.2%,2.80
Concord             ,"126,149","125,102","1,047","47,155","27,327","3,201","3,425","11,443","1,759","44,503",5.6%,2.81
Danville            ,"43,480","43,237",243,"16,010","12,136","2,907",153,797,17,"15,509",3.1%,2.79
El Cerrito          ,"24,257","24,164",93,"10,730","7,487",345,"1,389","1,450",59,"10,157",5.3%,2.38
Hercules            ,"24,826","24,771",55,"8,551","5,625","1,357",567,989,13,"8,142",4.8%,3.04
Lafayette           ,"24,854","24,755",99,"9,752","7,667",288,693,"1,096",8,"9,329",4.3%,2.65
Martinez            ,"37,134","35,791","1,343","15,072","9,487","2,123","1,325","2,122",15,"14,399",4.5%,2.49
Moraga              ,"16,512","14,789","1,723","5,763","3,826",871,289,777,0,"5,603",2.8%,2.64
Oakley,"38,712","38,609",103,"12,082","10,964",236,129,377,376,"11,397",5.7%,3.39
Orinda              ,"18,214","18,171",43,"6,829","6,390",168,9,262,0,"6,578",3.7%,2.76
Pinole              ,"18,926","18,858",68,"7,161","5,053",613,497,962,36,"6,779",5.3%,2.78
Pittsburg           ,"67,061","66,770",291,"21,699","15,366","1,300","1,231","3,055",747,"20,130",7.2%,3.32
Pleasant Hill       ,"34,130","33,667",463,"14,327","8,566","1,566","1,002","3,110",83,"13,726",4.2%,2.45
Richmond            ,"107,642","106,012","1,630","39,398","22,103","2,370","6,235","8,527",163,"36,429",7.5%,2.91
San Pablo           ,"30,448","30,007",441,"9,475","4,342",493,"1,532","2,726",382,"8,906",6.0%,3.37
San Ramon           ,"77,826","77,751",75,"27,492","17,012","3,017","1,142","6,284",37,"26,518",3.5%,2.93
Walnut Creek        ,"66,919","65,917","1,002","33,008","12,485","5,032","4,380","11,111",0,"30,885",6.4%,2.13
,,,,,,,,,,, ,
Balance Of County    ,"167,766","166,896",870,"63,489","47,713","2,931","2,661","7,366","2,818","58,924",7.2%,2.83
Incorporated,"932,077","922,538","9,539","342,339","222,603","28,747","25,922","60,616","4,451","323,466",5.5%,2.85
 ,,,,,,,,,,, ,
County Total,"1,099,843","1,089,434","10,409","405,828","270,316","31,678","28,583","67,982","7,269","382,390",5.8%,2.85
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Del Norte County,,,,,,,,,,, ,
Crescent City       ,"6,762","3,898","2,864","1,904",918,92,360,476,58,"1,675",12.0%,2.33
,,,,,,,,,,, ,
Balance Of County    ,"20,643","20,405",238,"9,353","5,920",181,463,327,"2,462","8,254",11.8%,2.47
Incorporated,"6,762","3,898","2,864","1,904",918,92,360,476,58,"1,675",12.0%,2.33
 ,,,,,,,,,,, ,
County Total,"27,405","24,303","3,102","11,257","6,838",273,823,803,"2,520","9,929",11.8%,2.45
,,,,,,,,,,, ,
,,,,,,,,,,, ,
El Dorado County,,,,,,,,,,, ,
Placerville         ,"10,548","9,905",643,"4,596","2,985",193,811,439,168,"4,188",8.9%,2.37
South Lake Tahoe    ,"21,328","20,950",378,"15,119","9,506",376,"2,456","2,218",563,"8,904",41.1%,2.35
,,,,,,,,,,, ,
Balance Of County    ,"150,543","149,855",688,"69,235","60,420",793,"1,597","3,073","3,352","57,797",16.5%,2.59
Incorporated,"31,876","30,855","1,021","19,715","12,491",569,"3,267","2,657",731,"13,092",33.6%,2.36
 ,,,,,,,,,,, ,
County Total,"182,419","180,710","1,709","88,950","72,911","1,362","4,864","5,730","4,083","70,889",20.3%,2.55
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Fresno County,,,,,,,,,,, ,
Clovis              ,"102,826","102,438",388,"37,157","26,381",762,"3,338","5,716",960,"35,326",4.9%,2.90
Coalinga            ,"16,437","11,899","4,538","4,342","2,830",51,426,532,503,"3,877",10.7%,3.07
Firebaugh           ,"7,913","7,900",13,"2,135","1,383",108,348,221,75,"1,978",7.4%,3.99
Fowler              ,"5,904","5,857",47,"1,917","1,384",26,159,225,123,"1,795",6.4%,3.26
Fresno              ,"515,984","506,325","9,659","175,836","107,443","4,643","22,299","36,703","4,748","162,308",7.7%,3.12
Huron               ,"6,887","6,887",0,"1,598",505,96,395,498,104,"1,537",3.8%,4.48
Kerman              ,"14,438","14,431",7,"4,074","2,900",100,437,455,182,"3,868",5.1%,3.73
Kingsburg           ,"11,789","11,707",82,"4,114","3,006",52,395,463,198,"3,891",5.4%,3.01
Mendota             ,"11,434","11,434",0,"2,565","1,487",165,428,430,55,"2,472",3.6%,4.63
Orange Cove         ,"9,435","9,435",0,"2,277","1,418",94,285,480,0,"2,113",7.2%,4.47
Parlier             ,"15,045","15,043",2,"3,565","2,441",61,406,604,53,"3,364",5.6%,4.47
Reedley             ,"25,313","25,073",240,"7,026","5,027",84,726,926,263,"6,759",3.8%,3.71
Sanger              ,"25,111","24,977",134,"7,180","5,457",75,"1,149",399,100,"6,772",5.7%,3.69
San Joaquin         ,"4,114","4,114",0,932,588,38,203,46,57,891,4.4%,4.62
Selma               ,"24,048","23,883",165,"6,929","5,356",139,482,562,390,"6,533",5.7%,3.66
,,,,,,,,,,, ,
Balance Of County    ,"169,255","167,272","1,983","60,842","49,579",943,"1,884","1,412","7,024","52,369",13.9%,3.19
Incorporated,"796,678","781,403","15,275","261,647","167,606","6,494","31,476","48,260","7,811","243,484",6.9%,3.21
 ,,,,,,,,,,, ,
County Total,"965,933","948,675","17,258","322,489","217,185","7,437","33,360","49,672","14,835","295,853",8.3%,3.21
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Glenn County,,,,,,,,,,, ,
Orland              ,"7,685","7,674",11,"2,839","2,047",32,373,309,78,"2,682",5.5%,2.86
Willows             ,"6,149","5,929",220,"2,413","1,682",65,324,318,24,"2,181",9.6%,2.72
,,,,,,,,,,, ,
Balance Of County    ,"14,631","14,531",100,"5,742","4,124",116,126,91,"1,285","5,163",10.1%,2.81
Incorporated,"13,834","13,603",231,"5,252","3,729",97,697,627,102,"4,863",7.4%,2.80
 ,,,,,,,,,,, ,
County Total,"28,465","28,134",331,"10,994","7,853",213,823,718,"1,387","10,026",8.8%,2.81
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Humboldt County,,,,,,,,,,, ,
Arcata              ,"17,815","15,589","2,226","7,836","3,332",497,"1,177","1,941",889,"7,487",4.5%,2.08
Blue Lake           ,"1,272","1,272",0,579,367,11,110,33,58,554,4.3%,2.30
Eureka              ,"27,192","25,325","1,867","11,926","7,574",456,"2,254","1,509",133,"11,241",5.7%,2.25
Ferndale            ,"1,374","1,374",0,719,593,17,85,24,0,617,14.2%,2.23
Fortuna             ,"11,951","11,690",261,"5,047","3,354",162,570,602,359,"4,734",6.2%,2.47
Rio Dell            ,"3,343","3,322",21,"1,452","1,036",70,180,18,148,"1,368",5.8%,2.43
Trinidad            ,357,356,1,251,185,2,32,7,25,182,27.5%,1.96
,,,,,,,,,,, ,
Balance Of County    ,"71,976","70,888","1,088","34,369","25,784",858,"1,764","1,452","4,511","30,362",11.7%,2.34
Incorporated,"63,304","58,928","4,376","27,810","16,441","1,215","4,408","4,134","1,612","26,183",5.9%,2.25
 ,,,,,,,,,,, ,
County Total,"135,280","129,816","5,464","62,179","42,225","2,073","6,172","5,586","6,123","56,545",9.1%,2.30
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Imperial County,,,,,,,,,,, ,
Brawley             ,"26,181","26,007",174,"8,251","5,376",218,736,"1,506",415,"7,620",7.6%,3.41
Calexico            ,"40,741","40,641",100,"10,817","7,354",484,"1,158","1,651",170,"10,176",5.9%,3.99
Calipatria          ,"7,533","3,683","3,850","1,121",859,16,44,141,61,998,11.0%,3.69
El Centro           ,"44,693","43,877",816,"14,551","8,089",427,"1,577","2,927","1,531","13,108",9.9%,3.35
Holtville           ,"6,260","6,260",0,"1,938","1,279",73,177,203,206,"1,805",6.9%,3.47
Imperial            ,"16,815","16,784",31,"5,195","3,871",389,401,464,70,"4,781",8.0%,3.51
Westmorland         ,"2,339","2,339",0,677,464,10,100,83,20,631,6.8%,3.71
,,,,,,,,,,, ,
Balance Of County    ,"37,595","33,864","3,731","14,181","7,749",290,584,372,"5,186","10,392",26.7%,3.26
Incorporated,"144,562","139,591","4,971","42,550","27,292","1,617","4,193","6,975","2,473","39,119",8.1%,3.57
 ,,,,,,,,,,, ,
County Total,"182,157","173,455","8,702","56,731","35,041","1,907","4,777","7,347","7,659","49,511",12.7%,3.50
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Inyo County,,,,,,,,,,, ,
Bishop              ,"3,873","3,765",108,"1,926",766,83,367,340,370,"1,746",9.3%,2.16
,,,,,,,,,,, ,
Balance Of County    ,"14,760","14,407",353,"7,573","4,864",133,229,139,"2,208","6,334",16.4%,2.28
Incorporated,"3,873","3,765",108,"1,926",766,83,367,340,370,"1,746",9.3%,2.16
 ,,,,,,,,,,, ,
County Total,"18,633","18,172",461,"9,499","5,630",216,596,479,"2,578","8,080",14.9%,2.25
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Kern County,,,,,,,,,,, ,
Arvin               ,"20,248","19,899",349,"4,581","3,317",121,422,578,143,"4,350",5.0%,4.57
Bakersfield         ,"367,548","363,913","3,635","124,533","88,396","3,362","14,415","15,616","2,744","115,201",7.5%,3.16
California City     ,"13,664","12,213","1,451","5,226","4,047",97,471,159,452,"4,268",18.3%,2.86
Delano              ,"52,386","43,657","8,729","10,882","7,647",468,"1,245","1,073",449,"10,418",4.3%,4.19
Maricopa            ,"1,154","1,154",0,465,186,3,20,0,256,407,12.5%,2.84
Mcfarland           ,"13,716","12,411","1,305","2,836","2,405",55,208,98,70,"2,753",2.9%,4.51
Ridgecrest          ,"28,489","28,238",251,"12,096","8,024",470,"1,852",814,936,"10,928",9.7%,2.58
Shafter             ,"17,415","17,093",322,"4,633","3,443",153,548,277,212,"4,341",6.3%,3.94
Taft                ,"8,930","6,508","2,422","2,522","1,882",113,198,240,89,"2,257",10.5%,2.88
Tehachapi           ,"13,327","8,880","4,447","3,622","2,409",77,439,251,446,"3,201",11.6%,2.77
Wasco               ,"26,114","21,125","4,989","5,708","4,287",193,470,571,187,"5,359",6.1%,3.94
,,,,,,,,,,, ,
Balance Of County    ,"309,945","306,302","3,643","113,602","80,451","2,220","8,766","5,131","17,034","98,164",13.6%,3.12
Incorporated,"562,991","535,091","27,900","177,104","126,043","5,112","20,288","19,677","5,984","163,483",7.7%,3.27
 ,,,,,,,,,,, ,
County Total,"872,936","841,393","31,543","290,706","206,494","7,332","29,054","24,808","23,018","261,647",10.0%,3.22
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Kings County,,,,,,,,,,, ,
Avenal              ,"13,188","9,115","4,073","2,433","1,517",81,432,297,106,"2,248",7.6%,4.06
Corcoran            ,"22,452","12,624","9,828","3,995","2,941",133,428,298,195,"3,638",8.9%,3.47
Hanford             ,"55,493","54,405","1,088","18,891","13,821",632,"1,701","2,317",420,"18,077",4.3%,3.01
Lemoore             ,"25,152","25,135",17,"8,898","6,281",336,764,"1,210",307,"8,471",4.8%,2.97
,,,,,,,,,,, ,
Balance Of County    ,"33,636","31,789","1,847","10,430","7,800","1,036",483,156,955,"9,753",6.5%,3.26
Incorporated,"116,285","101,279","15,006","34,217","24,560","1,182","3,325","4,122","1,028","32,434",5.2%,3.12
 ,,,,,,,,,,, ,
County Total,"149,921","133,068","16,853","44,647","32,360","2,218","3,808","4,278","1,983","42,187",5.5%,3.15
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Lake County,,,,,,,,,,, ,
Clearlake           ,"15,225","14,765",460,"8,057","4,212",162,410,752,"2,521","6,003",25.5%,2.46
Lakeport            ,"4,821","4,684",137,"2,439","1,484",109,183,240,423,"2,045",16.2%,2.29
,,,,,,,,,,, ,
Balance Of County    ,"44,967","44,380",587,"25,191","18,648",360,574,615,"4,994","18,800",25.4%,2.36
Incorporated,"20,046","19,449",597,"10,496","5,696",271,593,992,"2,944","8,048",23.3%,2.42
 ,,,,,,,,,,, ,
County Total,"65,013","63,829","1,184","35,687","24,344",631,"1,167","1,607","7,938","26,848",24.8%,2.38
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Lassen County,,,,,,,,,,, ,
Susanville          ,"15,643","8,789","6,854","4,255","3,073",223,138,543,278,"3,850",9.5%,2.28
,,,,,,,,,,, ,
Balance Of County    ,"16,393","14,596","1,797","8,483","5,991",73,171,198,"2,050","6,253",26.3%,2.33
Incorporated,"15,643","8,789","6,854","4,255","3,073",223,138,543,278,"3,850",9.5%,2.28
 ,,,,,,,,,,, ,
County Total,"32,036","23,385","8,651","12,738","9,064",296,309,741,"2,328","10,103",20.7%,2.31
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Los Angeles County,,,,,,,,,,, ,
Agoura Hills        ,"20,783","20,695",88,"7,588","5,325","1,019",171,"1,051",22,"7,346",3.2%,2.82
Alhambra            ,"85,348","84,734",614,"31,077","13,777","3,854","3,712","9,704",30,"29,441",5.3%,2.88
Arcadia             ,"57,932","57,070",862,"20,814","12,711","2,124","1,150","4,829",0,"19,759",5.1%,2.89
Artesia             ,"16,879","16,266",613,"4,705","3,368",364,291,646,36,"4,547",3.4%,3.58
Avalon              ,"3,851","3,844",7,"2,290",604,137,859,690,0,"1,493",34.8%,2.58
Azusa               ,"48,350","45,548","2,802","13,812","6,393","1,862","1,411","3,592",554,"13,043",5.6%,3.49
Baldwin Park        ,"76,762","76,356",406,"17,797","12,733","1,226",597,"2,926",315,"17,168",3.5%,4.45
Bell                ,"36,439","35,860",579,"9,217","4,752",827,985,"2,265",388,"8,940",3.0%,4.01
Bellflower          ,"78,297","77,558",739,"24,914","12,343","2,079","1,796","7,382","1,314","23,711",4.8%,3.27
Bell Gardens        ,"43,009","42,585",424,"9,987","4,918","2,480","1,029","1,209",351,"9,682",3.1%,4.40
Beverly Hills       ,"34,725","34,604",121,"16,435","5,735",291,"1,895","8,472",42,"14,848",9.7%,2.33
Bradbury            ,"1,078","1,078",0,407,389,7,0,11,0,356,12.5%,3.03
Burbank             ,"106,482","105,909",573,"44,626","19,811","1,907","4,726","18,047",135,"42,392",5.0%,2.50
Calabasas           ,"24,002","23,993",9,"9,074","6,219",663,492,"1,469",231,"8,710",4.0%,2.76
Carson              ,"93,206","91,819","1,387","26,099","18,293","2,398",688,"2,264","2,456","25,332",2.9%,3.63
Cerritos            ,"49,707","49,603",104,"15,860","13,419","1,410",414,598,19,"15,434",2.7%,3.21
Claremont           ,"35,997","30,551","5,446","12,256","8,129","1,209","1,007","1,888",23,"11,672",4.8%,2.62
Commerce            ,"13,072","13,002",70,"3,470","2,376",331,232,531,0,"3,382",2.5%,3.84
Compton             ,"99,126","98,371",755,"24,591","16,845","2,346","2,121","2,653",626,"23,251",5.4%,4.23
Covina              ,"48,867","48,432",435,"16,628","9,653","1,516",822,"4,091",546,"15,903",4.4%,3.05
Cudahy              ,"24,330","24,322",8,"5,770","2,137","1,313",326,"1,574",420,"5,620",2.6%,4.33
Culver City         ,"39,836","39,525",311,"17,558","6,923","1,589","2,086","6,764",196,"16,862",4.0%,2.34
Diamond Bar         ,"56,786","56,657",129,"18,478","13,310","1,699","1,055","2,046",368,"17,930",3.0%,3.16
Downey              ,"114,109","113,426",683,"35,606","20,415","1,406","1,611","11,806",368,"33,984",4.6%,3.34
Duarte              ,"21,826","21,419",407,"7,271","4,668",937,235,"1,269",162,"7,043",3.1%,3.04
El Monte            ,"115,634","114,554","1,080","29,068","16,272","3,732","1,467","6,097","1,500","27,803",4.4%,4.12
El Segundo          ,"17,007","16,931",76,"7,413","3,168",354,776,"3,100",15,"7,096",4.3%,2.39
Gardena             ,"60,522","59,728",794,"21,629","9,740","1,440","2,569","6,635","1,245","20,751",4.1%,2.88
Glendale            ,"196,932","195,503","1,429","76,815","27,757","3,575","6,888","38,545",50,"72,823",5.2%,2.69
Glendora            ,"51,782","51,017",765,"17,962","13,213","1,412",662,"1,904",771,"17,394",3.2%,2.93
Hawaiian Gardens    ,"14,651","14,635",16,"3,703","1,737",518,363,834,251,"3,591",3.0%,4.08
Hawthorne           ,"87,539","87,000",539,"30,278","8,793","1,310","4,062","15,966",147,"29,021",4.2%,3.00
Hermosa Beach       ,"20,030","20,015",15,"10,145","4,371",785,"2,356","2,416",217,"9,617",5.2%,2.08
Hidden Hills        ,"1,904","1,904",0,632,628,4,0,0,0,597,5.5%,3.19
Huntington Park     ,"59,600","59,345",255,"15,176","6,267","2,031","1,585","5,208",85,"14,684",3.2%,4.04
Industry            ,435,198,237,68,58,0,6,0,4,62,8.8%,3.19
Inglewood           ,"112,894","111,392","1,502","38,635","14,754","2,313","5,496","15,863",209,"36,752",4.9%,3.03
Irwindale           ,"1,453","1,403",50,397,356,10,4,21,6,374,5.8%,3.75
La Canada Flintridge,"20,665","20,638",27,"7,090","6,514",186,96,250,44,"6,857",3.3%,3.01
La Habra Heights    ,"5,464","5,444",20,"1,887","1,822",65,0,0,0,"1,817",3.7%,3.00
Lakewood            ,"81,405","81,296",109,"27,484","22,705",986,378,"3,264",151,"26,475",3.7%,3.07
La Mirada           ,"49,501","46,644","2,857","15,093","12,084",762,288,"1,787",172,"14,707",2.6%,3.17
Lancaster           ,"161,046","153,605","7,441","52,510","36,789",832,"3,094","7,880","3,915","47,713",9.1%,3.22
La Puente           ,"40,712","40,669",43,"9,785","6,771",483,403,"2,098",30,"9,479",3.1%,4.29
La Verne            ,"32,382","31,283","1,099","11,804","7,623",931,660,721,"1,869","11,370",3.7%,2.75
Lawndale            ,"33,494","33,319",175,"10,150","5,308","1,422",899,"2,273",248,"9,707",4.4%,3.43
Lomita              ,"20,697","20,530",167,"8,449","4,167",776,466,"2,419",621,"8,086",4.3%,2.54
Long Beach          ,"474,822","465,955","8,867","176,417","74,474","10,123","21,645","67,829","2,346","164,619",6.7%,2.83
Los Angeles         ,"3,924,129","3,831,070","93,059","1,432,553","557,077","86,784","127,865","650,746","10,081","1,335,095",6.8%,2.87
Lynwood             ,"71,612","68,711","2,901","15,279","9,337",968,"1,824","3,015",135,"14,740",3.5%,4.66
Malibu              ,"12,950","12,809",141,"6,887","4,809",540,236,761,541,"5,291",23.2%,2.42
Manhattan Beach     ,"35,779","35,751",28,"14,947","10,331","1,170","2,456",976,14,"14,020",6.2%,2.55
Maywood             ,"28,129","28,010",119,"6,760","3,684",870,909,"1,252",45,"6,606",2.3%,4.24
Monrovia            ,"37,462","37,306",156,"14,495","8,372","1,736","1,101","3,128",158,"13,821",4.6%,2.70
Montebello          ,"63,895","63,495",400,"19,814","9,823","1,542","2,466","5,717",266,"19,065",3.8%,3.33
Monterey Park       ,"61,867","61,637",230,"21,075","12,055","1,993","2,119","4,844",64,"20,101",4.6%,3.07
Norwalk             ,"106,692","105,273","1,419","28,031","20,568","1,255",830,"4,890",488,"26,951",3.9%,3.91
Palmdale            ,"157,098","156,899",199,"46,768","36,916",852,"1,416","5,427","2,157","43,328",7.4%,3.62
Palos Verdes Estates,"13,601","13,584",17,"5,297","4,891",67,30,297,12,"5,029",5.1%,2.70
Paramount           ,"55,601","55,291",310,"14,622","6,629","1,704",893,"4,263","1,133","13,994",4.3%,3.95
Pasadena            ,"141,135","137,642","3,493","60,369","26,412","4,155","5,233","24,439",130,"55,835",7.5%,2.47
Pico Rivera         ,"64,286","63,832",454,"17,121","13,116",655,437,"2,414",499,"16,597",3.1%,3.85
Pomona              ,"153,434","149,325","4,109","40,859","24,752","2,995","3,502","7,632","1,978","38,885",4.8%,3.84
Rancho Palos Verdes ,"42,461","42,121",340,"16,229","12,526","1,024",301,"2,353",25,"15,564",4.1%,2.71
Redondo Beach       ,"68,361","67,930",431,"30,622","12,097","4,254","4,630","9,382",259,"29,144",4.8%,2.33
Rolling Hills       ,"1,903","1,903",0,719,718,0,0,1,0,666,7.4%,2.86
Rolling Hills Estates,"8,240","8,240",0,"3,101","2,324",669,35,37,36,"2,971",4.2%,2.77
Rosemead            ,"54,968","54,555",413,"14,871","11,185","1,436",855,"1,229",166,"14,288",3.9%,3.82
San Dimas           ,"34,171","33,631",540,"12,594","7,338","1,673",312,"1,820","1,451","12,086",4.0%,2.78
San Fernando        ,"24,314","24,200",114,"6,355","4,584",459,467,724,121,"6,018",5.3%,4.02
San Gabriel         ,"40,343","39,891",452,"13,250","7,433","1,425",775,"3,609",8,"12,496",5.7%,3.19
San Marino          ,"13,351","13,270",81,"4,480","4,425",15,0,40,0,"4,313",3.7%,3.08
Santa Clarita       ,"207,232","205,822","1,410","71,215","42,642","8,032","3,047","14,891","2,603","68,004",4.5%,3.03
Santa Fe Springs    ,"17,520","17,327",193,"5,251","3,227",199,275,"1,477",73,"5,032",4.2%,3.44
Santa Monica        ,"92,187","90,041","2,146","51,592","9,729","1,825","5,271","34,563",204,"47,292",8.3%,1.90
Sierra Madre        ,"11,164","11,163",1,"5,123","3,557",325,337,904,0,"4,852",5.3%,2.30
Signal Hill         ,"11,462","11,416",46,"4,483","1,422",618,629,"1,814",0,"4,244",5.3%,2.69
South El Monte      ,"20,554","20,497",57,"4,717","3,432",173,241,421,450,"4,579",2.9%,4.48
South Gate          ,"96,322","96,234",88,"24,242","15,311","1,911","3,224","3,505",291,"23,297",3.9%,4.13
South Pasadena      ,"26,188","26,025",163,"11,131","4,969",644,"1,397","4,121",0,"10,494",5.7%,2.48
Temple City         ,"36,200","35,778",422,"12,144","9,793",890,345,"1,009",107,"11,590",4.6%,3.09
Torrance            ,"148,551","147,405","1,146","58,466","30,693","3,648","3,656","19,334","1,135","56,111",4.0%,2.63
Vernon              ,123,123,0,31,23,0,0,8,0,30,3.2%,4.10
Walnut              ,"30,199","30,165",34,"8,909","8,511",57,35,303,3,"8,663",2.8%,3.48
West Covina         ,"108,262","107,588",674,"32,777","21,169","3,116","1,235","6,912",345,"31,625",3.5%,3.40
