"Table 2: E-5 City/County Population and Housing Estimates, 1/1/2019",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,POPULATION,,, HOUSING UNITS,,,,,,,,,,,,
County / City,Total,Household,Group Quarters,Total,Single Detached,Single Attached,Two to Four,Five Plus,Mobile Homes,Occupied,Vacancy Rate,Persons per Household,,,,
County Total,"38,294","33,932","4,362","18,278","14,974",571,609,701,"1,423","14,781",19.1%,2.30,,,,
,,,,,,,,,,, ,,,,,
,,,,,,,,,,, ,,,,,
Butte County,,,,,,,,,,, ,,,,,
Biggs               ,"2,066","2,066",0,695,639,35,0,4,17,660,5.0%,3.13,,,,
Chico               ,"112,111","108,481","3,630","40,378","21,534","1,648","6,062","9,126","2,008","38,360",5.0%,2.83,,,,
Gridley             ,"7,224","7,112",112,"2,526","2,043",135,171,99,78,"2,317",8.3%,3.07,,,,
Oroville            ,"21,773","20,905",868,"7,337","3,893",802,845,"1,298",499,"6,970",5.0%,3.00,,,,
Paradise            ,"4,590","4,590",0,"1,720","1,178",26,378,138,0,"1,634",5.0%,2.81,,,,
,,,,,,,,,,, ,,,,,
Balance Of County    ,"78,702","78,342",360,"32,791","23,329",142,795,378,"8,147","29,511",10.0%,2.66,,,,
Incorporated,"147,764","143,154","4,610","52,656","29,287","2,646","7,456","10,665","2,602","49,941",5.2%,2.87,,,,
 ,,,,,,,,,,, ,,,,,
County Total,"226,466","221,496","4,970","85,447","52,616","2,788","8,251","11,043","10,749","79,452",7.0%,2.79,,,,
,,,,,,,,,,, ,,,,,
,,,,,,,,,,, ,,,,,
Calaveras County,,,,,,,,,,, ,,,,,
Angels City,"3,840","3,793",47,"1,991","1,441",71,129,120,230,"1,681",15.6%,2.26,,,,
,,,,,,,,,,, ,,,,,
Balance Of County    ,"41,277","40,817",460,"26,219","23,064",295,547,272,"2,041","17,421",33.6%,2.34,,,,
Incorporated,"3,840","3,793",47,"1,991","1,441",71,129,120,230,"1,681",15.6%,2.26,,,,
 ,,,,,,,,,,, ,,,,,
County Total,"45,117","44,610",507,"28,210","24,505",366,676,392,"2,271","19,102",32.3%,2.34,,,,
,,,,,,,,,,, ,,,,,
,,,,,,,,,,, ,,,,,
Colusa County,,,,,,,,,,, ,,,,,
Colusa              ,"6,255","6,174",81,"2,391","1,711",79,321,160,120,"2,267",5.2%,2.72,,,,
Williams            ,"5,527","5,418",109,"1,627","1,172",14,138,242,61,"1,501",7.7%,3.61,,,,
,,,,,,,,,,, ,,,,,
Balance Of County    ,"10,335","10,274",61,"4,177","3,155",22,276,107,617,"3,599",13.8%,2.86,,,,
Incorporated,"11,782","11,592",190,"4,018","2,883",93,459,402,181,"3,768",6.2%,3.08,,,,
 ,,,,,,,,,,, ,,,,,
County Total,"22,117","21,866",251,"8,195","6,038",115,735,509,798,"7,367",10.1%,2.97,,,,
,,,,,,,,,,, ,,,,,
,,,,,,,,,,, ,,,,,
Contra Costa County,,,,,,,,,,, ,,,,,
Antioch             ,"113,901","113,237",664,"36,015","27,966","1,707","1,471","4,469",402,"33,875",5.9%,3.34,,,,
Brentwood           ,"63,662","63,516",146,"20,609","18,241",625,344,"1,045",354,"19,252",6.6%,3.30,,,,
Clayton             ,"11,653","11,643",10,"4,112","3,365",540,108,99,0,"4,041",1.7%,2.88,,,,
Concord             ,"129,889","128,489","1,400","47,345","27,421","3,207","3,431","11,527","1,759","44,367",6.3%,2.90,,,,
Danville            ,"45,270","45,027",243,"16,225","12,278","2,933",157,826,31,"15,670",3.4%,2.87,,,,
El Cerrito          ,"25,459","25,366",93,"10,936","7,502",356,"1,389","1,630",59,"10,346",5.4%,2.45,,,,
Hercules            ,"26,224","26,169",55,"8,835","5,762","1,357",567,"1,136",13,"8,347",5.5%,3.14,,,,
Lafayette           ,"26,327","26,228",99,"10,019","7,699",304,687,"1,321",8,"9,591",4.3%,2.74,,,,
Martinez            ,"38,490","37,203","1,287","15,250","9,566","2,221","1,326","2,122",15,"14,522",4.8%,2.56,,,,
Moraga              ,"16,939","15,216","1,723","5,809","3,872",871,289,777,0,"5,594",3.7%,2.72,,,,
Oakley,"41,759","41,656",103,"12,932","11,814",236,129,377,376,"11,931",7.7%,3.49,,,,
Orinda              ,"19,475","19,432",43,"7,088","6,574",179,9,326,0,"6,827",3.7%,2.85,,,,
Pinole              ,"19,498","19,430",68,"7,164","5,055",614,497,962,36,"6,778",5.4%,2.87,,,,
Pittsburg           ,"72,541","72,250",291,"23,126","16,469","1,313","1,234","3,363",747,"21,136",8.6%,3.42,,,,
Pleasant Hill       ,"35,055","34,592",463,"14,340","8,579","1,566","1,002","3,110",83,"13,685",4.6%,2.53,,,,
Richmond            ,"110,436","109,027","1,409","39,786","22,140","2,375","6,233","8,875",163,"36,352",8.6%,3.00,,,,
San Pablo           ,"31,817","31,376",441,"9,536","4,345",497,"1,548","2,763",383,"9,036",5.2%,3.47,,,,
San Ramon           ,"83,957","83,882",75,"28,811","18,040","3,076","1,142","6,516",37,"27,761",3.6%,3.02,,,,
Walnut Creek        ,"70,121","69,119","1,002","33,920","12,541","5,041","4,392","11,946",0,"31,424",7.4%,2.20,,,,
,,,,,,,,,,, ,,,,,
Balance Of County    ,"173,406","172,546",860,"64,204","48,359","2,991","2,671","7,366","2,817","59,109",7.9%,2.92,,,,
Incorporated,"982,473","972,858","9,615","351,858","229,229","29,018","25,955","63,190","4,466","330,535",6.1%,2.94,,,,
 ,,,,,,,,,,, ,,,,,
County Total,"1,155,879","1,145,404","10,475","416,062","277,588","32,009","28,626","70,556","7,283","389,644",6.3%,2.94,,,,
,,,,,,,,,,, ,,,,,
,,,,,,,,,,, ,,,,,
Del Norte County,,,,,,,,,,, ,,,,,
Crescent City       ,"6,828","4,062","2,766","1,902",920,92,362,470,58,"1,774",6.7%,2.29,,,,
,,,,,,,,,,, ,,,,,
Balance Of County    ,"20,573","20,355",218,"9,450","5,986",179,463,327,"2,495","8,364",11.5%,2.43,,,,
Incorporated,"6,828","4,062","2,766","1,902",920,92,362,470,58,"1,774",6.7%,2.29,,,,
 ,,,,,,,,,,, ,,,,,
County Total,"27,401","24,417","2,984","11,352","6,906",271,825,797,"2,553","10,138",10.7%,2.41,,,,
,,,,,,,,,,, ,,,,,
,,,,,,,,,,, ,,,,,
El Dorado County,,,,,,,,,,, ,,,,,
Placerville         ,"10,917","10,284",633,"4,715","3,095",196,814,439,171,"4,260",9.7%,2.41,,,,
South Lake Tahoe    ,"22,800","22,390",410,"15,831","9,550",404,"2,454","2,860",563,"9,323",41.1%,2.40,,,,
,,,,,,,,,,, ,,,,,
Balance Of County    ,"158,131","157,469",662,"71,441","62,582",793,"1,602","3,073","3,391","59,500",16.7%,2.65,,,,
Incorporated,"33,717","32,674","1,043","20,546","12,645",600,"3,268","3,299",734,"13,583",33.9%,2.41,,,,
 ,,,,,,,,,,, ,,,,,
County Total,"191,848","190,143","1,705","91,987","75,227","1,393","4,870","6,372","4,125","73,083",20.6%,2.60,,,,
,,,,,,,,,,, ,,,,,
,,,,,,,,,,, ,,,,,
Fresno County,,,,,,,,,,, ,,,,,
Clovis              ,"117,003","116,615",388,"41,638","30,477",764,"3,408","6,029",960,"39,201",5.9%,2.98,,,,
Coalinga            ,"17,600","12,940","4,660","4,534","2,901",51,426,653,503,"4,110",9.4%,3.15,,,,
Firebaugh           ,"8,132","8,119",13,"2,139","1,379",108,356,221,75,"1,982",7.3%,4.10,,,,
Fowler              ,"6,605","6,558",47,"2,061","1,541",26,140,231,123,"1,960",4.9%,3.35,,,,
Fresno              ,"536,683","526,958","9,725","180,632","111,270","4,649","22,446","37,511","4,756","164,667",8.8%,3.20,,,,
Huron               ,"7,308","7,308",0,"1,671",500,118,395,554,104,"1,590",4.8%,4.60,,,,
Kerman              ,"15,495","15,488",7,"4,310","3,135",101,437,455,182,"4,046",6.1%,3.83,,,,
Kingsburg           ,"12,392","12,310",82,"4,282","3,154",54,413,463,198,"3,989",6.8%,3.09,,,,
Mendota             ,"12,315","12,315",0,"2,747","1,662",167,431,430,57,"2,596",5.5%,4.74,,,,
Orange Cove         ,"9,975","9,975",0,"2,314","1,458",94,288,474,0,"2,178",5.9%,4.58,,,,
Parlier             ,"16,151","16,149",2,"3,729","2,557",61,406,652,53,"3,521",5.6%,4.59,,,,
Reedley             ,"26,666","26,384",282,"7,212","5,047",84,726,"1,092",263,"6,933",3.9%,3.81,,,,
Sanger              ,"27,094","26,960",134,"7,709","5,907",75,"1,157",469,101,"7,125",7.6%,3.78,,,,
San Joaquin         ,"4,216","4,216",0,932,588,38,203,46,57,890,4.5%,4.74,,,,
Selma               ,"25,045","24,880",165,"7,053","5,452",144,482,585,390,"6,634",5.9%,3.75,,,,
,,,,,,,,,,, ,,,,,
Balance Of County    ,"175,561","173,438","2,123","61,276","49,978",927,"1,888","1,411","7,072","52,931",13.6%,3.28,,,,
Incorporated,"842,680","827,175","15,505","272,963","177,028","6,534","31,714","49,865","7,822","251,422",7.9%,3.29,,,,
 ,,,,,,,,,,, ,,,,,
County Total,"1,018,241","1,000,613","17,628","334,239","227,006","7,461","33,602","51,276","14,894","304,353",8.9%,3.29,,,,
,,,,,,,,,,, ,,,,,
,,,,,,,,,,, ,,,,,
Glenn County,,,,,,,,,,, ,,,,,
Orland              ,"8,337","8,326",11,"3,064","2,157",34,376,309,188,"2,899",5.4%,2.87,,,,
Willows             ,"6,282","6,065",217,"2,458","1,683",65,320,367,23,"2,222",9.6%,2.73,,,,
,,,,,,,,,,, ,,,,,
Balance Of County    ,"14,513","14,414",99,"5,788","4,141",114,128,91,"1,314","5,101",11.9%,2.83,,,,
Incorporated,"14,619","14,391",228,"5,522","3,840",99,696,676,211,"5,121",7.3%,2.81,,,,
 ,,,,,,,,,,, ,,,,,
County Total,"29,132","28,805",327,"11,310","7,981",213,824,767,"1,525","10,222",9.6%,2.82,,,,
,,,,,,,,,,, ,,,,,
,,,,,,,,,,, ,,,,,
Humboldt County,,,,,,,,,,, ,,,,,
Arcata              ,"18,078","15,812","2,266","8,124","3,379",533,"1,205","2,117",890,"7,756",4.5%,2.04,,,,
Blue Lake           ,"1,243","1,243",0,585,369,11,114,33,58,554,5.3%,2.24,,,,
Eureka              ,"26,977","25,089","1,888","11,960","7,589",462,"2,259","1,517",133,"11,374",4.9%,2.21,,,,
Ferndale            ,"1,335","1,335",0,723,597,17,85,24,0,613,15.2%,2.18,,,,
Fortuna             ,"12,084","11,823",261,"5,168","3,433",170,597,608,360,"4,891",5.4%,2.42,,,,
Rio Dell            ,"3,326","3,305",21,"1,465","1,046",72,180,18,149,"1,391",5.1%,2.38,,,,
Trinidad            ,360,359,1,252,186,2,32,7,25,188,25.4%,1.91,,,,
,,,,,,,,,,, ,,,,,
Balance Of County    ,"71,930","70,840","1,090","34,861","26,111",891,"1,795","1,537","4,527","30,990",11.1%,2.29,,,,
Incorporated,"63,403","58,966","4,437","28,277","16,599","1,267","4,472","4,324","1,615","26,767",5.3%,2.20,,,,
 ,,,,,,,,,,, ,,,,,
County Total,"135,333","129,806","5,527","63,138","42,710","2,158","6,267","5,861","6,142","57,757",8.5%,2.25,,,,
,,,,,,,,,,, ,,,,,
,,,,,,,,,,, ,,,,,
Imperial County,,,,,,,,,,, ,,,,,
Brawley             ,"27,337","27,163",174,"8,466","5,542",218,739,"1,597",370,"7,868",7.1%,3.45,,,,
Calexico            ,"42,198","42,098",100,"10,890","7,373",508,"1,188","1,651",170,"10,422",4.3%,4.04,,,,
Calipatria          ,"7,281","3,809","3,472","1,122",860,16,44,141,61,"1,020",9.1%,3.73,,,,
El Centro           ,"46,248","45,432",816,"14,725","8,176",427,"1,584","3,007","1,531","13,418",8.9%,3.39,,,,
Holtville           ,"6,779","6,779",0,"1,976","1,308",82,177,203,206,"1,933",2.2%,3.51,,,,
Imperial            ,"19,929","19,898",31,"5,989","4,490",389,401,639,70,"5,604",6.4%,3.55,,,,
Westmorland         ,"2,461","2,461",0,677,464,10,100,83,20,657,3.0%,3.75,,,,
,,,,,,,,,,, ,,,,,
Balance Of County    ,"38,033","34,013","4,020","14,157","7,713",290,586,372,"5,196","10,330",27.0%,3.29,,,,
Incorporated,"152,233","147,640","4,593","43,845","28,213","1,650","4,233","7,321","2,428","40,922",6.7%,3.61,,,,
 ,,,,,,,,,,, ,,,,,
County Total,"190,266","181,653","8,613","58,002","35,926","1,940","4,819","7,693","7,624","51,252",11.6%,3.54,,,,
,,,,,,,,,,, ,,,,,
,,,,,,,,,,, ,,,,,
Inyo County,,,,,,,,,,, ,,,,,
Bishop              ,"3,899","3,791",108,"1,933",767,83,373,340,370,"1,756",9.2%,2.16,,,,
,,,,,,,,,,, ,,,,,
Balance Of County    ,"14,694","14,398",296,"7,599","4,877",136,229,139,"2,218","6,324",16.8%,2.28,,,,
Incorporated,"3,899","3,791",108,"1,933",767,83,373,340,370,"1,756",9.2%,2.16,,,,
 ,,,,,,,,,,, ,,,,,
County Total,"18,593","18,189",404,"9,532","5,644",219,602,479,"2,588","8,080",15.2%,2.25,,,,
,,,,,,,,,,, ,,,,,
,,,,,,,,,,, ,,,,,
Kern County,,,,,,,,,,, ,,,,,
Arvin               ,"22,178","21,829",349,"4,907","3,591",172,421,578,145,"4,655",5.1%,4.69,,,,
Bakersfield         ,"389,211","385,561","3,650","130,122","93,029","3,361","14,665","16,289","2,778","119,062",8.5%,3.24,,,,
California City     ,"15,000","12,504","2,496","5,220","4,049",97,471,159,444,"4,263",18.3%,2.93,,,,
Delano              ,"53,936","45,220","8,716","10,980","7,745",468,"1,245","1,073",449,"10,526",4.1%,4.30,,,,
Maricopa            ,"1,240","1,240",0,462,186,3,20,0,253,427,7.6%,2.90,,,,
Mcfarland           ,"15,242","13,699","1,543","3,067","2,634",57,208,98,70,"2,963",3.4%,4.62,,,,
Ridgecrest          ,"29,712","29,484",228,"12,279","8,203",470,"1,849",814,943,"11,139",9.3%,2.65,,,,
Shafter             ,"20,886","20,156",730,"5,286","4,091",153,551,277,214,"4,994",5.5%,4.04,,,,
Taft                ,"9,430","6,699","2,731","2,548","1,910",113,196,240,89,"2,268",11.0%,2.95,,,,
Tehachapi           ,"13,668","9,570","4,098","3,682","2,427",119,439,251,446,"3,365",8.6%,2.84,,,,
Wasco               ,"27,955","23,210","4,745","6,148","4,724",193,476,571,184,"5,743",6.6%,4.04,,,,
,,,,,,,,,,, ,,,,,
Balance Of County    ,"318,006","314,878","3,128","114,973","81,641","2,219","8,937","5,131","17,045","98,271",14.5%,3.20,,,,
Incorporated,"598,458","569,172","29,286","184,701","132,589","5,206","20,541","20,350","6,015","169,405",8.3%,3.36,,,,
 ,,,,,,,,,,, ,,,,,
County Total,"916,464","884,050","32,414","299,674","214,230","7,425","29,478","25,481","23,060","267,676",10.7%,3.30,,,,
,,,,,,,,,,, ,,,,,
,,,,,,,,,,, ,,,,,
Kings County,,,,,,,,,,, ,,,,,
Avenal              ,"13,823","9,631","4,192","2,486","1,529",81,432,338,106,"2,375",4.5%,4.06,,,,
Corcoran            ,"21,832","12,970","8,862","4,099","3,044",133,428,298,196,"3,736",8.9%,3.47,,,,
Hanford             ,"58,105","56,939","1,166","20,163","14,905",633,"1,709","2,495",421,"18,910",6.2%,3.01,,,,
Lemoore             ,"26,257","26,240",17,"9,339","6,638",336,760,"1,298",307,"8,839",5.4%,2.97,,,,
,,,,,,,,,,, ,,,,,
Balance Of County    ,"33,693","31,726","1,967","10,327","7,675","1,036",483,156,977,"9,725",5.8%,3.26,,,,
Incorporated,"120,017","105,780","14,237","36,087","26,116","1,183","3,329","4,429","1,030","33,860",6.2%,3.12,,,,
 ,,,,,,,,,,, ,,,,,
County Total,"153,710","137,506","16,204","46,414","33,791","2,219","3,812","4,585","2,007","43,585",6.1%,3.15,,,,
,,,,,,,,,,, ,,,,,
,,,,,,,,,,, ,,,,,
Lake County,,,,,,,,,,, ,,,,,
Clearlake           ,"14,828","14,368",460,"7,797","4,061",163,410,752,"2,411","5,612",28.0%,2.56,,,,
Lakeport            ,"4,806","4,669",137,"2,442","1,487",109,183,240,423,"1,959",19.8%,2.38,,,,
,,,,,,,,,,, ,,,,,
Balance Of County    ,"45,437","44,902",535,"24,170","17,750",186,556,615,"5,063","18,273",24.4%,2.46,,,,
Incorporated,"19,634","19,037",597,"10,239","5,548",272,593,992,"2,834","7,571",26.1%,2.51,,,,
 ,,,,,,,,,,, ,,,,,
County Total,"65,071","63,939","1,132","34,409","23,298",458,"1,149","1,607","7,897","25,844",24.9%,2.47,,,,
,,,,,,,,,,, ,,,,,
,,,,,,,,,,, ,,,,,
Lassen County,,,,,,,,,,, ,,,,,
Susanville          ,"15,008","8,611","6,397","4,252","3,065",228,138,543,278,"4,046",4.8%,2.13,,,,
,,,,,,,,,,, ,,,,,
Balance Of County    ,"15,142","13,943","1,199","8,511","6,012",73,171,198,"2,057","6,409",24.7%,2.18,,,,
Incorporated,"15,008","8,611","6,397","4,252","3,065",228,138,543,278,"4,046",4.8%,2.13,,,,
 ,,,,,,,,,,, ,,,,,
County Total,"30,150","22,554","7,596","12,763","9,077",301,309,741,"2,335","10,455",18.1%,2.16,,,,
,,,,,,,,,,, ,,,,,
,,,,,,,,,,, ,,,,,
Los Angeles County,,,,,,,,,,, ,,,,,
Agoura Hills        ,"20,842","20,754",88,"7,635","5,349","1,019",181,"1,064",22,"7,401",3.1%,2.80,,,,
Alhambra            ,"86,931","86,317",614,"31,760","13,814","3,856","3,716","10,344",30,"30,132",5.1%,2.87,,,,
Arcadia             ,"58,891","58,029",862,"21,235","12,829","2,125","1,322","4,959",0,"20,140",5.2%,2.88,,,,
Artesia             ,"16,919","16,306",613,"4,729","3,380",364,291,658,36,"4,580",3.2%,3.56,,,,
Avalon              ,"3,845","3,838",7,"2,294",605,140,859,690,0,"1,498",34.7%,2.56,,,,
Azusa               ,"51,313","48,511","2,802","14,594","6,768","1,985","1,463","3,824",554,"13,816",5.3%,3.51,,,,
Baldwin Park        ,"77,286","76,880",406,"18,003","12,845","1,238",599,"3,006",315,"17,367",3.5%,4.43,,,,
Bell                ,"36,556","35,977",579,"9,284","4,750",827,989,"2,330",388,"8,990",3.2%,4.00,,,,
Bellflower          ,"78,308","77,569",739,"25,056","12,395","2,079","1,818","7,450","1,314","23,824",4.9%,3.26,,,,
Bell Gardens        ,"42,972","42,548",424,"10,010","4,935","2,480","1,035","1,209",351,"9,718",2.9%,4.38,,,,
Beverly Hills       ,"34,627","34,506",121,"16,464","5,733",291,"1,899","8,499",42,"14,875",9.7%,2.32,,,,
Bradbury            ,"1,077","1,077",0,408,390,7,0,11,0,358,12.3%,3.01,,,,
Burbank             ,"105,952","105,379",573,"44,674","19,847","1,913","4,740","18,039",135,"42,376",5.1%,2.49,,,,
Calabasas           ,"24,239","24,230",9,"9,196","6,221",663,492,"1,589",231,"8,838",3.9%,2.74,,,,
Carson              ,"93,604","92,166","1,438","26,362","18,335","2,404",698,"2,469","2,456","25,546",3.1%,3.61,,,,
Cerritos            ,"50,711","50,607",104,"16,204","13,419","1,410",429,927,19,"15,768",2.7%,3.21,,,,
Claremont           ,"36,511","31,065","5,446","12,507","8,205","1,336","1,055","1,888",23,"11,923",4.7%,2.61,,,,
Commerce            ,"13,021","12,951",70,"3,473","2,376",331,235,531,0,"3,385",2.5%,3.83,,,,
Compton             ,"98,711","97,956",755,"24,600","16,842","2,347","2,132","2,653",626,"23,261",5.4%,4.21,,,,
Covina              ,"48,876","48,441",435,"16,708","9,708","1,528",835,"4,091",546,"15,980",4.4%,3.03,,,,
Cudahy              ,"24,264","24,256",8,"5,774","2,141","1,313",326,"1,574",420,"5,631",2.5%,4.31,,,,
Culver City         ,"40,173","39,862",311,"17,732","6,932","1,587","2,083","6,914",216,"17,021",4.0%,2.34,,,,
Diamond Bar         ,"57,495","57,366",129,"18,781","13,547","1,765","1,055","2,046",368,"18,239",2.9%,3.15,,,,
Downey              ,"114,212","113,529",683,"35,826","20,436","1,583","1,633","11,806",368,"34,173",4.6%,3.32,,,,
Duarte              ,"21,952","21,545",407,"7,339","4,690",940,235,"1,312",162,"7,117",3.0%,3.03,,,,
El Monte            ,"117,204","116,124","1,080","29,544","16,381","3,733","1,473","6,452","1,505","28,238",4.4%,4.11,,,,
El Segundo          ,"17,066","16,990",76,"7,454","3,194",360,785,"3,100",15,"7,155",4.0%,2.38,,,,
Gardena             ,"61,042","60,248",794,"21,893","9,762","1,645","2,569","6,672","1,245","21,029",3.9%,2.87,,,,
Glendale            ,"206,283","204,854","1,429","80,786","27,753","3,562","6,947","42,474",50,"76,462",5.4%,2.68,,,,
Glendora            ,"52,122","51,357",765,"18,345","13,284","1,412",699,"2,280",670,"17,592",4.1%,2.92,,,,
Hawaiian Gardens    ,"14,690","14,674",16,"3,721","1,745",527,364,834,251,"3,617",2.8%,4.06,,,,
Hawthorne           ,"87,854","87,315",539,"30,593","8,970","1,310","4,072","16,094",147,"29,262",4.4%,2.98,,,,
Hermosa Beach       ,"19,847","19,832",15,"10,071","4,404",807,"2,245","2,398",217,"9,572",5.0%,2.07,,,,
Hidden Hills        ,"1,885","1,885",0,628,624,4,0,0,0,594,5.4%,3.17,,,,
Huntington Park     ,"59,350","59,095",255,"15,210","6,272","2,040","1,585","5,228",85,"14,691",3.4%,4.02,,,,
Industry            ,432,195,237,68,58,0,6,0,4,62,8.8%,3.15,,,,
Inglewood           ,"112,549","111,047","1,502","38,691","14,746","2,314","5,519","15,903",209,"36,808",4.9%,3.02,,,,
Irwindale           ,"1,506","1,456",50,410,369,10,4,21,6,383,6.6%,3.80,,,,
La Canada Flintridge,"20,602","20,575",27,"7,105","6,526",189,96,250,44,"6,869",3.3%,3.00,,,,
La Habra Heights    ,"5,485","5,477",8,"1,901","1,836",65,0,0,0,"1,833",3.6%,2.99,,,,
Lakewood            ,"81,352","81,243",109,"27,594","22,712","1,051",382,"3,298",151,"26,582",3.7%,3.06,,,,
La Mirada           ,"49,558","46,701","2,857","15,168","12,158",763,288,"1,787",172,"14,793",2.5%,3.16,,,,
Lancaster           ,"161,604","154,698","6,906","53,103","37,310",832,"3,090","7,904","3,967","48,207",9.2%,3.21,,,,
La Puente           ,"40,795","40,752",43,"9,848","6,830",487,403,"2,098",30,"9,543",3.1%,4.27,,,,
La Verne            ,"33,201","32,102","1,099","12,167","7,777",932,660,929,"1,869","11,722",3.7%,2.74,,,,
Lawndale            ,"33,436","33,261",175,"10,163","5,320","1,422",903,"2,273",245,"9,735",4.2%,3.42,,,,
Lomita              ,"20,763","20,596",167,"8,508","4,193",777,472,"2,445",621,"8,150",4.2%,2.53,,,,
Long Beach          ,"475,013","466,100","8,913","177,378","74,627","10,127","21,657","68,621","2,346","165,495",6.7%,2.82,,,,
Los Angeles         ,"4,040,079","3,943,906","96,173","1,500,222","558,735","91,475","131,366","708,564","10,082","1,391,895",7.2%,2.83,,,,
Lynwood             ,"71,343","68,347","2,996","15,328","9,354",968,"1,834","3,037",135,"14,763",3.7%,4.63,,,,
Malibu              ,"12,046","11,905",141,"6,434","4,370",532,230,761,541,"4,956",23.0%,2.40,,,,
Manhattan Beach     ,"35,922","35,894",28,"15,055","10,447","1,173","2,445",976,14,"14,142",6.1%,2.54,,,,
Maywood             ,"27,971","27,852",119,"6,766","3,686",870,913,"1,252",45,"6,600",2.5%,4.22,,,,
Monrovia            ,"38,529","38,373",156,"15,043","8,463","1,738","1,106","3,578",158,"14,283",5.1%,2.69,,,,
Montebello          ,"64,247","63,847",400,"20,048","9,821","1,656","2,499","5,806",266,"19,260",3.9%,3.32,,,,
Monterey Park       ,"61,828","61,597",231,"21,159","12,150","1,993","2,123","4,829",64,"20,182",4.6%,3.05,,,,
Norwalk             ,"106,744","105,213","1,531","28,108","20,561","1,255",911,"4,890",491,"27,056",3.7%,3.89,,,,
Palmdale            ,"157,854","157,655",199,"47,210","37,119",854,"1,416","5,664","2,157","43,740",7.4%,3.60,,,,
Palos Verdes Estates,"13,544","13,527",17,"5,299","4,893",67,30,297,12,"5,031",5.1%,2.69,,,,
Paramount           ,"55,497","55,187",310,"14,690","6,679","1,706",909,"4,263","1,133","14,032",4.5%,3.93,,,,
Pasadena            ,"146,312","142,599","3,713","62,653","26,393","4,225","5,269","26,636",130,"57,955",7.5%,2.46,,,,
Pico Rivera         ,"64,033","63,579",454,"17,121","13,147",669,439,"2,367",499,"16,609",3.0%,3.83,,,,
Pomona              ,"154,310","150,321","3,989","41,647","25,083","3,080","3,530","7,976","1,978","39,323",5.6%,3.82,,,,
Rancho Palos Verdes ,"42,560","42,220",340,"16,323","12,550","1,043",324,"2,381",25,"15,673",4.0%,2.69,,,,
Redondo Beach       ,"68,473","68,042",431,"30,866","12,133","4,393","4,661","9,420",259,"29,328",5.0%,2.32,,,,
Rolling Hills       ,"1,892","1,892",0,719,718,0,0,1,0,666,7.4%,2.84,,,,
Rolling Hills Estates,"8,247","8,247",0,"3,107","2,330",669,35,37,36,"2,987",3.9%,2.76,,,,
Rosemead            ,"55,097","54,684",413,"14,964","11,216","1,452",853,"1,277",166,"14,389",3.8%,3.80,,,,
San Dimas           ,"34,584","34,044",540,"12,798","7,361","1,673",312,"2,001","1,451","12,293",3.9%,2.77,,,,
San Fernando        ,"24,918","24,804",114,"6,504","4,656",483,475,769,121,"6,164",5.2%,4.02,,,,
San Gabriel         ,"41,178","40,726",452,"13,551","7,470","1,689",775,"3,609",8,"12,818",5.4%,3.18,,,,
San Marino          ,"13,352","13,271",81,"4,493","4,438",15,0,40,0,"4,334",3.5%,3.06,,,,
Santa Clarita       ,"218,103","216,693","1,410","76,780","46,784","9,001","3,113","15,279","2,603","72,168",6.0%,3.00,,,,
Santa Fe Springs    ,"18,261","18,068",193,"5,512","3,249",199,300,"1,691",73,"5,272",4.4%,3.43,,,,
Santa Monica        ,"93,593","91,447","2,146","52,529","9,747","1,832","5,288","35,458",204,"48,254",8.1%,1.90,,,,
Sierra Madre        ,"11,135","11,134",1,"5,122","3,553",328,337,904,0,"4,862",5.1%,2.29,,,,
Signal Hill         ,"11,795","11,749",46,"4,631","1,449",620,638,"1,924",0,"4,386",5.3%,2.68,,,,
South El Monte      ,"21,293","21,236",57,"4,882","3,541",221,249,421,450,"4,749",2.7%,4.47,,,,
South Gate          ,"96,777","96,689",88,"24,511","15,332","1,935","3,224","3,728",292,"23,517",4.1%,4.11,,,,
South Pasadena      ,"26,245","26,082",163,"11,176","4,980",662,"1,404","4,130",0,"10,567",5.4%,2.47,,,,
Temple City         ,"36,583","36,161",422,"12,321","9,919",941,345,"1,009",107,"11,759",4.6%,3.08,,,,
Torrance            ,"148,054","146,908","1,146","58,552","30,709","3,664","3,666","19,378","1,135","56,182",4.0%,2.62,,,,
Vernon              ,301,301,0,76,23,0,0,53,0,74,2.6%,4.07,,,,
Walnut              ,"30,551","30,517",34,"9,046","8,594",111,35,303,3,"8,805",2.7%,3.47,,,,
West Covina         ,"108,116","107,442",674,"32,910","21,253","3,117","1,235","6,960",345,"31,729",3.6%,3.39,,,,
West Hollywood      ,"36,660","36,551",109,"25,862","2,254",701,"2,337","20,525",45,"23,645",8.6%,1.55,,,,
Westlake Village    ,"8,378","8,250",128,"3,366","2,372",622,109,152,111,"3,257",3.2%,2.53,,,,
Whittier            ,"87,526","85,891","1,635","29,718","19,369","1,259","2,323","6,574",193,"28,589",3.8%,3.00,,,,
,,,,,,,,,,, ,,,,,
Balance Of County    ,"1,046,858","1,029,173","17,685","310,799","218,555","17,428","17,926","46,393","10,497","293,744",5.5%,3.50,,,,
Incorporated,"9,206,858","9,041,093","165,765","3,258,099","1,510,244","218,791","271,397","1,209,864","47,803","3,056,645",6.2%,2.96,,,,
 ,,,,,,,,,,, ,,,,,
