"Table 2: E-5 City/County Population and Housing Estimates, 1/1/2019",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,POPULATION,,, HOUSING UNITS,,,,,,,,,,,,
County / City,Total,Household,Group Quarters,Total,Single Detached,Single Attached,Two to Four,Five Plus,Mobile Homes,Occupied,Vacancy Rate,Persons per Household,,,,
,,,,,,,,,,, ,,,,,
Balance Of County    ,"31,200","20,631","10,569","7,452","5,889",201,275,164,923,"7,061",5.2%,2.92,,,,
Incorporated,"191,381","188,747","2,634","70,227","40,296","4,669","6,302","16,336","2,624","66,587",5.2%,2.83,,,,
 ,,,,,,,,,,, ,,,,,
County Total,"222,581","209,378","13,203","77,679","46,185","4,870","6,577","16,500","3,547","73,648",5.2%,2.84,,,,
,,,,,,,,,,, ,,,,,
,,,,,,,,,,, ,,,,,
Yuba County,,,,,,,,,,, ,,,,,
Marysville          ,"12,627","12,021",606,"5,214","3,167",110,901,981,55,"4,798",8.0%,2.51,,,,
Wheatland           ,"3,703","3,703",0,"1,339",968,25,248,63,35,"1,274",4.9%,2.91,,,,
,,,,,,,,,,, ,,,,,
Balance Of County    ,"61,586","61,073",513,"22,097","16,019",410,"1,522","1,305","2,841","19,651",11.1%,3.11,,,,
Incorporated,"16,330","15,724",606,"6,553","4,135",135,"1,149","1,044",90,"6,072",7.3%,2.59,,,,
 ,,,,,,,,,,, ,,,,,
County Total,"77,916","76,797","1,119","28,650","20,154",545,"2,671","2,349","2,931","25,723",10.2%,2.99,,,,
,,,,,,,,,,, ,,,,,
,,,,,,,,,,, ,,,,,
California,,,,,,,,,,, ,,,,,
Incorporated Total,"33,321,523","32,643,944","677,579","11,761,178","6,347,110","898,228","1,021,776","3,168,743","325,321","10,932,193",7.0%,2.99,,,,
Balance Of State Total,"6,605,792","6,433,957","171,835","2,473,915","1,843,840","96,482","110,786","188,308","234,499","2,152,843",13.0%,2.99,,,,
 ,,,,,,,,,,, ,,,,,
State Total,"39,927,315","39,077,901","849,414","14,235,093","8,190,950","994,710","1,132,562","3,357,051","559,820","13,085,036",8.1%,2.99,,,,
