"Table 2: E-5 City/County Population and Housing Estimates, 1/1/2015",,,,,,,,,,,,
,,,,,,,,,,,,
,POPULATION,,, HOUSING UNITS,,,,,,,,
County / City,Total,Household,Group Quarters,Total,Single Detached,Single Attached,Two to Four,Five Plus,Mobile Homes,Occupied,Vacancy Rate,Persons per Household
Alameda County,,,,,,,,,,,,
Alameda             ,"77,254","75,831","1,423","32,438","13,784","3,350","5,826","9,351",127,"30,289",6.6%,2.50
Albany              ,"18,717","16,143","2,574","6,727","4,227",226,817,"1,432",25,"6,337",5.8%,2.55
Berkeley            ,"119,400","105,486","13,914","50,036","20,952","2,065","10,011","16,790",218,"46,584",6.9%,2.26
Dublin              ,"56,398","52,338","4,060","19,551","10,613","2,285",604,"5,995",54,"18,542",5.2%,2.82
Emeryville          ,"10,795","10,722",73,"6,719",421,401,753,"5,108",36,"5,838",13.1%,1.84
Fremont             ,"228,119","226,468","1,651","75,313","43,820","10,029","2,435","18,303",726,"72,426",3.8%,3.13
Hayward             ,"154,321","151,141","3,180","49,184","25,467","4,731","2,935","13,729","2,322","46,377",5.7%,3.26
Livermore           ,"86,549","86,039",510,"31,042","21,860","2,555","1,563","4,524",540,"29,811",4.0%,2.89
Newark              ,"44,549","44,404",145,"13,421","9,523","1,342",575,"1,981",0,"12,990",3.2%,3.42
Oakland             ,"420,624","412,822","7,802","171,138","74,129","6,921","32,635","56,898",555,"158,783",7.2%,2.60
Piedmont            ,"11,217","11,214",3,"3,940","3,718",48,95,79,0,"3,824",2.9%,2.93
Pleasanton          ,"75,246","74,790",456,"26,732","16,951","2,678","1,616","5,107",380,"25,871",3.2%,2.89
San Leandro         ,"89,143","88,493",650,"32,509","19,463","1,981","1,895","8,280",890,"30,854",5.1%,2.87
Union City          ,"73,203","72,685",518,"21,435","13,646","2,845",784,"3,157","1,003","20,595",3.9%,3.53
,,,,,,,,,,, ,
Balance Of County    ,"147,633","145,272","2,361","51,051","34,489","4,136","3,114","8,346",966,"48,554",4.9%,2.99
Incorporated,"1,465,535","1,428,576","36,959","540,185","278,574","41,457","62,544","150,734","6,876","509,121",5.8%,2.81
 ,,,,,,,,,,, ,
County Total,"1,613,168","1,573,848","39,320","591,236","313,063","45,593","65,658","159,080","7,842","557,675",5.7%,2.82
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Alpine County,,,,,,,,,,, ,
County Total,"1,164","1,140",24,"1,774","1,047",18,45,631,33,492,72.3%,2.32
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Amador County,,,,,,,,,,, ,
Amador              ,182,182,0,109,91,12,6,0,0,85,22.0%,2.14
Ione                ,"6,762","3,912","2,850","1,747","1,559",31,0,104,53,"1,567",10.3%,2.50
Jackson             ,"4,632","4,391",241,"2,321","1,439",134,288,252,208,"2,098",9.6%,2.09
Plymouth            ,966,957,9,485,275,30,16,25,139,396,18.4%,2.42
Sutter Creek        ,"2,441","2,440",1,"1,374",803,82,136,243,110,"1,168",15.0%,2.09
,,,,,,,,,,, ,
Balance Of County    ,"21,316","21,172",144,"12,127","10,723",270,159,66,909,"9,367",22.8%,2.26
Incorporated,"14,983","11,882","3,101","6,036","4,167",289,446,624,510,"5,314",12.0%,2.24
 ,,,,,,,,,,, ,
County Total,"36,299","33,054","3,245","18,163","14,890",559,605,690,"1,419","14,681",19.2%,2.25
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Butte County,,,,,,,,,,, ,
Biggs               ,"1,752","1,752",0,633,577,35,0,4,17,581,8.2%,3.02
Chico               ,"89,873","86,194","3,679","38,477","20,535","1,648","5,996","8,345","1,953","36,259",5.8%,2.38
Gridley             ,"6,835","6,723",112,"2,485","2,004",133,171,99,78,"2,275",8.5%,2.96
Oroville            ,"16,161","15,241",920,"6,470","3,801",221,790,"1,278",380,"5,888",9.0%,2.59
Paradise            ,"26,170","25,762",408,"13,025","9,016",353,"1,118",406,"2,132","11,908",8.6%,2.16
,,,,,,,,,,, ,
Balance Of County    ,"84,020","83,660",360,"36,682","25,079",691,866,398,"9,648","32,734",10.8%,2.56
Incorporated,"140,791","135,672","5,119","61,090","35,933","2,390","8,075","10,132","4,560","56,911",6.8%,2.38
 ,,,,,,,,,,, ,
County Total,"224,811","219,332","5,479","97,772","61,012","3,081","8,941","10,530","14,208","89,645",8.3%,2.45
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Calaveras County,,,,,,,,,,, ,
Angels City,"3,633","3,586",47,"1,951","1,401",71,129,120,230,"1,609",17.5%,2.23
,,,,,,,,,,, ,
Balance Of County    ,"41,624","41,189",435,"26,348","23,284",295,541,272,"1,956","17,791",32.5%,2.32
Incorporated,"3,633","3,586",47,"1,951","1,401",71,129,120,230,"1,609",17.5%,2.23
 ,,,,,,,,,,, ,
County Total,"45,257","44,775",482,"28,299","24,685",366,670,392,"2,186","19,400",31.4%,2.31
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Colusa County,,,,,,,,,,, ,
Colusa              ,"6,246","6,162",84,"2,386","1,708",77,321,160,120,"2,248",5.8%,2.74
Williams            ,"5,338","5,229",109,"1,564","1,138",17,138,210,61,"1,439",8.0%,3.63
,,,,,,,,,,, ,
Balance Of County    ,"10,255","10,194",61,"4,118","3,114",19,276,107,602,"3,548",13.8%,2.87
Incorporated,"11,584","11,391",193,"3,950","2,846",94,459,370,181,"3,687",6.7%,3.09
