"Table 2: E-5 City/County Population and Housing Estimates, 1/1/2015",,,,,,,,,,,,
,,,,,,,,,,,,
,POPULATION,,, HOUSING UNITS,,,,,,,,
 ,,,,,,,,,,, ,
County Total,"21,839","21,585",254,"8,068","5,960",113,735,477,783,"7,235",10.3%,2.98
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Contra Costa County,,,,,,,,,,, ,
Antioch             ,"109,642","108,978",664,"35,750","27,786","1,707","1,471","4,384",402,"33,286",6.9%,3.27
Brentwood           ,"57,111","56,965",146,"18,663","16,304",615,345,"1,045",354,"17,630",5.5%,3.23
Clayton             ,"11,369","11,359",10,"4,111","3,366",538,108,99,0,"4,025",2.1%,2.82
Concord             ,"127,182","125,807","1,375","47,170","27,342","3,201","3,425","11,443","1,759","44,353",6.0%,2.84
Danville            ,"44,156","43,913",243,"16,075","12,188","2,907",153,810,17,"15,605",2.9%,2.81
El Cerrito          ,"24,482","24,389",93,"10,731","7,488",345,"1,389","1,450",59,"10,157",5.3%,2.40
Hercules            ,"25,021","24,966",55,"8,551","5,625","1,357",567,989,13,"8,130",4.9%,3.07
Lafayette           ,"25,431","25,332",99,"9,866","7,677",292,693,"1,196",8,"9,458",4.1%,2.68
Martinez            ,"37,685","36,293","1,392","15,151","9,517","2,172","1,325","2,122",15,"14,466",4.5%,2.51
Moraga              ,"16,624","14,901","1,723","5,763","3,826",871,289,777,0,"5,593",2.9%,2.66
Oakley,"39,312","39,209",103,"12,206","11,088",236,129,377,376,"11,467",6.1%,3.42
Orinda              ,"18,762","18,719",43,"6,970","6,465",170,9,326,0,"6,714",3.7%,2.79
Pinole              ,"19,100","19,032",68,"7,161","5,053",613,497,962,36,"6,778",5.3%,2.81
Pittsburg           ,"68,168","67,877",291,"21,915","15,582","1,300","1,231","3,055",747,"20,274",7.5%,3.35
Pleasant Hill       ,"34,425","33,962",463,"14,329","8,568","1,566","1,002","3,110",83,"13,718",4.3%,2.48
Richmond            ,"108,559","106,763","1,796","39,396","22,101","2,370","6,235","8,527",163,"36,347",7.7%,2.94
San Pablo           ,"30,576","30,135",441,"9,483","4,342",494,"1,532","2,733",382,"8,861",6.6%,3.40
San Ramon           ,"79,197","79,122",75,"27,696","17,163","3,018","1,142","6,336",37,"26,736",3.5%,2.96
Walnut Creek        ,"67,473","66,471","1,002","33,038","12,510","5,033","4,384","11,111",0,"30,856",6.6%,2.15
,,,,,,,,,,, ,
Balance Of County    ,"169,484","168,598",886,"63,636","47,849","2,942","2,661","7,366","2,818","58,972",7.3%,2.86
Incorporated,"944,275","934,193","10,082","344,025","223,991","28,805","25,926","60,852","4,451","324,454",5.7%,2.88
 ,,,,,,,,,,, ,
County Total,"1,113,759","1,102,791","10,968","407,661","271,840","31,747","28,587","68,218","7,269","383,426",5.9%,2.88
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Del Norte County,,,,,,,,,,, ,
Crescent City       ,"6,695","3,851","2,844","1,898",918,92,360,470,58,"1,683",11.3%,2.29
,,,,,,,,,,, ,
Balance Of County    ,"20,326","20,099",227,"9,364","5,926",181,463,327,"2,467","8,268",11.7%,2.43
Incorporated,"6,695","3,851","2,844","1,898",918,92,360,470,58,"1,683",11.3%,2.29
 ,,,,,,,,,,, ,
County Total,"27,021","23,950","3,071","11,262","6,844",273,823,797,"2,525","9,951",11.6%,2.41
,,,,,,,,,,, ,
,,,,,,,,,,, ,
El Dorado County,,,,,,,,,,, ,
Placerville         ,"10,559","9,911",648,"4,595","2,984",193,811,439,168,"4,180",9.0%,2.37
South Lake Tahoe    ,"21,439","21,041",398,"15,147","9,506",404,"2,456","2,218",563,"8,921",41.1%,2.36
,,,,,,,,,,, ,
Balance Of County    ,"151,515","150,846",669,"69,551","60,735",793,"1,597","3,073","3,353","58,036",16.6%,2.60
Incorporated,"31,998","30,952","1,046","19,742","12,490",597,"3,267","2,657",731,"13,101",33.6%,2.36
 ,,,,,,,,,,, ,
County Total,"183,513","181,798","1,715","89,293","73,225","1,390","4,864","5,730","4,084","71,137",20.3%,2.56
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Fresno County,,,,,,,,,,, ,
Clovis              ,"105,490","105,102",388,"38,031","27,046",762,"3,386","5,877",960,"36,091",5.1%,2.91
Coalinga            ,"16,626","12,014","4,612","4,353","2,841",51,426,532,503,"3,898",10.5%,3.08
Firebaugh           ,"7,946","7,933",13,"2,135","1,383",108,348,221,75,"1,978",7.4%,4.01
Fowler              ,"6,041","5,994",47,"1,948","1,415",26,159,225,123,"1,829",6.1%,3.28
Fresno              ,"519,942","510,410","9,532","176,915","108,263","4,643","22,333","36,928","4,748","162,926",7.9%,3.13
Huron               ,"6,902","6,902",0,"1,598",505,96,395,498,104,"1,534",4.0%,4.50
Kerman              ,"14,494","14,487",7,"4,081","2,907",100,437,455,182,"3,867",5.2%,3.75
Kingsburg           ,"11,874","11,792",82,"4,138","3,015",53,409,463,198,"3,903",5.7%,3.02
Mendota             ,"11,467","11,467",0,"2,571","1,491",167,428,430,55,"2,469",4.0%,4.64
Orange Cove         ,"9,476","9,476",0,"2,273","1,420",94,285,474,0,"2,113",7.0%,4.49
Parlier             ,"15,241","15,239",2,"3,596","2,472",61,406,604,53,"3,394",5.6%,4.49
Reedley             ,"25,815","25,509",306,"7,135","5,028",84,726,"1,034",263,"6,847",4.0%,3.73
Sanger              ,"25,462","25,328",134,"7,269","5,546",75,"1,149",399,100,"6,838",5.9%,3.70
San Joaquin         ,"4,119","4,119",0,932,588,38,203,46,57,888,4.7%,4.64
Selma               ,"24,156","23,991",165,"6,934","5,361",139,482,562,390,"6,535",5.8%,3.67
,,,,,,,,,,, ,
Balance Of County    ,"171,102","168,498","2,604","61,032","49,746",943,"1,884","1,412","7,047","52,530",13.9%,3.21
Incorporated,"805,051","789,763","15,288","263,909","169,281","6,497","31,572","48,748","7,811","245,110",7.1%,3.22
 ,,,,,,,,,,, ,
County Total,"976,153","958,261","17,892","324,941","219,027","7,440","33,456","50,160","14,858","297,640",8.4%,3.22
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Glenn County,,,,,,,,,,, ,
Orland              ,"7,743","7,732",11,"2,853","2,058",32,376,309,78,"2,697",5.5%,2.87
Willows             ,"6,146","5,941",205,"2,411","1,681",65,324,318,23,"2,181",9.5%,2.72
,,,,,,,,,,, ,
Balance Of County    ,"14,641","14,541",100,"5,749","4,123",116,126,91,"1,293","5,156",10.3%,2.82
Incorporated,"13,889","13,673",216,"5,264","3,739",97,700,627,101,"4,878",7.3%,2.80
 ,,,,,,,,,,, ,
County Total,"28,530","28,214",316,"11,013","7,862",213,826,718,"1,394","10,034",8.9%,2.81
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Humboldt County,,,,,,,,,,, ,
Arcata              ,"17,860","15,607","2,253","7,877","3,353",499,"1,181","1,955",889,"7,524",4.5%,2.07
Blue Lake           ,"1,262","1,262",0,579,367,11,110,33,58,552,4.7%,2.29
Eureka              ,"27,178","25,319","1,859","11,928","7,576",456,"2,254","1,509",133,"11,280",5.4%,2.25
Ferndale            ,"1,364","1,364",0,720,594,17,85,24,0,615,14.6%,2.22
Fortuna             ,"12,020","11,759",261,"5,079","3,364",162,592,602,359,"4,780",5.9%,2.46
Rio Dell            ,"3,341","3,320",21,"1,453","1,037",70,180,18,148,"1,373",5.5%,2.42
Trinidad            ,359,358,1,251,185,2,32,7,25,184,26.7%,1.95
,,,,,,,,,,, ,
Balance Of County    ,"72,051","70,932","1,119","34,440","25,847",865,"1,764","1,452","4,512","30,496",11.5%,2.33
Incorporated,"63,384","58,989","4,395","27,887","16,476","1,217","4,434","4,148","1,612","26,308",5.7%,2.24
 ,,,,,,,,,,, ,
County Total,"135,435","129,921","5,514","62,327","42,323","2,082","6,198","5,600","6,124","56,804",8.9%,2.29
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Imperial County,,,,,,,,,,, ,
Brawley             ,"26,496","26,322",174,"8,275","5,395",218,736,"1,512",414,"7,651",7.5%,3.44
Calexico            ,"41,092","40,992",100,"10,824","7,356",484,"1,163","1,651",170,"10,183",5.9%,4.03
Calipatria          ,"7,474","3,727","3,747","1,121",859,16,44,141,61,"1,002",10.6%,3.72
El Centro           ,"45,258","44,442",816,"14,590","8,128",427,"1,577","2,927","1,531","13,171",9.7%,3.37
Holtville           ,"6,360","6,360",0,"1,941","1,282",73,177,203,206,"1,820",6.2%,3.50
Imperial            ,"17,534","17,503",31,"5,358","4,034",389,401,464,70,"4,946",7.7%,3.54
Westmorland         ,"2,370","2,370",0,677,464,10,100,83,20,634,6.4%,3.74
,,,,,,,,,,, ,
Balance Of County    ,"38,092","34,141","3,951","14,171","7,737",290,584,372,"5,188","10,366",26.9%,3.29
Incorporated,"146,584","141,716","4,868","42,786","27,518","1,617","4,198","6,981","2,472","39,407",7.9%,3.60
 ,,,,,,,,,,, ,
County Total,"184,676","175,857","8,819","56,957","35,255","1,907","4,782","7,353","7,660","49,773",12.6%,3.53
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Inyo County,,,,,,,,,,, ,
Bishop              ,"3,877","3,769",108,"1,927",767,83,367,340,370,"1,748",9.3%,2.16
,,,,,,,,,,, ,
Balance Of County    ,"14,707","14,396",311,"7,573","4,864",133,229,139,"2,208","6,328",16.4%,2.28
Incorporated,"3,877","3,769",108,"1,927",767,83,367,340,370,"1,748",9.3%,2.16
 ,,,,,,,,,,, ,
County Total,"18,584","18,165",419,"9,500","5,631",216,596,479,"2,578","8,076",15.0%,2.25
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Kern County,,,,,,,,,,, ,
Arvin               ,"20,282","19,933",349,"4,598","3,317",137,422,578,144,"4,351",5.4%,4.58
Bakersfield         ,"372,060","368,432","3,628","126,154","89,802","3,362","14,435","15,810","2,745","116,464",7.7%,3.16
California City     ,"14,424","12,231","2,193","5,226","4,047",97,471,159,452,"4,268",18.3%,2.87
Delano              ,"52,491","43,700","8,791","10,875","7,640",468,"1,245","1,073",449,"10,413",4.2%,4.20
Maricopa            ,"1,164","1,164",0,465,186,3,20,0,256,410,11.8%,2.84
Mcfarland           ,"14,135","12,769","1,366","2,916","2,483",57,208,98,70,"2,828",3.0%,4.52
Ridgecrest          ,"28,583","28,319",264,"12,104","8,031",470,"1,852",814,937,"10,943",9.6%,2.59
Shafter             ,"18,164","17,444",720,"4,707","3,517",153,548,277,212,"4,424",6.0%,3.94
Taft                ,"9,505","6,507","2,998","2,521","1,881",113,198,240,89,"2,254",10.6%,2.89
Tehachapi           ,"13,145","8,932","4,213","3,622","2,409",77,439,251,446,"3,215",11.2%,2.78
Wasco               ,"26,294","21,425","4,869","5,786","4,365",193,470,571,187,"5,427",6.2%,3.95
,,,,,,,,,,, ,
Balance Of County    ,"310,920","307,270","3,650","113,800","80,579","2,220","8,836","5,131","17,034","98,152",13.8%,3.13
Incorporated,"570,247","540,856","29,391","178,974","127,678","5,130","20,308","19,871","5,987","164,997",7.8%,3.28
 ,,,,,,,,,,, ,
County Total,"881,167","848,126","33,041","292,774","208,257","7,350","29,144","25,002","23,021","263,149",10.1%,3.22
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Kings County,,,,,,,,,,, ,
Avenal              ,"13,198","9,134","4,064","2,434","1,518",81,432,297,106,"2,259",7.2%,4.04
Corcoran            ,"22,090","12,636","9,454","4,009","2,955",133,428,298,195,"3,651",8.9%,3.46
Hanford             ,"56,016","54,815","1,201","19,133","14,057",632,"1,707","2,317",420,"18,262",4.6%,3.00
Lemoore             ,"25,281","25,264",17,"8,977","6,376",336,764,"1,194",307,"8,537",4.9%,2.96
,,,,,,,,,,, ,
Balance Of County    ,"33,305","31,458","1,847","10,335","7,700","1,036",483,156,960,"9,677",6.4%,3.25
Incorporated,"116,585","101,849","14,736","34,553","24,906","1,182","3,331","4,106","1,028","32,709",5.3%,3.11
 ,,,,,,,,,,, ,
County Total,"149,890","133,307","16,583","44,888","32,606","2,218","3,814","4,262","1,988","42,386",5.6%,3.15
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Lake County,,,,,,,,,,, ,
Clearlake           ,"15,296","14,836",460,"8,055","4,212",164,410,752,"2,517","5,994",25.6%,2.48
Lakeport            ,"4,843","4,706",137,"2,439","1,484",109,183,240,423,"2,042",16.3%,2.31
,,,,,,,,,,, ,
Balance Of County    ,"45,112","44,487",625,"25,223","18,670",360,574,615,"5,004","18,728",25.8%,2.38
Incorporated,"20,139","19,542",597,"10,494","5,696",273,593,992,"2,940","8,036",23.4%,2.43
 ,,,,,,,,,,, ,
County Total,"65,251","64,029","1,222","35,717","24,366",633,"1,167","1,607","7,944","26,764",25.1%,2.39
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Lassen County,,,,,,,,,,, ,
Susanville          ,"15,388","8,822","6,566","4,251","3,069",223,138,543,278,"3,883",8.7%,2.27
,,,,,,,,,,, ,
Balance Of County    ,"16,262","14,595","1,667","8,489","5,995",73,171,198,"2,052","6,283",26.0%,2.32
Incorporated,"15,388","8,822","6,566","4,251","3,069",223,138,543,278,"3,883",8.7%,2.27
 ,,,,,,,,,,, ,
County Total,"31,650","23,417","8,233","12,740","9,064",296,309,741,"2,330","10,166",20.2%,2.30
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Los Angeles County,,,,,,,,,,, ,
Agoura Hills        ,"20,857","20,769",88,"7,605","5,337","1,019",171,"1,056",22,"7,355",3.3%,2.82
Alhambra            ,"85,917","85,303",614,"31,245","13,772","3,854","3,712","9,877",30,"29,571",5.4%,2.89
Arcadia             ,"58,063","57,201",862,"20,813","12,697","2,124","1,171","4,821",0,"19,759",5.1%,2.90
Artesia             ,"16,951","16,338",613,"4,705","3,368",364,291,646,36,"4,557",3.1%,3.59
Avalon              ,"3,858","3,851",7,"2,291",604,138,859,690,0,"1,492",34.9%,2.58
Azusa               ,"49,398","46,596","2,802","14,062","6,528","1,979","1,409","3,592",554,"13,313",5.3%,3.50
Baldwin Park        ,"76,917","76,511",406,"17,792","12,718","1,226",597,"2,936",315,"17,164",3.5%,4.46
Bell                ,"36,459","35,880",579,"9,217","4,752",827,985,"2,265",388,"8,925",3.2%,4.02
Bellflower          ,"78,421","77,682",739,"24,916","12,347","2,079","1,794","7,382","1,314","23,694",4.9%,3.28
Bell Gardens        ,"43,072","42,648",424,"9,990","4,921","2,480","1,029","1,209",351,"9,674",3.2%,4.41
Beverly Hills       ,"34,800","34,679",121,"16,433","5,733",291,"1,895","8,472",42,"14,846",9.7%,2.34
Bradbury            ,"1,084","1,084",0,407,389,7,0,11,0,357,12.3%,3.04
Burbank             ,"106,615","106,042",573,"44,646","19,806","1,909","4,729","18,067",135,"42,348",5.1%,2.50
Calabasas           ,"24,245","24,236",9,"9,134","6,219",663,492,"1,529",231,"8,778",3.9%,2.76
Carson              ,"93,486","92,095","1,391","26,123","18,277","2,398",688,"2,304","2,456","25,350",3.0%,3.63
Cerritos            ,"49,822","49,718",104,"15,860","13,419","1,410",414,598,19,"15,434",2.7%,3.22
Claremont           ,"36,325","30,879","5,446","12,345","8,183","1,244","1,007","1,888",23,"11,770",4.7%,2.62
Commerce            ,"13,098","13,028",70,"3,469","2,375",331,232,531,0,"3,381",2.5%,3.85
Compton             ,"99,326","98,571",755,"24,584","16,838","2,346","2,121","2,653",626,"23,245",5.4%,4.24
Covina              ,"49,016","48,581",435,"16,640","9,653","1,528",822,"4,091",546,"15,915",4.4%,3.05
Cudahy              ,"24,378","24,370",8,"5,774","2,141","1,313",326,"1,574",420,"5,618",2.7%,4.34
Culver City         ,"39,919","39,608",311,"17,563","6,928","1,589","2,086","6,764",196,"16,859",4.0%,2.35
Diamond Bar         ,"56,886","56,757",129,"18,480","13,312","1,699","1,055","2,046",368,"17,921",3.0%,3.17
Downey              ,"114,319","113,636",683,"35,609","20,418","1,406","1,611","11,806",368,"33,969",4.6%,3.35
Duarte              ,"21,930","21,523",407,"7,296","4,693",937,235,"1,269",162,"7,061",3.2%,3.05
El Monte            ,"115,991","114,911","1,080","29,113","16,317","3,732","1,467","6,097","1,500","27,826",4.4%,4.13
El Segundo          ,"17,119","17,043",76,"7,425","3,174",354,782,"3,100",15,"7,127",4.0%,2.39
Gardena             ,"60,663","59,869",794,"21,649","9,754","1,446","2,569","6,635","1,245","20,753",4.1%,2.89
Glendale            ,"199,807","198,378","1,429","77,782","27,764","3,575","6,890","39,503",50,"73,725",5.2%,2.69
Glendora            ,"51,744","50,979",765,"17,940","13,208","1,412",662,"1,931",727,"17,341",3.3%,2.94
Hawaiian Gardens    ,"14,682","14,666",16,"3,709","1,740",518,366,834,251,"3,590",3.2%,4.09
Hawthorne           ,"88,173","87,634",539,"30,492","8,915","1,310","4,066","16,054",147,"29,165",4.4%,3.01
Hermosa Beach       ,"19,968","19,953",15,"10,110","4,362",790,"2,325","2,416",217,"9,565",5.4%,2.09
Hidden Hills        ,"1,902","1,902",0,629,625,4,0,0,0,595,5.4%,3.20
Huntington Park     ,"59,638","59,383",255,"15,178","6,267","2,033","1,585","5,208",85,"14,660",3.4%,4.05
Industry            ,437,200,237,68,58,0,6,0,4,63,7.4%,3.18
Inglewood           ,"113,177","111,675","1,502","38,643","14,754","2,314","5,503","15,863",209,"36,761",4.9%,3.04
Irwindale           ,"1,465","1,415",50,397,356,10,4,21,6,377,5.0%,3.75
La Canada Flintridge,"20,666","20,639",27,"7,077","6,501",186,96,250,44,"6,842",3.3%,3.02
La Habra Heights    ,"5,464","5,444",20,"1,885","1,820",65,0,0,0,"1,813",3.8%,3.00
Lakewood            ,"81,595","81,486",109,"27,484","22,705",986,378,"3,264",151,"26,476",3.7%,3.08
La Mirada           ,"49,705","46,848","2,857","15,135","12,126",762,288,"1,787",172,"14,738",2.6%,3.18
Lancaster           ,"161,440","154,180","7,260","52,636","36,908",832,"3,090","7,880","3,926","47,782",9.2%,3.23
La Puente           ,"40,822","40,779",43,"9,791","6,777",483,403,"2,098",30,"9,483",3.1%,4.30
La Verne            ,"33,131","32,032","1,099","12,057","7,704",931,660,893,"1,869","11,616",3.7%,2.76
Lawndale            ,"33,556","33,381",175,"10,157","5,315","1,422",899,"2,273",248,"9,703",4.5%,3.44
Lomita              ,"20,770","20,603",167,"8,452","4,170",776,466,"2,419",621,"8,096",4.2%,2.55
Long Beach          ,"476,069","467,113","8,956","176,456","74,489","10,123","21,647","67,851","2,346","164,650",6.7%,2.84
Los Angeles         ,"3,954,715","3,860,397","94,318","1,440,779","556,754","86,935","128,406","658,603","10,081","1,342,230",6.8%,2.88
Lynwood             ,"71,743","68,758","2,985","15,279","9,337",968,"1,824","3,015",135,"14,716",3.7%,4.67
Malibu              ,"13,026","12,885",141,"6,893","4,818",540,233,761,541,"5,310",23.0%,2.43
Manhattan Beach     ,"35,952","35,924",28,"14,962","10,350","1,166","2,456",976,14,"14,056",6.1%,2.56
Maywood             ,"28,143","28,024",119,"6,760","3,684",870,909,"1,252",45,"6,594",2.5%,4.25
Monrovia            ,"37,577","37,421",156,"14,523","8,382","1,736","1,101","3,146",158,"13,832",4.8%,2.71
Montebello          ,"64,315","63,915",400,"19,903","9,823","1,542","2,466","5,806",266,"19,147",3.8%,3.34
Monterey Park       ,"62,011","61,781",230,"21,075","12,055","1,993","2,119","4,844",64,"20,102",4.6%,3.07
Norwalk             ,"107,092","105,628","1,464","28,031","20,568","1,255",830,"4,890",488,"26,980",3.7%,3.92
Palmdale            ,"158,086","157,887",199,"46,954","36,946",852,"1,416","5,583","2,157","43,501",7.4%,3.63
Palos Verdes Estates,"13,635","13,618",17,"5,298","4,892",67,30,297,12,"5,030",5.1%,2.71
Paramount           ,"55,617","55,307",310,"14,621","6,628","1,704",893,"4,263","1,133","13,966",4.5%,3.96
Pasadena            ,"141,438","137,945","3,493","60,361","26,403","4,155","5,235","24,438",130,"55,830",7.5%,2.47
Pico Rivera         ,"64,417","63,963",454,"17,125","13,120",655,437,"2,414",499,"16,593",3.1%,3.86
Pomona              ,"153,791","149,799","3,992","40,895","24,784","2,995","3,506","7,632","1,978","38,919",4.8%,3.85
Rancho Palos Verdes ,"42,619","42,279",340,"16,233","12,530","1,024",301,"2,353",25,"15,586",4.0%,2.71
Redondo Beach       ,"68,463","68,032",431,"30,651","12,104","4,254","4,652","9,382",259,"29,121",5.0%,2.34
Rolling Hills       ,"1,907","1,907",0,719,718,0,0,1,0,666,7.4%,2.86
Rolling Hills Estates,"8,287","8,287",0,"3,101","2,324",669,35,37,36,"2,981",3.9%,2.78
Rosemead            ,"55,132","54,719",413,"14,872","11,186","1,436",855,"1,229",166,"14,298",3.9%,3.83
San Dimas           ,"34,768","34,228",540,"12,776","7,339","1,673",312,"2,001","1,451","12,273",3.9%,2.79
San Fernando        ,"24,610","24,496",114,"6,414","4,587",462,475,769,121,"6,078",5.2%,4.03
San Gabriel         ,"40,570","40,118",452,"13,256","7,439","1,425",775,"3,609",8,"12,538",5.4%,3.20
San Marino          ,"13,419","13,338",81,"4,484","4,429",15,0,40,0,"4,325",3.5%,3.08
Santa Clarita       ,"207,948","206,538","1,410","71,444","42,863","8,032","3,055","14,891","2,603","68,084",4.7%,3.03
Santa Fe Springs    ,"17,728","17,535",193,"5,312","3,249",199,275,"1,516",73,"5,081",4.3%,3.45
Santa Monica        ,"93,268","91,122","2,146","51,977","9,719","1,825","5,280","34,949",204,"47,750",8.1%,1.91
Sierra Madre        ,"11,203","11,202",1,"5,118","3,552",325,337,904,0,"4,858",5.1%,2.31
Signal Hill         ,"11,615","11,569",46,"4,531","1,423",618,638,"1,852",0,"4,291",5.3%,2.70
South El Monte      ,"20,965","20,908",57,"4,791","3,506",173,241,421,450,"4,660",2.7%,4.49
South Gate          ,"96,428","96,340",88,"24,253","15,314","1,919","3,224","3,505",291,"23,269",4.1%,4.14
South Pasadena      ,"26,369","26,206",163,"11,150","4,970",662,"1,397","4,121",0,"10,543",5.4%,2.49
Temple City         ,"36,257","35,835",422,"12,135","9,784",890,345,"1,009",107,"11,582",4.6%,3.09
Torrance            ,"148,892","147,746","1,146","58,477","30,694","3,648","3,666","19,334","1,135","56,112",4.0%,2.63
Vernon              ,123,123,0,31,23,0,0,8,0,30,3.2%,4.10
Walnut              ,"30,305","30,271",34,"8,911","8,513",57,35,303,3,"8,674",2.7%,3.49
West Covina         ,"108,639","107,965",674,"32,799","21,191","3,116","1,235","6,912",345,"31,663",3.5%,3.41
