county,city,end year population,pop change,housing change,additional people per additional housing unit,units needed to get to begin year population to housing unit ratio,pct of change
Stanislaus,Ceres,48326,572,4,143.0,161.38099426226074,40.345248565565186
Stanislaus,Hughson,7738,407,28,14.535714285714286,105.13135997817488,3.7546914277919603
Stanislaus,Modesto,215692,612,137,4.467153284671533,78.73085363585642,0.5746777637653753
Stanislaus,Newman,11801,636,72,8.833333333333334,128.91106135244067,1.790431407672787
Stanislaus,Oakdale,23324,613,96,6.385416666666667,124.92400158513493,1.3012916831784889
Stanislaus,Patterson,22679,-51,92,-0.5543478260869565,-106.50571931368236,-1.1576708621052432
Stanislaus,Riverbank,25244,634,13,48.76923076923077,174.72685900040634,13.440527615415872
Stanislaus,Turlock,74730,1851,24,77.125,608.3151525130696,25.346464688044566
Stanislaus,Waterford,9149,243,3,81.0,69.74174713676173,23.247249045587242
Stanislaus,Balance Of County,116941,2050,73,28.08219178082192,575.1826252709089,7.879214044806972
Stanislaus,Incorporated,438683,5517,469,11.763326226012794,1378.3848339897406,2.9389868528565897
Stanislaus,County Total,555624,7567,542,13.961254612546126,1962.223206710251,3.6203380197606103
Sutter,Live Oak,8781,145,0,0,45.23274664196387,999999
Sutter,Yuba City,67280,-165,18,-9.166666666666666,-75.91207650678331,-4.217337583710184
Sutter,Balance Of County,21177,302,6,50.333333333333336,109.34591616766467,18.224319361277445
Sutter,Incorporated,76061,-20,18,-1.1111111111111112,-24.931034029521168,-1.3850574460845093
Sutter,County Total,97238,282,24,11.75,75.87621188992945,3.1615088287470603
Tehama,Corning,7515,-7,3,-2.3333333333333335,-5.665248604094655,-1.888416201364885
Tehama,Red Bluff,13858,-212,2,-106.0,-91.54626865671642,-45.77313432835821
Tehama,Tehama,430,3,0,0,1.377049180327869,999999
Tehama,Balance Of County,42236,260,95,2.736842105263158,19.793691633314282,0.2083546487717293
Tehama,Incorporated,21803,-216,5,-43.2,-93.31681729415504,-18.663363458831007
Tehama,County Total,64039,44,100,0.44,-81.06752090007032,-0.8106752090007032
Trinity,County Total,13635,7,97,0.07216494845360824,-92.48246257704726,-0.9534274492479099
Tulare,Dinuba,24873,12,64,0.1875,-60.81332207071316,-0.9502081573548932
Tulare,Exeter,11169,184,11,16.727272727272727,50.238416021847975,4.567128729258907
Tulare,Farmersville,11443,195,17,11.470588235294118,31.61130867709815,1.859488745711656
Tulare,Lindsay,13162,178,23,7.739130434782608,24.228126925446702,1.0533968228455088
Tulare,Porterville,60798,890,248,3.588709677419355,18.503805835614628,0.0746121203048977
Tulare,Tulare,65982,1321,363,3.6391184573002753,47.36988292788544,0.13049554525588275
Tulare,Visalia,136246,3095,663,4.66817496229261,425.1115425344158,0.6411938801424069
Tulare,Woodlake,7786,18,5,3.6,0.03063851699279141,0.006127703398558282
Tulare,Balance Of County,144375,-1901,-141,13.4822695035461,-438.26982553528944,999999
Tulare,Incorporated,331459,5893,1394,4.227403156384505,479.72080622669455,0.3441325726159932
Tulare,County Total,475834,3992,1253,3.1859537110933758,-0.0990543444627292,-7.905374657839522e-05
Tuolumne,Sonora,4890,19,9,2.111111111111111,0.5994662287004733,0.06660735874449702
Tuolumne,Balance Of County,49850,14,87,0.16091954022988506,-78.84878401155791,-0.906307862201815
Tuolumne,Incorporated,4890,19,9,2.111111111111111,0.5994662287004733,0.06660735874449702
Tuolumne,County Total,54740,33,96,0.34375,-77.012649203941,-0.8022150958743853
Ventura,Camarillo,68741,-882,95,-9.284210526315789,-432.32956063369863,-4.550837480354723
Ventura,Fillmore,15953,270,43,6.27906976744186,35.419307530446986,0.8237048262894647
Ventura,Moorpark,37044,216,91,2.3736263736263736,-24.988269794721404,-0.27459637137056486
Ventura,Ojai,7679,126,12,10.5,45.23632993512512,3.7696941612604267
Ventura,Oxnard,206499,-1273,150,-8.486666666666666,-486.8880551758658,-3.2459203678391053
Ventura,Port Hueneme,23929,1121,0,0,406.7606103121712,999999
Ventura,San Buenaventura,111269,1994,17,117.29411764705883,786.1472523450012,46.24395602029419
Ventura,Santa Paula,31138,484,8,60.5,134.03901611535198,16.754877014418998
Ventura,Simi Valley,128760,1451,126,11.515873015873016,362.8715094769419,2.8799326148963647
Ventura,Thousand Oaks,130196,-1261,114,-11.06140350877193,-574.122983180812,-5.03616651912993
Ventura,Balance Of County,97865,-559,-151,3.7019867549668874,-48.20310086970656,999999
Ventura,Incorporated,761208,2246,656,3.423780487804878,92.70415119597556,0.14131730365240175
Ventura,County Total,859073,1687,505,3.3405940594059405,61.81685728481693,0.1224096183857761
Yolo,Davis,68704,-36,230,-0.1565217391304348,-243.80820482979343,-1.060035673173015
Yolo,West Sacramento,54163,1000,195,5.128205128205129,176.42373455222622,0.9047371002678268
Yolo,Winters,7292,37,34,1.088235294117647,-21.668366643694007,-0.6373049012851179
Yolo,Woodland,60426,810,184,4.4021739130434785,94.76358695652175,0.5150194943289226
Yolo,Balance Of County,30685,563,46,12.23913043478261,92.3482504481774,2.0075706619169
Yolo,Incorporated,190585,1811,643,2.8164852255054433,19.40116223632492,0.030172880616368462
Yolo,County Total,221270,2374,689,3.4455732946298983,140.1148581975002,0.20335973613570424
Yuba,Marysville,11883,-90,1,-90.0,-40.16311701327988,-40.16311701327988
Yuba,Wheatland,3497,-12,0,0,-4.579082359646623,999999
Yuba,Balance Of County,59347,252,18,14.0,74.77454945426855,4.154141636348253
Yuba,Incorporated,15380,-102,1,-102.0,-44.146751065753776,-44.146751065753776
Yuba,County Total,74727,150,19,7.894736842105263,37.931091355243574,1.996373229223346
California,Incorporated,33235160,265082,83734,3.165763011440992,9566.402171629685,0.11424752396433568
California,Balance Of State Total,6574533,20998,2982,7.041582830315225,4920.712975821445,1.6501384895444149
