county,city,pop change,housing change,units needed to get to 1990 ratio,pct of change
Yolo,Woodland,19386,5575,1625.2389261744966,0.29152267734071685
Yolo,Balance Of County,9001,842,1953.6327825387057,2.3202289578844484
Yolo,Incorporated,68685,22579,3998.409920975275,0.1770853412894847
Yolo,County Total,77686,23421,5752.098279158701,0.24559575932533628
Yuba,Marysville,-351,127,-271.7689873417721,-2.1399132861556858
Yuba,Wheatland,1878,660,121.82832618025759,0.1845883730003903
Yuba,Balance Of County,14822,6273,-1089.501569805525,-0.17368110470357484
Yuba,Incorporated,1527,787,-156.50383375134368,-0.19886128812114826
Yuba,County Total,16349,7060,-1094.9229752009342,-0.15508824011344677
California,Incorporated,9357153,2764550,738445.4698261651,0.26711235818710644
California,State Total,9765400,2888361,781271.7313135373,0.2704896414657092
