county,city,end year population,pop change,housing change,additional people per additional housing unit,units needed to get to begin year population to housing unit ratio,pct of change
Sonoma,Incorporated,360941,132905,45499,2.9210532099606583,9011.423091090881,0.19805760766370428
Sonoma,County Total,503332,115110,42517,2.7073876331820212,5238.786173890192,0.1232162705245006
Stanislaus,Ceres,48326,21913,4710,4.652441613588111,2840.4567069246195,0.60306936452752
Stanislaus,Hughson,7738,4479,1338,3.3475336322869955,157.29057993249444,0.11755648724401677
Stanislaus,Modesto,215692,50946,15068,3.3810724714627023,3760.0577980648995,0.24953927515694846
Stanislaus,Newman,11801,7643,2076,3.6815992292870905,723.4923039923037,0.3485030366051559
Stanislaus,Oakdale,23324,11346,3669,3.0923957481602615,699.6552012022039,0.19069370433420657
Stanislaus,Patterson,22679,14053,3854,3.6463414634146343,549.5774402967772,0.14259923204379274
Stanislaus,Riverbank,25244,16653,4644,3.5859173126614987,504.4539634501225,0.10862488446385067
Stanislaus,Turlock,74730,32506,9514,3.416649148623082,2346.2556839712015,0.24661085599865476
Stanislaus,Waterford,9149,4378,1211,3.615194054500413,126.9006497589603,0.10478996677040488
Stanislaus,Balance Of County,116941,21185,3805,5.567674113009199,3406.298247629392,0.8952163594295379
Stanislaus,Incorporated,438683,163917,46084,3.5569178022741084,13234.093010052195,0.2871732707675591
Stanislaus,County Total,555624,185102,49889,3.7102768145282528,16067.844003864811,0.3220718796501195
Sutter,Live Oak,8781,4461,1266,3.523696682464455,208.60833333333335,0.16477751448130595
Sutter,Yuba City,67280,39895,12643,3.1555010677845448,3450.4842066824913,0.27291657096278504
Sutter,Balance Of County,21177,-11533,-3709,3.109463467241844,-411.99370223173355,999999
Sutter,Incorporated,76061,44356,13909,3.1890143072830544,3543.8023970982504,0.254784844136764
Sutter,County Total,97238,32823,10200,3.217941176470588,2112.3829698051704,0.2070963695887422
Tehama,Corning,7515,1645,439,3.7471526195899774,241.4190800681431,0.5499295673534011
Tehama,Red Bluff,13858,1495,883,1.6930917327293318,-270.87592008412196,-0.30676774641463417
Tehama,Tehama,430,29,20,1.45,-7.271820448877804,-0.3635910224438902
Tehama,Balance Of County,42236,11245,5891,1.9088439993209982,-1269.4142170307505,-0.21548365592102367
Tehama,Incorporated,21803,3169,1342,2.3614008941877795,-38.27809380701956,-0.028523169751877464
Tehama,County Total,64039,14414,7233,1.9928107286050047,-1306.7764836272045,-0.18066866910371968
Trinity,County Total,13635,572,1352,0.4230769230769231,-1021.8400061241675,-0.7557988210977571
Tulare,Dinuba,24873,12130,2830,4.286219081272085,821.469826571451,0.2902720235234809
Tulare,Exeter,11169,3893,1016,3.831692913385827,402.4088785046729,0.3960717308116859
Tulare,Farmersville,11443,5208,1089,4.78236914600551,357.7130713712911,0.32847848610770536
Tulare,Lindsay,13162,4824,790,6.10632911392405,759.37299112497,0.961231634335405
Tulare,Porterville,60798,31277,8137,3.8437999262627502,2510.804952406763,0.30856641912335786
Tulare,Tulare,65982,32733,9134,3.5836435296693674,2006.3840115492203,0.21966104790335234
Tulare,Visalia,136246,60587,20310,2.9831117676021663,1443.4709023381256,0.0710719301988245
Tulare,Woodlake,7786,2108,591,3.5668358714043995,-2.556886227544851,-0.00432637263543968
Tulare,Balance Of County,144375,11153,432,25.81712962962963,3251.5657774241495,7.526772632926272
Tulare,Incorporated,331459,152760,43897,3.479964462263936,8259.676198523775,0.1881603799467794
Tulare,County Total,475834,163913,44329,3.6976471384421035,10854.831383587509,0.24486975532016306
Tuolumne,Sonora,4890,737,386,1.9093264248704662,-16.16903443294001,-0.041888690240777224
Tuolumne,Balance Of County,49850,5547,6012,0.9226546906187625,-3120.868993070447,-0.5191066189405268
Tuolumne,Incorporated,4890,737,386,1.9093264248704662,-16.16903443294001,-0.041888690240777224
Tuolumne,County Total,54740,6284,6398,0.9821819318537043,-3133.188624731715,-0.4897137581637567
Ventura,Camarillo,68741,16444,7993,2.057300137620418,-2103.635026865786,-0.26318466494004583
Ventura,Fillmore,15953,3961,1070,3.701869158878505,95.31087391594406,0.08907558309901313
Ventura,Moorpark,37044,11550,3431,3.3663654911104635,154.87314662273457,0.04513936071778915
Ventura,Ojai,7679,66,313,0.2108626198083067,-285.8648364639433,-0.9133061867857613
Ventura,Oxnard,206499,63939,13780,4.639985486211901,4767.961174242424,0.3460058907287681
Ventura,Port Hueneme,23929,3607,794,4.5428211586901766,533.9979332742839,0.6725414776754206
Ventura,San Buenaventura,111269,18712,6693,2.7957567607948604,855.5231370938991,0.12782356747256823
Ventura,Santa Paula,31138,6076,942,6.450106157112526,1012.5412177799058,1.0748845199362056
Ventura,Simi Valley,128760,28542,9907,2.880993237105077,-476.7309465365506,-0.048120616386045284
Ventura,Thousand Oaks,130196,25815,10308,2.5043655413271244,-966.1658060374975,-0.09372970566914024
Ventura,Balance Of County,97865,11345,4870,2.3295687885010268,-929.2777970411466,-0.19081679610701163
Ventura,Incorporated,761208,178712,55231,3.235719070811682,5646.548687029615,0.10223513401947484
Ventura,County Total,859073,190057,60101,3.162293472654365,4806.0324865175135,0.07996593212288504
Yolo,Davis,68704,22382,8286,2.701182717837316,561.0795734208368,0.06771416526922965
Yolo,West Sacramento,54163,25265,8289,3.04801544215225,1898.1333656308398,0.2289942533032742
Yolo,Winters,7292,2653,888,2.9876126126126126,6.4367320543220785,0.007248572133245584
Yolo,Woodland,60426,20196,5759,3.5068588296579266,1742.0845637583889,0.3024977537347437
Yolo,Balance Of County,30685,9564,888,10.77027027027027,2082.4957151650015,2.3451528323930195
Yolo,Incorporated,190585,70496,23222,3.035741968822668,4056.1697574299033,0.1746692686861555
Yolo,County Total,221270,80060,24110,3.3206138531729574,5954.5965583174,0.2469762156083534
Yuba,Marysville,11883,-441,128,-3.4453125,-309.8892405063291,-2.421009691455696
